time,yvonne,charles,christina
2013-04-21 11:47:12,0,0,0
2013-04-21 11:47:13,2,0,0
2013-04-21 11:47:14,2,0,0
2013-04-21 11:47:15,2,0,0
2013-04-21 11:47:16,2,0,0
2013-04-21 11:47:17,2,0,0
2013-04-21 11:47:18,0,0,0
2013-04-21 11:47:19,0,0,0
2013-04-21 11:47:20,0,0,0
2013-04-21 11:47:21,0,0,0
2013-04-21 11:47:22,0,0,0
2013-04-21 11:47:23,0,0,0
2013-04-21 11:47:24,0,0,0
2013-04-21 11:47:25,0,0,0
2013-04-21 11:47:26,0,0,0
2013-04-21 11:47:27,0,0,0
2013-04-21 11:47:28,0,0,0
2013-04-21 11:47:29,0,0,0
2013-04-21 11:47:30,0,0,0
2013-04-21 11:47:31,0,0,0
2013-04-21 11:47:32,0,0,0
2013-04-21 11:47:33,0,0,0
2013-04-21 11:47:34,0,2,0
2013-04-21 11:47:35,0,2,0
2013-04-21 11:47:36,0,2,0
2013-04-21 11:47:37,0,2,0
2013-04-21 11:47:38,0,2,0
2013-04-21 11:47:39,0,0,0
2013-04-21 11:47:40,0,0,0
2013-04-21 11:47:41,0,0,0
2013-04-21 11:47:42,0,0,0
2013-04-21 11:47:43,0,0,0
2013-04-21 11:47:44,0,0,0
2013-04-21 11:47:45,0,0,0
2013-04-21 11:47:46,0,0,0
2013-04-21 11:47:47,0,0,0
2013-04-21 11:47:48,0,0,0
2013-04-21 11:47:49,0,0,0
2013-04-21 11:47:50,0,0,0
2013-04-21 11:47:51,0,0,0
2013-04-21 11:47:52,0,0,0
2013-04-21 11:47:53,0,0,0
2013-04-21 11:47:54,0,0,0
2013-04-21 11:47:55,0,0,0
2013-04-21 11:47:56,0,0,0
2013-04-21 11:47:57,0,0,0
2013-04-21 11:47:58,0,0,0
2013-04-21 11:47:59,0,0,0
2013-04-21 11:48:00,0,0,0
2013-04-21 11:48:01,0,0,0
2013-04-21 11:48:02,0,0,0
2013-04-21 11:48:03,0,0,0
2013-04-21 11:48:04,0,0,0
2013-04-21 11:48:05,2,2,0
2013-04-21 11:48:06,7,2,1
2013-04-21 11:48:07,7,2,1
2013-04-21 11:48:08,7,2,2
2013-04-21 11:48:09,7,2,2
2013-04-21 11:48:10,7,2,2
2013-04-21 11:48:11,5,2,2
2013-04-21 11:48:12,5,2,2
2013-04-21 11:48:13,8,2,2
2013-04-21 11:48:14,8,2,2
2013-04-21 11:48:15,7,2,2
2013-04-21 11:48:16,7,2,2
2013-04-21 11:48:17,8,2,2
2013-04-21 11:48:18,6,2,2
2013-04-21 11:48:19,8,2,5
2013-04-21 11:48:20,4,2,6
2013-04-21 11:48:21,4,2,6
2013-04-21 11:48:22,4,2,7
2013-04-21 11:48:23,6,2,7
2013-04-21 11:48:24,6,2,7
2013-04-21 11:48:25,7,2,7
2013-04-21 11:48:26,6,2,7
2013-04-21 11:48:27,8,2,6
2013-04-21 11:48:28,8,2,7
2013-04-21 11:48:29,4,2,7
2013-04-21 11:48:30,8,2,6
2013-04-21 11:48:31,8,2,6
2013-04-21 11:48:32,7,2,7
2013-04-21 11:48:33,7,2,7
2013-04-21 11:48:34,7,2,7
2013-04-21 11:48:35,7,2,7
2013-04-21 11:48:36,7,2,7
2013-04-21 11:48:37,7,2,4
2013-04-21 11:48:38,7,2,4
2013-04-21 11:48:39,7,2,4
2013-04-21 11:48:40,7,2,4
2013-04-21 11:48:41,7,2,2
2013-04-21 11:48:42,7,2,2
2013-04-21 11:48:43,7,2,4
2013-04-21 11:48:44,7,2,4
2013-04-21 11:48:45,7,2,4
2013-04-21 11:48:46,7,2,7
2013-04-21 11:48:47,7,2,7
2013-04-21 11:48:48,7,2,7
2013-04-21 11:48:49,7,2,4
2013-04-21 11:48:50,7,2,4
2013-04-21 11:48:51,7,2,4
2013-04-21 11:48:52,7,2,2
2013-04-21 11:48:53,7,2,2
