time,charles,christina,jonathan,yvonne
2013-05-04 14:24:20,0,0,0,0
2013-05-04 14:24:21,2,0,0,0
2013-05-04 14:24:22,5,0,0,0
2013-05-04 14:24:23,5,0,0,0
2013-05-04 14:24:24,5,0,0,0
2013-05-04 14:24:25,5,0,0,0
2013-05-04 14:24:26,5,0,0,0
2013-05-04 14:24:27,5,0,0,0
2013-05-04 14:24:28,7,0,0,0
2013-05-04 14:24:29,7,0,0,0
2013-05-04 14:24:30,7,0,0,0
2013-05-04 14:24:31,7,0,0,0
2013-05-04 14:24:32,7,2,0,0
2013-05-04 14:24:33,7,5,0,0
2013-05-04 14:24:34,7,5,0,0
2013-05-04 14:24:35,7,5,0,0
2013-05-04 14:24:36,7,5,0,0
2013-05-04 14:24:37,7,5,0,0
2013-05-04 14:24:38,7,7,0,0
2013-05-04 14:24:39,7,7,0,0
2013-05-04 14:24:40,7,7,0,0
2013-05-04 14:24:41,7,7,2,0
2013-05-04 14:24:42,7,7,5,2
2013-05-04 14:24:43,7,7,5,5
2013-05-04 14:24:44,7,7,7,5
2013-05-04 14:24:45,7,7,7,5
2013-05-04 14:24:46,7,7,7,5
2013-05-04 14:24:47,7,7,7,5
2013-05-04 14:24:48,7,7,5,5
2013-05-04 14:24:49,7,7,7,5
2013-05-04 14:24:50,7,6,6,5
2013-05-04 14:24:51,7,6,6,5
2013-05-04 14:24:52,7,6,6,5
2013-05-04 14:24:53,7,7,4,5
2013-05-04 14:24:54,7,7,4,5
2013-05-04 14:24:55,7,7,4,5
2013-05-04 14:24:56,7,7,4,5
2013-05-04 14:24:57,7,7,4,5
2013-05-04 14:24:58,7,7,4,5
2013-05-04 14:24:59,7,7,2,5
2013-05-04 14:25:00,7,7,4,5
2013-05-04 14:25:01,7,7,4,5
2013-05-04 14:25:02,7,6,4,5
2013-05-04 14:25:03,7,6,4,5
2013-05-04 14:25:04,7,6,4,5
2013-05-04 14:25:05,7,6,4,5
2013-05-04 14:25:06,7,6,2,7
2013-05-04 14:25:07,7,4,2,5
2013-05-04 14:25:08,7,4,0,5
2013-05-04 14:25:09,7,4,6,5
2013-05-04 14:25:10,7,4,4,5
2013-05-04 14:25:11,7,4,4,7
2013-05-04 14:25:12,7,7,4,6
2013-05-04 14:25:13,7,7,4,5
2013-05-04 14:25:14,7,7,4,8
2013-05-04 14:25:15,7,7,8,7
2013-05-04 14:25:16,7,7,4,7
2013-05-04 14:25:17,7,7,4,7
2013-05-04 14:25:18,7,4,4,7
2013-05-04 14:25:19,7,4,4,7
2013-05-04 14:25:20,7,7,4,7
2013-05-04 14:25:21,7,4,4,7
2013-05-04 14:25:22,7,4,2,7
2013-05-04 14:25:23,7,7,2,7
2013-05-04 14:25:24,7,7,0,7
2013-05-04 14:25:25,7,4,4,7
2013-05-04 14:25:26,7,4,4,7
2013-05-04 14:25:27,7,3,4,7
2013-05-04 14:25:28,7,3,4,7
2013-05-04 14:25:29,7,3,4,7
2013-05-04 14:25:30,7,1,4,6
2013-05-04 14:25:31,7,1,2,6
2013-05-04 14:25:32,7,1,2,6
2013-05-04 14:25:33,7,1,2,6
2013-05-04 14:25:34,7,1,2,6
2013-05-04 14:25:35,7,1,2,7
2013-05-04 14:25:36,7,1,2,7
2013-05-04 14:25:37,6,1,4,7
2013-05-04 14:25:38,7,1,4,7
2013-05-04 14:25:39,7,1,4,7
2013-05-04 14:25:40,7,1,4,7
2013-05-04 14:25:41,7,1,4,7
2013-05-04 14:25:42,7,1,3,7
2013-05-04 14:25:43,7,1,2,7
2013-05-04 14:25:44,7,1,3,6
2013-05-04 14:25:45,7,1,4,7
2013-05-04 14:25:46,7,1,4,7
2013-05-04 14:25:47,7,1,6,6
2013-05-04 14:25:48,7,1,6,6
2013-05-04 14:25:49,7,1,6,6
2013-05-04 14:25:50,7,1,6,7
2013-05-04 14:25:51,7,1,7,6
2013-05-04 14:25:52,7,1,7,7
2013-05-04 14:25:53,7,1,7,6
2013-05-04 14:25:54,7,1,7,6
2013-05-04 14:25:55,7,1,4,6
2013-05-04 14:25:56,7,1,4,6
2013-05-04 14:25:57,7,1,4,7
2013-05-04 14:25:58,7,1,2,7
2013-05-04 14:25:59,7,1,2,7
2013-05-04 14:26:00,7,1,2,7
2013-05-04 14:26:01,7,1,2,7
2013-05-04 14:26:02,7,1,2,7
2013-05-04 14:26:03,7,1,2,7
2013-05-04 14:26:04,7,3,2,7
2013-05-04 14:26:05,7,3,2,7
2013-05-04 14:26:06,7,7,2,7
2013-05-04 14:26:07,7,6,2,7
2013-05-04 14:26:08,8,6,2,7
2013-05-04 14:26:09,8,6,2,7
2013-05-04 14:26:10,7,6,2,7
2013-05-04 14:26:11,8,6,2,7
2013-05-04 14:26:12,8,6,2,7
2013-05-04 14:26:13,7,6,2,7
