time,charles,jonathan,yvonne,christina
2013-08-03 17:11:01,0,0,0,0
2013-08-03 17:11:02,2,0,0,0
2013-08-03 17:11:03,5,0,0,0
2013-08-03 17:11:04,7,0,0,0
2013-08-03 17:11:05,7,0,0,0
2013-08-03 17:11:06,7,0,0,0
2013-08-03 17:11:07,7,0,0,0
2013-08-03 17:11:08,7,0,0,0
2013-08-03 17:11:09,7,0,0,0
2013-08-03 17:11:10,7,2,0,0
2013-08-03 17:11:11,7,2,0,0
2013-08-03 17:11:12,7,5,0,0
2013-08-03 17:11:13,7,5,7,2
2013-08-03 17:11:14,7,5,5,7
2013-08-03 17:11:15,7,5,5,7
2013-08-03 17:11:16,7,5,7,4
2013-08-03 17:11:17,7,2,7,7
2013-08-03 17:11:18,7,2,7,7
2013-08-03 17:11:19,7,2,7,7
2013-08-03 17:11:20,7,2,7,4
2013-08-03 17:11:21,7,0,7,4
2013-08-03 17:11:22,7,0,7,3
2013-08-03 17:11:23,7,7,7,2
2013-08-03 17:11:24,7,5,7,2
2013-08-03 17:11:25,7,5,7,2
2013-08-03 17:11:26,7,5,7,2
2013-08-03 17:11:27,8,5,5,2
2013-08-03 17:11:28,8,8,5,2
2013-08-03 17:11:29,8,3,7,2
2013-08-03 17:11:30,8,2,7,2
2013-08-03 17:11:31,8,3,7,2
2013-08-03 17:11:32,8,3,5,2
2013-08-03 17:11:33,8,7,7,2
2013-08-03 17:11:34,8,4,5,2
2013-08-03 17:11:35,8,4,5,2
2013-08-03 17:11:36,8,5,5,2
2013-08-03 17:11:37,8,5,5,2
2013-08-03 17:11:38,8,2,5,2
2013-08-03 17:11:39,8,2,7,2
2013-08-03 17:11:40,8,2,5,2
2013-08-03 17:11:41,8,2,5,2
2013-08-03 17:11:42,8,3,7,2
2013-08-03 17:11:43,8,6,7,2
2013-08-03 17:11:44,8,6,7,2
2013-08-03 17:11:45,8,1,7,2
2013-08-03 17:11:46,8,1,7,2
2013-08-03 17:11:47,8,2,7,2
2013-08-03 17:11:48,8,2,7,2
2013-08-03 17:11:49,8,2,7,0
2013-08-03 17:11:50,8,2,7,0
2013-08-03 17:11:51,8,2,7,2
2013-08-03 17:11:52,2,2,7,7
2013-08-03 17:11:53,2,4,7,7
2013-08-03 17:11:54,2,4,7,7
2013-08-03 17:11:55,2,4,7,7
2013-08-03 17:11:56,2,4,7,7
2013-08-03 17:11:57,2,4,7,7
2013-08-03 17:11:58,2,4,7,7
2013-08-03 17:11:59,2,3,7,7
2013-08-03 17:12:00,2,3,7,7
2013-08-03 17:12:01,2,3,7,7
2013-08-03 17:12:02,2,3,7,7
2013-08-03 17:12:03,2,3,7,7
2013-08-03 17:12:04,2,3,7,7
2013-08-03 17:12:05,2,3,7,7
2013-08-03 17:12:06,2,3,7,7
2013-08-03 17:12:07,4,8,7,7
2013-08-03 17:12:08,3,3,7,7
2013-08-03 17:12:09,3,7,7,0
2013-08-03 17:12:10,3,7,4,0
2013-08-03 17:12:11,1,4,4,0
2013-08-03 17:12:12,1,3,4,0
2013-08-03 17:12:13,2,7,7,0
2013-08-03 17:12:14,1,4,7,0
2013-08-03 17:12:15,2,4,7,4
2013-08-03 17:12:16,2,4,7,7
2013-08-03 17:12:17,2,4,4,4
2013-08-03 17:12:18,1,4,7,4
2013-08-03 17:12:19,2,4,7,7
2013-08-03 17:12:20,2,4,7,7
2013-08-03 17:12:21,2,4,7,4
2013-08-03 17:12:22,2,4,7,4
2013-08-03 17:12:23,2,4,7,4
2013-08-03 17:12:24,2,4,7,4
2013-08-03 17:12:25,2,4,7,4
2013-08-03 17:12:26,2,4,7,4
2013-08-03 17:12:27,2,4,7,7
2013-08-03 17:12:28,1,4,7,7
2013-08-03 17:12:29,1,3,7,4
2013-08-03 17:12:30,1,4,7,4
2013-08-03 17:12:31,1,7,7,7
2013-08-03 17:12:32,1,7,7,4
2013-08-03 17:12:33,1,7,7,4
2013-08-03 17:12:34,1,7,7,4
2013-08-03 17:12:35,2,7,7,4
2013-08-03 17:12:36,2,6,7,4
2013-08-03 17:12:37,2,4,7,4
2013-08-03 17:12:38,2,4,4,4
2013-08-03 17:12:39,2,4,7,4
2013-08-03 17:12:40,2,4,7,4
2013-08-03 17:12:41,1,4,7,3
2013-08-03 17:12:42,1,4,6,4
2013-08-03 17:12:43,1,4,6,4
2013-08-03 17:12:44,1,4,6,4
2013-08-03 17:12:45,3,4,4,4
2013-08-03 17:12:46,1,3,4,4
2013-08-03 17:12:47,2,4,4,4
2013-08-03 17:12:48,2,4,7,4
2013-08-03 17:12:49,2,4,7,4
2013-08-03 17:12:50,2,4,6,4
2013-08-03 17:12:51,2,4,6,4
2013-08-03 17:12:52,3,4,4,4
2013-08-03 17:12:53,3,4,4,4
2013-08-03 17:12:54,3,4,4,4
2013-08-03 17:12:55,3,6,7,4
2013-08-03 17:12:56,3,4,7,4
2013-08-03 17:12:57,2,4,7,4
2013-08-03 17:12:58,2,4,6,4
2013-08-03 17:12:59,3,6,6,4
2013-08-03 17:13:00,3,6,6,4
2013-08-03 17:13:01,3,6,6,4
2013-08-03 17:13:02,3,4,7,4
2013-08-03 17:13:03,3,4,7,4
2013-08-03 17:13:04,2,4,7,4
2013-08-03 17:13:05,2,4,7,4
2013-08-03 17:13:06,2,7,4,8
2013-08-03 17:13:07,2,6,4,8
2013-08-03 17:13:08,2,7,4,8
2013-08-03 17:13:09,2,4,4,8
2013-08-03 17:13:10,2,4,4,2
2013-08-03 17:13:11,2,4,4,2
2013-08-03 17:13:12,2,4,4,2
2013-08-03 17:13:13,2,7,4,2
2013-08-03 17:13:14,2,6,4,2
2013-08-03 17:13:15,2,6,4,2
2013-08-03 17:13:16,2,6,4,2
2013-08-03 17:13:17,2,4,3,2
2013-08-03 17:13:18,2,4,0,2
2013-08-03 17:13:19,2,4,0,2
2013-08-03 17:13:20,2,8,0,2
2013-08-03 17:13:21,2,6,0,2
2013-08-03 17:13:22,2,6,0,3
2013-08-03 17:13:23,2,7,0,2
2013-08-03 17:13:24,1,7,0,2
2013-08-03 17:13:25,2,7,0,3
2013-08-03 17:13:26,1,8,0,2
2013-08-03 17:13:27,3,4,0,2
2013-08-03 17:13:28,8,2,0,2
2013-08-03 17:13:29,8,2,0,3
2013-08-03 17:13:30,7,2,0,2
2013-08-03 17:13:31,7,2,0,2
2013-08-03 17:13:32,7,2,0,2
2013-08-03 17:13:33,5,2,0,1
2013-08-03 17:13:34,5,2,0,3
2013-08-03 17:13:35,5,2,0,1
2013-08-03 17:13:36,5,3,2,3
2013-08-03 17:13:37,5,4,2,3
2013-08-03 17:13:38,5,4,2,3
2013-08-03 17:13:39,5,4,2,3
2013-08-03 17:13:40,5,4,2,2
2013-08-03 17:13:41,5,8,2,2
2013-08-03 17:13:42,5,2,2,2
2013-08-03 17:13:43,5,2,2,2
