time,christina,jonathan,charles
2014-03-08 11:49:43,0,0,0
2014-03-08 11:49:44,7,0,0
2014-03-08 11:49:45,7,8,8
2014-03-08 11:49:46,7,7,7
2014-03-08 11:49:47,7,7,7
2014-03-08 11:49:48,7,7,7
2014-03-08 11:49:49,7,7,7
2014-03-08 11:49:50,7,7,7
2014-03-08 11:49:51,7,7,7
2014-03-08 11:49:52,7,7,7
2014-03-08 11:49:53,7,7,7
2014-03-08 11:49:54,7,7,7
2014-03-08 11:49:55,7,7,7
2014-03-08 11:49:56,7,7,7
2014-03-08 11:49:57,7,7,7
2014-03-08 11:49:58,7,7,7
2014-03-08 11:49:59,7,7,7
2014-03-08 11:50:00,7,7,7
2014-03-08 11:50:01,7,7,7
2014-03-08 11:50:02,7,7,7
2014-03-08 11:50:03,7,7,7
2014-03-08 11:50:04,7,7,7
2014-03-08 11:50:05,7,7,7
2014-03-08 11:50:06,7,7,7
2014-03-08 11:50:07,7,7,7
2014-03-08 11:50:08,7,7,7
2014-03-08 11:50:09,7,7,7
2014-03-08 11:50:10,7,7,7
2014-03-08 11:50:11,7,7,7
2014-03-08 11:50:12,7,7,7
2014-03-08 11:50:13,7,7,7
2014-03-08 11:50:14,7,7,7
2014-03-08 11:50:15,7,7,7
2014-03-08 11:50:16,7,7,7
2014-03-08 11:50:17,7,7,7
2014-03-08 11:50:18,7,7,7
2014-03-08 11:50:19,7,7,7
2014-03-08 11:50:20,7,7,7
2014-03-08 11:50:21,7,7,7
2014-03-08 11:50:22,7,7,7
2014-03-08 11:50:23,7,7,7
2014-03-08 11:50:24,7,7,7
2014-03-08 11:50:25,7,7,7
2014-03-08 11:50:26,7,7,7
2014-03-08 11:50:27,7,7,7
2014-03-08 11:50:28,7,7,7
2014-03-08 11:50:29,7,7,7
2014-03-08 11:50:30,7,7,7
2014-03-08 11:50:31,7,7,7
2014-03-08 11:50:32,7,7,7
2014-03-08 11:50:33,7,7,7
2014-03-08 11:50:34,7,7,7
2014-03-08 11:50:35,7,7,7
2014-03-08 11:50:36,7,7,7
2014-03-08 11:50:37,7,7,7
2014-03-08 11:50:38,7,7,7
2014-03-08 11:50:39,7,7,7
2014-03-08 11:50:40,7,7,7
2014-03-08 11:50:41,7,7,7
2014-03-08 11:50:42,7,7,7
2014-03-08 11:50:43,7,7,7
2014-03-08 11:50:44,7,7,7
2014-03-08 11:50:45,7,7,7
2014-03-08 11:50:46,7,7,7
2014-03-08 11:50:47,7,7,7
2014-03-08 11:50:48,7,7,6
2014-03-08 11:50:49,7,7,6
2014-03-08 11:50:50,7,7,6
2014-03-08 11:50:51,4,7,6
2014-03-08 11:50:52,4,7,6
2014-03-08 11:50:53,0,7,7
2014-03-08 11:50:54,0,7,7
2014-03-08 11:50:55,6,7,7
2014-03-08 11:50:56,7,7,7
2014-03-08 11:50:57,7,7,7
2014-03-08 11:50:58,7,7,7
2014-03-08 11:50:59,7,7,7
2014-03-08 11:51:00,7,7,7
