time,jonathan,christina,charles
2014-03-08 12:21:42,0,0,0
2014-03-08 12:21:43,2,0,0
2014-03-08 12:21:44,4,0,0
2014-03-08 12:21:45,4,0,0
2014-03-08 12:21:46,7,0,0
2014-03-08 12:21:47,7,0,0
2014-03-08 12:21:48,7,0,0
2014-03-08 12:21:49,7,0,0
2014-03-08 12:21:50,7,0,0
2014-03-08 12:21:51,7,0,0
2014-03-08 12:21:52,7,0,0
2014-03-08 12:21:53,7,0,0
2014-03-08 12:21:54,5,0,0
2014-03-08 12:21:55,8,0,0
2014-03-08 12:21:56,0,0,0
2014-03-08 12:21:57,0,0,0
2014-03-08 12:21:58,0,0,0
2014-03-08 12:21:59,0,0,0
2014-03-08 12:22:00,0,0,0
2014-03-08 12:22:01,0,0,0
2014-03-08 12:22:02,0,0,0
2014-03-08 12:22:03,4,3,0
2014-03-08 12:22:04,7,4,0
2014-03-08 12:22:05,7,4,8
2014-03-08 12:22:06,7,7,7
2014-03-08 12:22:07,7,7,7
2014-03-08 12:22:08,7,7,7
2014-03-08 12:22:09,7,7,7
2014-03-08 12:22:10,7,7,7
2014-03-08 12:22:11,7,7,7
2014-03-08 12:22:12,7,6,7
2014-03-08 12:22:13,7,6,7
2014-03-08 12:22:14,7,6,6
2014-03-08 12:22:15,6,6,6
2014-03-08 12:22:16,6,6,6
2014-03-08 12:22:17,6,6,6
2014-03-08 12:22:18,6,6,6
2014-03-08 12:22:19,8,6,7
2014-03-08 12:22:20,8,6,7
2014-03-08 12:22:21,8,6,7
2014-03-08 12:22:22,8,6,7
2014-03-08 12:22:23,7,6,7
2014-03-08 12:22:24,6,6,7
2014-03-08 12:22:25,6,6,7
2014-03-08 12:22:26,6,6,6
2014-03-08 12:22:27,8,6,6
2014-03-08 12:22:28,8,6,6
2014-03-08 12:22:29,8,6,6
2014-03-08 12:22:30,8,6,6
2014-03-08 12:22:31,8,6,6
2014-03-08 12:22:32,8,6,7
2014-03-08 12:22:33,6,6,7
2014-03-08 12:22:34,6,6,7
2014-03-08 12:22:35,6,6,6
2014-03-08 12:22:36,6,6,6
2014-03-08 12:22:37,6,6,6
2014-03-08 12:22:38,6,6,6
2014-03-08 12:22:39,6,6,7
2014-03-08 12:22:40,7,6,7
2014-03-08 12:22:41,7,6,7
2014-03-08 12:22:42,6,6,7
2014-03-08 12:22:43,6,6,7
2014-03-08 12:22:44,6,6,7
2014-03-08 12:22:45,6,6,7
2014-03-08 12:22:46,6,6,7
2014-03-08 12:22:47,6,6,7
2014-03-08 12:22:48,6,6,7
2014-03-08 12:22:49,6,6,7
2014-03-08 12:22:50,6,6,7
2014-03-08 12:22:51,7,6,7
2014-03-08 12:22:52,7,6,7
2014-03-08 12:22:53,7,6,6
2014-03-08 12:22:54,7,6,6
2014-03-08 12:22:55,7,6,6
2014-03-08 12:22:56,6,4,6
2014-03-08 12:22:57,7,4,6
2014-03-08 12:22:58,6,4,7
2014-03-08 12:22:59,6,2,7
2014-03-08 12:23:00,6,2,7
2014-03-08 12:23:01,6,2,7
2014-03-08 12:23:02,6,2,7
2014-03-08 12:23:03,6,2,7
2014-03-08 12:23:04,6,2,7
2014-03-08 12:23:05,7,2,7
2014-03-08 12:23:06,7,2,7
2014-03-08 12:23:07,7,2,7
2014-03-08 12:23:08,7,2,7
2014-03-08 12:23:09,7,2,7
2014-03-08 12:23:10,7,2,7
2014-03-08 12:23:11,7,2,6
2014-03-08 12:23:12,7,2,6
2014-03-08 12:23:13,7,2,6
2014-03-08 12:23:14,7,2,6
2014-03-08 12:23:15,6,2,6
2014-03-08 12:23:16,6,2,6
2014-03-08 12:23:17,6,2,7
2014-03-08 12:23:18,6,2,7
2014-03-08 12:23:19,6,2,7
2014-03-08 12:23:20,6,2,7
2014-03-08 12:23:21,6,2,7
2014-03-08 12:23:22,6,2,7
2014-03-08 12:23:23,6,2,7
2014-03-08 12:23:24,6,2,7
2014-03-08 12:23:25,6,2,7
2014-03-08 12:23:26,6,2,7
2014-03-08 12:23:27,6,2,7
2014-03-08 12:23:28,6,2,7
2014-03-08 12:23:29,6,2,7
2014-03-08 12:23:30,6,2,7
2014-03-08 12:23:31,6,2,7
2014-03-08 12:23:32,6,2,7
2014-03-08 12:23:33,6,2,7
2014-03-08 12:23:34,4,2,7
2014-03-08 12:23:35,4,2,7
2014-03-08 12:23:36,4,2,7
2014-03-08 12:23:37,2,2,7
2014-03-08 12:23:38,2,2,7
2014-03-08 12:23:39,2,2,7
2014-03-08 12:23:40,2,2,7
2014-03-08 12:23:41,2,2,7
2014-03-08 12:23:42,2,2,7
2014-03-08 12:23:43,2,2,7
2014-03-08 12:23:44,2,2,7
2014-03-08 12:23:45,2,2,7
2014-03-08 12:23:46,2,2,7
2014-03-08 12:23:47,2,2,7
2014-03-08 12:23:48,2,2,7
2014-03-08 12:23:49,2,2,7
2014-03-08 12:23:50,2,2,7
2014-03-08 12:23:51,2,2,7
2014-03-08 12:23:52,2,2,7
2014-03-08 12:23:53,2,2,7
2014-03-08 12:23:54,2,2,7
2014-03-08 12:23:55,2,2,7
2014-03-08 12:23:56,2,2,7
2014-03-08 12:23:57,2,2,7
2014-03-08 12:23:58,2,2,7
2014-03-08 12:23:59,2,2,7
2014-03-08 12:24:00,2,2,7
2014-03-08 12:24:01,2,2,7
2014-03-08 12:24:02,2,2,7
2014-03-08 12:24:03,2,2,7
2014-03-08 12:24:04,2,2,7
2014-03-08 12:24:05,2,2,7
2014-03-08 12:24:06,2,2,7
2014-03-08 12:24:07,2,2,4
2014-03-08 12:24:08,2,2,4
2014-03-08 12:24:09,2,2,4
2014-03-08 12:24:10,2,2,4
2014-03-08 12:24:11,2,2,2
2014-03-08 12:24:12,2,2,2
2014-03-08 12:24:13,2,2,2
2014-03-08 12:24:14,2,2,2
2014-03-08 12:24:15,2,2,2
2014-03-08 12:24:16,2,2,2
2014-03-08 12:24:17,2,2,2
2014-03-08 12:24:18,2,2,2
