time,0E98DD2F-94C2-45EE-BEC5-18718CA36D8B,jonathan
2014-03-13 15:28:35,0,0
2014-03-13 15:28:36,2,0
2014-03-13 15:28:37,2,0
2014-03-13 15:28:38,2,0
2014-03-13 15:28:39,2,0
2014-03-13 15:28:40,2,0
2014-03-13 15:28:41,0,0
2014-03-13 15:28:42,2,0
2014-03-13 15:28:43,2,0
2014-03-13 15:28:44,2,0
2014-03-13 15:28:45,2,0
2014-03-13 15:28:46,2,0
2014-03-13 15:28:47,0,0
2014-03-13 15:28:48,0,0
2014-03-13 15:28:49,0,0
2014-03-13 15:28:50,0,6
2014-03-13 15:28:51,2,7
2014-03-13 15:28:52,2,7
2014-03-13 15:28:53,2,7
2014-03-13 15:28:54,2,7
2014-03-13 15:28:55,2,4
2014-03-13 15:28:56,0,4
2014-03-13 15:28:57,0,6
2014-03-13 15:28:58,2,8
2014-03-13 15:28:59,2,8
2014-03-13 15:29:00,2,8
2014-03-13 15:29:01,2,8
2014-03-13 15:29:02,2,6
2014-03-13 15:29:03,0,7
2014-03-13 15:29:04,0,7
2014-03-13 15:29:05,4,7
2014-03-13 15:29:06,4,7
2014-03-13 15:29:07,4,7
2014-03-13 15:29:08,4,7
2014-03-13 15:29:09,4,5
2014-03-13 15:29:10,0,5
2014-03-13 15:29:11,0,5
2014-03-13 15:29:12,4,0
2014-03-13 15:29:13,4,0
2014-03-13 15:29:14,4,0
2014-03-13 15:29:15,4,0
2014-03-13 15:29:16,4,4
2014-03-13 15:29:17,4,7
2014-03-13 15:29:18,0,7
2014-03-13 15:29:19,0,7
2014-03-13 15:29:20,0,7
2014-03-13 15:29:21,8,7
2014-03-13 15:29:22,4,7
2014-03-13 15:29:23,4,8
2014-03-13 15:29:24,4,8
2014-03-13 15:29:25,4,3
2014-03-13 15:29:26,4,3
2014-03-13 15:29:27,4,3
2014-03-13 15:29:28,4,3
2014-03-13 15:29:29,4,3
2014-03-13 15:29:30,4,4
2014-03-13 15:29:31,4,4
2014-03-13 15:29:32,4,4
2014-03-13 15:29:33,4,4
2014-03-13 15:29:34,3,4
2014-03-13 15:29:35,2,4
2014-03-13 15:29:36,2,4
2014-03-13 15:29:37,2,4
2014-03-13 15:29:38,2,4
2014-03-13 15:29:39,2,4
2014-03-13 15:29:40,2,4
2014-03-13 15:29:41,2,4
2014-03-13 15:29:42,2,4
2014-03-13 15:29:43,2,4
2014-03-13 15:29:44,2,7
2014-03-13 15:29:45,2,5
2014-03-13 15:29:46,2,5
2014-03-13 15:29:47,2,5
2014-03-13 15:29:48,2,5
2014-03-13 15:29:49,2,5
2014-03-13 15:29:50,2,5
2014-03-13 15:29:51,2,5
2014-03-13 15:29:52,2,7
2014-03-13 15:29:53,2,7
2014-03-13 15:29:54,2,7
2014-03-13 15:29:55,2,7
2014-03-13 15:29:56,2,7
2014-03-13 15:29:57,2,7
2014-03-13 15:29:58,2,7
2014-03-13 15:29:59,2,7
2014-03-13 15:30:00,2,7
2014-03-13 15:30:01,2,7
2014-03-13 15:30:02,2,6
2014-03-13 15:30:03,2,6
2014-03-13 15:30:04,2,6
2014-03-13 15:30:05,3,6
2014-03-13 15:30:06,3,6
2014-03-13 15:30:07,3,6
2014-03-13 15:30:08,3,6
2014-03-13 15:30:09,3,6
2014-03-13 15:30:10,3,6
2014-03-13 15:30:11,3,7
2014-03-13 15:30:12,3,7
2014-03-13 15:30:13,3,7
2014-03-13 15:30:14,3,5
2014-03-13 15:30:15,7,5
2014-03-13 15:30:16,7,5
2014-03-13 15:30:17,3,5
2014-03-13 15:30:18,3,5
2014-03-13 15:30:19,3,5
2014-03-13 15:30:20,3,2
2014-03-13 15:30:21,3,2
2014-03-13 15:30:22,7,2
2014-03-13 15:30:23,7,2
2014-03-13 15:30:24,7,6
2014-03-13 15:30:25,7,8
2014-03-13 15:30:26,8,8
2014-03-13 15:30:27,4,8
2014-03-13 15:30:28,4,3
2014-03-13 15:30:29,4,1
2014-03-13 15:30:30,4,2
2014-03-13 15:30:31,7,2
2014-03-13 15:30:32,7,2
2014-03-13 15:30:33,7,2
2014-03-13 15:30:34,7,3
2014-03-13 15:30:35,7,3
2014-03-13 15:30:36,7,3
2014-03-13 15:30:37,7,3
2014-03-13 15:30:38,7,3
2014-03-13 15:30:39,7,3
2014-03-13 15:30:40,7,4
2014-03-13 15:30:41,7,8
2014-03-13 15:30:42,3,8
2014-03-13 15:30:43,3,4
2014-03-13 15:30:44,3,4
2014-03-13 15:30:45,2,8
2014-03-13 15:30:46,2,8
2014-03-13 15:30:47,2,8
2014-03-13 15:30:48,1,4
2014-03-13 15:30:49,1,7
2014-03-13 15:30:50,1,7
2014-03-13 15:30:51,1,7
2014-03-13 15:30:52,1,7
2014-03-13 15:30:53,1,7
2014-03-13 15:30:54,1,7
2014-03-13 15:30:55,1,7
2014-03-13 15:30:56,1,8
2014-03-13 15:30:57,1,8
2014-03-13 15:30:58,2,7
2014-03-13 15:30:59,2,7
2014-03-13 15:31:00,2,7
2014-03-13 15:31:01,2,7
2014-03-13 15:31:02,2,7
2014-03-13 15:31:03,2,7
2014-03-13 15:31:04,2,7
2014-03-13 15:31:05,2,7
2014-03-13 15:31:06,2,7
2014-03-13 15:31:07,2,5
2014-03-13 15:31:08,2,5
2014-03-13 15:31:09,2,7
2014-03-13 15:31:10,2,7
2014-03-13 15:31:11,2,7
2014-03-13 15:31:12,2,7
2014-03-13 15:31:13,2,7
