time,jonathan,charles_ipadair
2014-03-13 16:11:35,0,0
2014-03-13 16:11:36,5,0
2014-03-13 16:11:37,5,0
2014-03-13 16:11:38,5,0
2014-03-13 16:11:39,5,0
2014-03-13 16:11:40,7,0
2014-03-13 16:11:41,7,0
2014-03-13 16:11:42,7,0
2014-03-13 16:11:43,7,0
2014-03-13 16:11:44,7,0
2014-03-13 16:11:45,7,0
2014-03-13 16:11:46,7,7
2014-03-13 16:11:47,7,7
2014-03-13 16:11:48,7,7
2014-03-13 16:11:49,7,7
2014-03-13 16:11:50,7,7
2014-03-13 16:11:51,7,7
2014-03-13 16:11:52,7,7
2014-03-13 16:11:53,7,7
2014-03-13 16:11:54,7,7
2014-03-13 16:11:55,7,7
2014-03-13 16:11:56,7,7
2014-03-13 16:11:57,7,7
2014-03-13 16:11:58,7,7
2014-03-13 16:11:59,7,7
2014-03-13 16:12:00,7,6
2014-03-13 16:12:01,7,7
2014-03-13 16:12:02,7,7
2014-03-13 16:12:03,5,7
2014-03-13 16:12:04,5,7
2014-03-13 16:12:05,7,6
2014-03-13 16:12:06,7,6
2014-03-13 16:12:07,7,6
2014-03-13 16:12:08,7,7
2014-03-13 16:12:09,7,7
2014-03-13 16:12:10,6,7
2014-03-13 16:12:11,6,7
2014-03-13 16:12:12,7,7
2014-03-13 16:12:13,7,7
2014-03-13 16:12:14,7,7
2014-03-13 16:12:15,7,7
2014-03-13 16:12:16,5,7
2014-03-13 16:12:17,5,7
2014-03-13 16:12:18,5,7
2014-03-13 16:12:19,7,7
2014-03-13 16:12:20,7,7
2014-03-13 16:12:21,7,7
2014-03-13 16:12:22,7,7
2014-03-13 16:12:23,7,7
2014-03-13 16:12:24,7,7
2014-03-13 16:12:25,7,7
2014-03-13 16:12:26,7,7
2014-03-13 16:12:27,7,7
2014-03-13 16:12:28,7,7
2014-03-13 16:12:29,7,7
2014-03-13 16:12:30,7,7
2014-03-13 16:12:31,7,7
2014-03-13 16:12:32,7,7
2014-03-13 16:12:33,7,7
2014-03-13 16:12:34,7,7
2014-03-13 16:12:35,7,7
2014-03-13 16:12:36,7,7
2014-03-13 16:12:37,7,6
2014-03-13 16:12:38,7,6
2014-03-13 16:12:39,7,6
2014-03-13 16:12:40,7,7
2014-03-13 16:12:41,7,7
2014-03-13 16:12:42,7,7
2014-03-13 16:12:43,7,7
2014-03-13 16:12:44,7,7
2014-03-13 16:12:45,7,6
2014-03-13 16:12:46,7,6
2014-03-13 16:12:47,7,7
2014-03-13 16:12:48,7,7
2014-03-13 16:12:49,7,7
2014-03-13 16:12:50,7,7
2014-03-13 16:12:51,7,7
2014-03-13 16:12:52,6,7
2014-03-13 16:12:53,6,7
2014-03-13 16:12:54,6,6
2014-03-13 16:12:55,6,7
2014-03-13 16:12:56,6,7
2014-03-13 16:12:57,6,6
2014-03-13 16:12:58,6,6
2014-03-13 16:12:59,6,7
2014-03-13 16:13:00,6,7
2014-03-13 16:13:01,6,7
2014-03-13 16:13:02,6,7
2014-03-13 16:13:03,6,7
2014-03-13 16:13:04,6,8
2014-03-13 16:13:05,6,1
2014-03-13 16:13:06,7,1
2014-03-13 16:13:07,7,1
2014-03-13 16:13:08,7,1
