time,charles_ipadair,charles,christina,yvonne,jonathan_iPad2,jonathan
2014-03-15 12:34:09,0,0,0,0,0,0
2014-03-15 12:34:10,2,2,2,0,0,0
2014-03-15 12:34:11,7,4,7,6,4,2
2014-03-15 12:34:12,7,4,7,7,4,6
2014-03-15 12:34:13,7,4,7,7,7,7
2014-03-15 12:34:14,7,6,7,7,7,7
2014-03-15 12:34:15,7,6,7,7,7,7
2014-03-15 12:34:16,7,6,6,7,8,7
2014-03-15 12:34:17,7,6,6,6,8,7
2014-03-15 12:34:18,7,6,6,6,8,6
2014-03-15 12:34:19,7,6,6,6,8,6
2014-03-15 12:34:20,7,6,6,6,8,7
2014-03-15 12:34:21,7,6,6,6,8,7
2014-03-15 12:34:22,5,6,6,6,6,7
2014-03-15 12:34:23,5,6,6,6,6,7
2014-03-15 12:34:24,7,6,6,6,6,7
2014-03-15 12:34:25,7,6,6,6,6,7
2014-03-15 12:34:26,7,6,6,6,6,7
2014-03-15 12:34:27,7,6,7,6,6,7
2014-03-15 12:34:28,7,6,7,6,6,7
2014-03-15 12:34:29,7,6,7,6,6,7
2014-03-15 12:34:30,7,6,7,6,6,7
2014-03-15 12:34:31,7,6,7,6,6,7
2014-03-15 12:34:32,7,6,7,6,6,7
2014-03-15 12:34:33,7,6,7,6,6,7
2014-03-15 12:34:34,7,6,7,6,6,7
2014-03-15 12:34:35,7,6,7,6,6,6
2014-03-15 12:34:36,7,6,7,6,6,6
2014-03-15 12:34:37,7,6,7,6,7,6
2014-03-15 12:34:38,7,6,7,6,7,6
2014-03-15 12:34:39,7,6,7,6,6,7
2014-03-15 12:34:40,7,6,7,6,6,7
2014-03-15 12:34:41,7,6,7,7,7,7
2014-03-15 12:34:42,7,6,7,7,7,6
2014-03-15 12:34:43,7,6,7,7,6,7
2014-03-15 12:34:44,7,6,7,7,6,7
2014-03-15 12:34:45,7,6,6,7,6,7
2014-03-15 12:34:46,7,6,6,7,6,7
2014-03-15 12:34:47,7,6,6,6,6,7
2014-03-15 12:34:48,7,6,6,6,6,7
2014-03-15 12:34:49,7,6,6,6,6,7
2014-03-15 12:34:50,7,6,6,6,6,7
2014-03-15 12:34:51,7,6,8,8,6,7
2014-03-15 12:34:52,7,6,6,6,6,7
2014-03-15 12:34:53,7,6,7,6,8,7
2014-03-15 12:34:54,8,6,8,6,8,8
2014-03-15 12:34:55,7,6,7,6,8,7
2014-03-15 12:34:56,7,6,7,6,8,7
2014-03-15 12:34:57,7,6,7,6,8,7
2014-03-15 12:34:58,7,6,7,6,8,7
2014-03-15 12:34:59,7,4,7,6,8,7
2014-03-15 12:35:00,7,4,4,6,8,7
2014-03-15 12:35:01,7,4,8,6,6,7
2014-03-15 12:35:02,8,4,2,8,7,8
2014-03-15 12:35:03,7,2,2,6,7,7
2014-03-15 12:35:04,7,2,2,6,7,7
2014-03-15 12:35:05,7,2,2,6,7,7
2014-03-15 12:35:06,7,2,2,6,7,7
