time,christina,charles_ipadair,yvonne,jonathan_iPad2,charles,jonathan,6EAD764A-E424-48EB-9672-03EF44679A5E
2014-03-15 12:55:30,0,0,0,0,0,0,0
2014-03-15 12:55:31,4,4,4,4,4,2,0
2014-03-15 12:55:32,7,4,4,4,4,4,4
2014-03-15 12:55:33,7,7,4,7,4,4,6
2014-03-15 12:55:34,7,7,7,7,6,7,7
2014-03-15 12:55:35,8,7,6,7,6,6,7
2014-03-15 12:55:36,6,7,6,8,6,8,7
2014-03-15 12:55:37,6,7,6,8,6,8,8
2014-03-15 12:55:38,6,7,6,8,6,8,8
2014-03-15 12:55:39,6,7,6,8,6,8,8
2014-03-15 12:55:40,6,7,8,8,6,6,8
2014-03-15 12:55:41,6,7,8,8,6,6,8
2014-03-15 12:55:42,6,7,8,8,6,6,8
2014-03-15 12:55:43,6,7,8,8,6,6,8
2014-03-15 12:55:44,6,7,6,8,6,6,8
2014-03-15 12:55:45,6,7,6,8,6,6,8
2014-03-15 12:55:46,6,7,6,6,6,6,8
2014-03-15 12:55:47,6,7,6,8,6,7,8
2014-03-15 12:55:48,6,7,6,8,6,6,8
2014-03-15 12:55:49,6,7,6,8,6,6,8
2014-03-15 12:55:50,6,7,6,8,6,6,7
2014-03-15 12:55:51,6,7,6,8,6,6,7
2014-03-15 12:55:52,6,7,6,8,6,6,8
2014-03-15 12:55:53,6,6,6,8,6,6,7
2014-03-15 12:55:54,6,6,6,8,6,6,6
2014-03-15 12:55:55,6,6,6,8,6,6,8
2014-03-15 12:55:56,6,6,6,8,6,6,8
2014-03-15 12:55:57,6,6,6,6,6,6,6
2014-03-15 12:55:58,6,6,6,8,6,6,8
2014-03-15 12:55:59,6,6,6,8,6,6,8
2014-03-15 12:56:00,6,6,6,8,4,6,8
2014-03-15 12:56:01,6,6,6,8,4,6,8
2014-03-15 12:56:02,6,8,8,8,4,8,8
2014-03-15 12:56:03,6,6,6,8,4,6,7
2014-03-15 12:56:04,8,6,6,8,4,6,8
2014-03-15 12:56:05,8,6,8,8,7,6,8
2014-03-15 12:56:06,8,6,6,8,6,6,7
2014-03-15 12:56:07,7,6,6,8,7,6,7
2014-03-15 12:56:08,7,8,8,8,5,8,7
2014-03-15 12:56:09,7,6,6,8,7,6,7
2014-03-15 12:56:10,7,6,6,8,4,6,7
2014-03-15 12:56:11,7,6,6,8,4,6,7
2014-03-15 12:56:12,7,6,6,8,4,6,7
2014-03-15 12:56:13,7,6,6,8,6,6,7
