time,jonathan_iPad2,00088B8E-D27C-4AE1-8102-5FE318589D3E,christina,2C4C4043-B7F7-4C22-B930-1472B1E18DBF,6EAD764A-E424-48EB-9672-03EF44679A5E,95585C5C-C1C1-4612-9836-BFC68B0DC36F,yvonne,jonathan,charles_ipadair
2014-03-15 13:19:37,0,0,0,0,0,0,0,0,0
2014-03-15 13:19:38,2,0,0,0,0,0,0,0,0
2014-03-15 13:19:39,2,0,0,0,0,0,0,0,0
2014-03-15 13:19:40,2,0,0,0,0,0,0,0,0
2014-03-15 13:19:41,2,0,0,0,0,0,0,0,0
2014-03-15 13:19:42,8,2,0,0,0,0,0,0,0
2014-03-15 13:19:43,2,2,2,0,0,0,0,0,0
2014-03-15 13:19:44,4,2,2,2,0,0,0,0,0
2014-03-15 13:19:45,4,3,2,2,0,0,0,0,0
2014-03-15 13:19:46,4,3,2,1,0,0,0,0,0
2014-03-15 13:19:47,4,3,2,1,0,0,0,0,0
2014-03-15 13:19:48,4,3,2,1,0,0,0,0,0
2014-03-15 13:19:49,3,3,2,2,0,0,0,0,0
2014-03-15 13:19:50,3,4,0,2,0,0,0,0,0
2014-03-15 13:19:51,1,4,2,2,0,0,0,0,0
2014-03-15 13:19:52,1,4,2,2,0,0,0,0,0
2014-03-15 13:19:53,1,4,1,2,0,0,0,0,0
2014-03-15 13:19:54,1,4,1,2,2,0,0,0,0
2014-03-15 13:19:55,1,4,1,2,2,0,0,0,0
2014-03-15 13:19:56,1,4,1,3,2,0,0,0,0
2014-03-15 13:19:57,1,4,1,4,2,0,0,0,0
2014-03-15 13:19:58,3,4,1,4,2,0,0,0,0
2014-03-15 13:19:59,3,4,1,3,3,0,0,0,0
2014-03-15 13:20:00,3,4,1,3,3,0,0,0,0
2014-03-15 13:20:01,3,3,1,3,3,0,0,0,0
2014-03-15 13:20:02,3,3,1,3,3,0,0,0,0
2014-03-15 13:20:03,3,3,1,3,3,0,0,0,0
2014-03-15 13:20:04,3,3,1,3,3,0,0,0,0
2014-03-15 13:20:05,2,3,1,4,3,0,0,0,0
2014-03-15 13:20:06,4,3,2,3,3,0,0,0,0
2014-03-15 13:20:07,2,3,1,3,3,0,0,0,0
2014-03-15 13:20:08,3,3,1,3,3,0,0,0,0
2014-03-15 13:20:09,3,3,1,3,3,0,0,0,0
2014-03-15 13:20:10,3,3,1,3,3,4,0,0,0
2014-03-15 13:20:11,1,3,1,3,3,4,0,0,0
2014-03-15 13:20:12,1,3,1,3,3,4,0,0,0
2014-03-15 13:20:13,1,4,3,4,3,7,0,0,0
2014-03-15 13:20:14,1,4,3,7,3,7,0,0,0
2014-03-15 13:20:15,1,4,3,4,3,7,0,0,0
2014-03-15 13:20:16,1,4,4,3,3,7,0,0,0
2014-03-15 13:20:17,1,4,4,3,3,4,0,0,0
2014-03-15 13:20:18,3,4,4,3,3,4,0,0,0
2014-03-15 13:20:19,3,4,0,1,3,3,0,0,0
2014-03-15 13:20:20,3,4,2,1,3,3,0,0,0
2014-03-15 13:20:21,3,4,2,1,3,1,0,0,0
2014-03-15 13:20:22,3,4,2,1,3,2,0,0,0
2014-03-15 13:20:23,4,4,2,3,3,2,0,0,0
2014-03-15 13:20:24,4,4,2,3,3,2,0,0,0
2014-03-15 13:20:25,6,4,2,3,3,2,0,0,0
