time,jonathan,christina,iPad2-64-white,yvonne,jonathan_iPad2,charles_ipadair,charles
2014-03-17 17:40:46,0,0,0,0,0,0,0
2014-03-17 17:40:47,7,4,4,4,8,6,0
2014-03-17 17:40:48,7,4,4,4,4,4,0
2014-03-17 17:40:49,7,4,4,7,7,7,0
2014-03-17 17:40:50,7,7,6,7,7,7,4
2014-03-17 17:40:51,8,8,8,6,7,6,4
2014-03-17 17:40:52,7,7,8,6,6,6,7
2014-03-17 17:40:53,7,7,8,6,6,6,7
2014-03-17 17:40:54,7,6,8,6,6,6,7
2014-03-17 17:40:55,7,8,8,6,6,6,7
2014-03-17 17:40:56,7,8,8,6,6,6,7
2014-03-17 17:40:57,7,8,8,6,6,6,7
2014-03-17 17:40:58,7,8,8,6,6,6,7
2014-03-17 17:40:59,7,6,8,6,8,6,7
2014-03-17 17:41:00,7,6,8,6,8,6,7
2014-03-17 17:41:01,7,6,8,6,8,6,7
2014-03-17 17:41:02,7,6,8,6,8,6,7
2014-03-17 17:41:03,7,6,8,6,8,6,7
2014-03-17 17:41:04,7,6,8,6,8,6,7
2014-03-17 17:41:05,4,6,8,6,8,6,7
2014-03-17 17:41:06,7,6,8,6,8,6,7
2014-03-17 17:41:07,7,6,8,6,7,7,7
2014-03-17 17:41:08,7,6,8,6,7,7,7
2014-03-17 17:41:09,7,6,8,6,8,6,7
2014-03-17 17:41:10,7,6,6,6,8,6,7
2014-03-17 17:41:11,7,6,6,6,7,6,7
2014-03-17 17:41:12,7,6,6,6,8,6,7
2014-03-17 17:41:13,7,6,6,6,8,6,7
2014-03-17 17:41:14,7,6,6,6,7,6,7
2014-03-17 17:41:15,6,6,8,6,7,6,7
2014-03-17 17:41:16,8,6,8,6,8,6,7
2014-03-17 17:41:17,7,6,6,6,7,6,7
2014-03-17 17:41:18,7,6,8,6,7,6,7
2014-03-17 17:41:19,8,6,8,8,8,8,8
2014-03-17 17:41:20,7,6,6,6,7,6,7
2014-03-17 17:41:21,7,6,6,6,8,6,7
2014-03-17 17:41:22,8,6,6,8,8,8,8
2014-03-17 17:41:23,7,4,4,6,8,6,7
2014-03-17 17:41:24,7,4,4,6,8,6,7
2014-03-17 17:41:25,8,4,4,6,8,8,7
2014-03-17 17:41:26,7,2,4,6,8,6,7
2014-03-17 17:41:27,7,2,2,6,8,6,7
2014-03-17 17:41:28,7,2,2,6,8,6,7
2014-03-17 17:41:29,7,2,2,6,8,6,7
2014-03-17 17:41:30,7,2,2,6,8,6,6
2014-03-17 17:41:31,7,2,2,6,8,6,6
2014-03-17 17:41:32,7,2,2,6,8,6,6
2014-03-17 17:41:33,7,2,2,6,8,6,6
2014-03-17 17:41:34,7,2,2,6,8,6,6
2014-03-17 17:41:35,7,2,2,6,8,6,4
2014-03-17 17:41:36,7,2,2,6,8,6,4
2014-03-17 17:41:37,7,2,2,6,8,6,4
2014-03-17 17:41:38,7,2,2,6,8,6,4
2014-03-17 17:41:39,7,2,2,6,8,6,4
2014-03-17 17:41:40,7,2,2,6,8,6,4
2014-03-17 17:41:41,7,2,2,6,8,6,4
2014-03-17 17:41:42,4,2,2,6,8,6,4
2014-03-17 17:41:43,4,2,2,6,8,6,4
2014-03-17 17:41:44,0,2,2,6,8,6,4
2014-03-17 17:41:45,0,2,2,6,8,6,4
2014-03-17 17:41:46,0,2,2,6,8,6,4
2014-03-17 17:41:47,0,2,2,6,8,6,4
2014-03-17 17:41:48,0,2,2,6,8,6,4
2014-03-17 17:41:49,0,2,2,6,8,6,4
2014-03-17 17:41:50,0,2,2,6,8,6,4
2014-03-17 17:41:51,0,2,2,6,8,6,4
2014-03-17 17:41:52,0,2,2,6,8,6,6
2014-03-17 17:41:53,0,2,2,6,8,6,6
2014-03-17 17:41:54,0,2,2,6,8,6,6
2014-03-17 17:41:55,0,2,2,6,8,6,6
2014-03-17 17:41:56,0,2,2,6,8,6,6
2014-03-17 17:41:57,0,2,2,6,8,6,6
2014-03-17 17:41:58,0,2,2,6,8,6,6
2014-03-17 17:41:59,0,2,2,6,8,6,6
2014-03-17 17:42:00,0,2,2,6,8,6,6
2014-03-17 17:42:01,0,2,2,4,8,4,6
2014-03-17 17:42:02,2,2,2,4,8,4,6
2014-03-17 17:42:03,2,2,2,4,8,4,6
2014-03-17 17:42:04,2,2,2,4,8,2,6
2014-03-17 17:42:05,2,2,2,2,8,2,7
2014-03-17 17:42:06,2,2,2,2,8,2,7
2014-03-17 17:42:07,2,2,2,2,8,2,6
2014-03-17 17:42:08,2,2,2,2,8,2,6
2014-03-17 17:42:09,2,2,2,2,8,2,6
2014-03-17 17:42:10,2,2,2,2,8,2,6
2014-03-17 17:42:11,2,2,2,2,8,2,6
2014-03-17 17:42:12,2,2,2,2,8,2,6
