time,charles_ipadair,jonathan_iPad2,yvonne,jonathan,christina,iPad2-64-white,charles
2014-03-17 18:10:25,0,0,0,0,0,0,0
2014-03-17 18:10:26,2,2,2,2,2,2,2
2014-03-17 18:10:27,4,4,4,7,4,4,7
2014-03-17 18:10:28,4,4,4,7,4,4,7
2014-03-17 18:10:29,7,7,4,7,4,6,7
2014-03-17 18:10:30,6,7,6,7,6,6,7
2014-03-17 18:10:31,6,8,6,7,6,6,7
2014-03-17 18:10:32,6,8,6,7,6,6,7
2014-03-17 18:10:33,6,8,7,7,6,6,7
2014-03-17 18:10:34,6,8,7,7,6,6,7
2014-03-17 18:10:35,6,8,7,7,6,6,7
2014-03-17 18:10:36,6,8,7,7,6,6,7
2014-03-17 18:10:37,6,8,7,7,6,6,7
2014-03-17 18:10:38,6,8,7,7,6,6,7
2014-03-17 18:10:39,6,8,7,7,6,8,7
2014-03-17 18:10:40,6,8,7,7,6,6,7
2014-03-17 18:10:41,6,8,7,7,6,6,7
2014-03-17 18:10:42,6,8,7,7,6,6,7
2014-03-17 18:10:43,6,8,7,7,6,6,7
2014-03-17 18:10:44,6,8,7,7,6,6,7
2014-03-17 18:10:45,6,8,7,7,6,8,7
2014-03-17 18:10:46,6,6,7,7,6,6,7
2014-03-17 18:10:47,6,7,7,7,6,6,6
2014-03-17 18:10:48,6,7,7,7,6,6,6
2014-03-17 18:10:49,6,7,7,7,6,8,6
2014-03-17 18:10:50,6,7,7,7,6,8,7
2014-03-17 18:10:51,6,8,7,7,6,8,7
2014-03-17 18:10:52,6,8,7,7,6,8,7
2014-03-17 18:10:53,6,8,7,7,6,8,7
2014-03-17 18:10:54,6,8,7,7,6,8,7
2014-03-17 18:10:55,6,7,7,7,6,8,7
2014-03-17 18:10:56,6,7,7,7,6,8,7
2014-03-17 18:10:57,6,7,7,7,6,8,7
2014-03-17 18:10:58,6,7,7,7,6,8,7
2014-03-17 18:10:59,6,7,7,7,6,8,7
2014-03-17 18:11:00,6,8,7,7,6,6,7
2014-03-17 18:11:01,6,8,7,7,6,6,7
2014-03-17 18:11:02,6,8,7,7,6,8,7
2014-03-17 18:11:03,6,8,7,7,6,6,7
2014-03-17 18:11:04,6,8,7,7,6,6,7
2014-03-17 18:11:05,6,8,7,7,6,6,7
2014-03-17 18:11:06,6,8,7,7,6,6,7
2014-03-17 18:11:07,6,8,7,7,6,6,7
2014-03-17 18:11:08,6,7,7,7,6,6,7
2014-03-17 18:11:09,6,8,7,7,6,6,7
2014-03-17 18:11:10,6,7,7,7,6,6,7
2014-03-17 18:11:11,6,8,7,7,6,6,7
2014-03-17 18:11:12,6,8,7,7,6,8,7
2014-03-17 18:11:13,6,7,7,7,6,8,7
2014-03-17 18:11:14,6,8,8,7,6,8,7
2014-03-17 18:11:15,6,8,8,7,6,8,7
2014-03-17 18:11:16,6,8,8,7,6,8,7
2014-03-17 18:11:17,6,8,8,7,6,8,7
2014-03-17 18:11:18,8,8,8,7,6,8,7
2014-03-17 18:11:19,6,8,8,7,6,8,7
2014-03-17 18:11:20,8,8,8,8,6,8,8
2014-03-17 18:11:21,6,8,7,7,6,8,7
2014-03-17 18:11:22,6,7,7,7,6,6,7
2014-03-17 18:11:23,6,8,7,8,6,8,7
2014-03-17 18:11:24,6,8,7,7,6,8,7
2014-03-17 18:11:25,8,8,7,7,6,8,7
2014-03-17 18:11:26,6,8,7,7,6,6,7
2014-03-17 18:11:27,8,8,8,8,6,6,8
2014-03-17 18:11:28,6,8,7,7,6,6,7
2014-03-17 18:11:29,8,7,7,7,6,6,7
2014-03-17 18:11:30,8,8,7,7,6,6,7
2014-03-17 18:11:31,8,7,7,7,6,6,7
