time,yvonne,jonathan,charles,christina
2014-03-17 18:31:15,0,0,0,0
2014-03-17 18:31:16,2,0,0,0
2014-03-17 18:31:17,2,0,0,0
2014-03-17 18:31:18,2,0,0,0
2014-03-17 18:31:19,2,0,0,0
2014-03-17 18:31:20,2,0,0,0
2014-03-17 18:31:21,0,0,0,0
2014-03-17 18:31:22,0,0,0,0
2014-03-17 18:31:23,0,0,0,0
2014-03-17 18:31:24,0,0,0,0
2014-03-17 18:31:25,0,0,0,0
2014-03-17 18:31:26,0,0,0,0
2014-03-17 18:31:27,0,0,0,0
2014-03-17 18:31:28,0,0,0,0
2014-03-17 18:31:29,0,0,0,0
2014-03-17 18:31:30,0,0,0,0
2014-03-17 18:31:31,0,0,0,0
2014-03-17 18:31:32,0,0,0,0
2014-03-17 18:31:33,0,0,0,0
2014-03-17 18:31:34,0,4,0,0
2014-03-17 18:31:35,0,4,0,0
2014-03-17 18:31:36,0,4,0,0
2014-03-17 18:31:37,0,4,0,0
2014-03-17 18:31:38,0,3,0,0
2014-03-17 18:31:39,0,4,0,0
2014-03-17 18:31:40,0,3,0,0
2014-03-17 18:31:41,0,4,0,0
2014-03-17 18:31:42,0,3,0,0
2014-03-17 18:31:43,0,8,0,0
2014-03-17 18:31:44,0,5,0,0
2014-03-17 18:31:45,0,3,0,0
2014-03-17 18:31:46,0,2,0,0
2014-03-17 18:31:47,0,1,0,0
2014-03-17 18:31:48,0,2,0,0
2014-03-17 18:31:49,0,2,0,0
2014-03-17 18:31:50,0,1,0,0
2014-03-17 18:31:51,0,1,0,0
2014-03-17 18:31:52,0,1,0,0
2014-03-17 18:31:53,0,1,0,0
2014-03-17 18:31:54,0,2,0,0
2014-03-17 18:31:55,0,2,0,0
2014-03-17 18:31:56,0,2,0,0
2014-03-17 18:31:57,0,2,0,0
2014-03-17 18:31:58,0,2,0,0
2014-03-17 18:31:59,0,2,0,0
2014-03-17 18:32:00,0,2,0,0
2014-03-17 18:32:01,0,2,0,0
2014-03-17 18:32:02,0,1,0,0
2014-03-17 18:32:03,0,1,0,0
2014-03-17 18:32:04,0,1,0,0
2014-03-17 18:32:05,0,1,0,0
2014-03-17 18:32:06,0,1,0,0
2014-03-17 18:32:07,0,1,0,0
2014-03-17 18:32:08,0,2,0,0
2014-03-17 18:32:09,0,2,0,0
2014-03-17 18:32:10,0,2,0,0
2014-03-17 18:32:11,0,2,0,0
2014-03-17 18:32:12,0,2,0,0
2014-03-17 18:32:13,0,2,0,0
2014-03-17 18:32:14,0,2,0,0
2014-03-17 18:32:15,0,2,0,0
2014-03-17 18:32:16,0,2,0,0
2014-03-17 18:32:17,0,2,0,0
2014-03-17 18:32:18,0,2,0,0
2014-03-17 18:32:19,0,2,0,0
2014-03-17 18:32:20,0,2,0,0
2014-03-17 18:32:21,0,2,0,0
2014-03-17 18:32:22,0,2,0,0
2014-03-17 18:32:23,0,2,0,0
2014-03-17 18:32:24,0,2,0,0
2014-03-17 18:32:25,0,2,0,0
2014-03-17 18:32:26,0,2,0,0
2014-03-17 18:32:27,0,2,0,0
2014-03-17 18:32:28,0,2,0,0
2014-03-17 18:32:29,0,1,0,0
2014-03-17 18:32:30,0,1,0,0
2014-03-17 18:32:31,2,1,0,0
2014-03-17 18:32:32,2,1,0,0
2014-03-17 18:32:33,2,1,0,0
2014-03-17 18:32:34,2,1,0,0
2014-03-17 18:32:35,2,1,0,0
2014-03-17 18:32:36,2,1,0,0
2014-03-17 18:32:37,2,1,0,0
2014-03-17 18:32:38,2,1,0,0
2014-03-17 18:32:39,6,1,0,0
2014-03-17 18:32:40,6,1,0,0
2014-03-17 18:32:41,6,1,0,0
2014-03-17 18:32:42,7,1,0,0
2014-03-17 18:32:43,7,1,0,0
2014-03-17 18:32:44,6,1,0,0
2014-03-17 18:32:45,6,1,0,0
2014-03-17 18:32:46,5,1,0,0
2014-03-17 18:32:47,5,1,0,0
2014-03-17 18:32:48,5,1,0,0
2014-03-17 18:32:49,5,1,0,0
2014-03-17 18:32:50,5,1,0,0
2014-03-17 18:32:51,5,1,0,0
2014-03-17 18:32:52,5,1,0,0
2014-03-17 18:32:53,5,1,0,0
2014-03-17 18:32:54,5,1,0,0
2014-03-17 18:32:55,5,1,0,0
2014-03-17 18:32:56,5,1,0,0
2014-03-17 18:32:57,5,1,0,0
2014-03-17 18:32:58,5,1,0,0
2014-03-17 18:32:59,5,1,0,0
2014-03-17 18:33:00,5,2,0,0
2014-03-17 18:33:01,5,2,0,0
2014-03-17 18:33:02,5,1,0,0
2014-03-17 18:33:03,5,1,0,0
2014-03-17 18:33:04,5,1,0,0
2014-03-17 18:33:05,5,1,0,0
2014-03-17 18:33:06,5,1,0,0
2014-03-17 18:33:07,5,3,0,0
2014-03-17 18:33:08,5,3,0,0
2014-03-17 18:33:09,5,3,0,0
2014-03-17 18:33:10,5,3,0,0
2014-03-17 18:33:11,5,3,0,0
2014-03-17 18:33:12,5,3,0,0
2014-03-17 18:33:13,5,1,0,0
2014-03-17 18:33:14,5,1,0,0
2014-03-17 18:33:15,5,1,0,0
2014-03-17 18:33:16,5,1,0,0
2014-03-17 18:33:17,5,1,0,0
2014-03-17 18:33:18,5,1,0,0
2014-03-17 18:33:19,0,2,0,0
2014-03-17 18:33:20,0,2,0,0
2014-03-17 18:33:21,0,2,0,0
2014-03-17 18:33:22,0,2,0,0
2014-03-17 18:33:23,0,0,0,0
2014-03-17 18:33:24,0,2,0,0
2014-03-17 18:33:25,0,1,0,0
2014-03-17 18:33:26,0,1,0,0
2014-03-17 18:33:27,0,1,0,0
2014-03-17 18:33:28,0,2,0,0
2014-03-17 18:33:29,0,3,0,0
2014-03-17 18:33:30,0,4,0,0
2014-03-17 18:33:31,0,7,0,0
2014-03-17 18:33:32,0,8,2,0
2014-03-17 18:33:33,0,8,2,0
2014-03-17 18:33:34,0,8,1,0
2014-03-17 18:33:35,0,2,1,0
2014-03-17 18:33:36,0,2,1,0
2014-03-17 18:33:37,0,2,1,0
2014-03-17 18:33:38,0,2,1,0
2014-03-17 18:33:39,0,2,2,0
2014-03-17 18:33:40,0,2,2,0
2014-03-17 18:33:41,0,2,0,0
2014-03-17 18:33:42,0,2,0,0
2014-03-17 18:33:43,0,2,2,0
2014-03-17 18:33:44,0,2,2,0
2014-03-17 18:33:45,0,2,2,0
2014-03-17 18:33:46,0,2,1,0
2014-03-17 18:33:47,0,2,1,0
2014-03-17 18:33:48,0,2,1,0
2014-03-17 18:33:49,0,2,2,0
2014-03-17 18:33:50,0,2,2,0
2014-03-17 18:33:51,0,2,2,0
2014-03-17 18:33:52,0,2,2,0
2014-03-17 18:33:53,0,2,2,0
2014-03-17 18:33:54,0,2,1,0
2014-03-17 18:33:55,0,2,1,0
2014-03-17 18:33:56,0,2,1,0
2014-03-17 18:33:57,0,2,1,0
2014-03-17 18:33:58,0,2,1,0
2014-03-17 18:33:59,0,2,1,0
2014-03-17 18:34:00,0,2,2,0
2014-03-17 18:34:01,0,0,2,0
2014-03-17 18:34:02,0,2,2,0
2014-03-17 18:34:03,0,2,2,0
2014-03-17 18:34:04,0,2,2,0
2014-03-17 18:34:05,0,2,2,0
2014-03-17 18:34:06,0,2,2,0
2014-03-17 18:34:07,0,2,2,0
2014-03-17 18:34:08,0,2,2,0
2014-03-17 18:34:09,0,2,2,0
2014-03-17 18:34:10,0,2,2,0
2014-03-17 18:34:11,0,2,2,0
2014-03-17 18:34:12,0,2,2,0
2014-03-17 18:34:13,0,2,2,0
2014-03-17 18:34:14,0,2,2,0
2014-03-17 18:34:15,0,2,2,0
2014-03-17 18:34:16,0,2,2,0
2014-03-17 18:34:17,0,2,2,0
2014-03-17 18:34:18,6,2,2,0
2014-03-17 18:34:19,5,2,2,0
2014-03-17 18:34:20,6,2,2,0
2014-03-17 18:34:21,6,2,2,0
2014-03-17 18:34:22,7,2,2,0
2014-03-17 18:34:23,7,2,2,0
2014-03-17 18:34:24,7,2,2,0
2014-03-17 18:34:25,7,2,2,0
2014-03-17 18:34:26,7,2,2,0
2014-03-17 18:34:27,7,2,2,0
2014-03-17 18:34:28,7,2,2,0
2014-03-17 18:34:29,7,2,2,0
2014-03-17 18:34:30,7,2,2,0
2014-03-17 18:34:31,7,2,2,0
2014-03-17 18:34:32,7,2,2,0
2014-03-17 18:34:33,7,2,2,0
2014-03-17 18:34:34,7,2,2,0
2014-03-17 18:34:35,7,2,2,0
2014-03-17 18:34:36,7,2,2,0
2014-03-17 18:34:37,7,1,2,0
2014-03-17 18:34:38,7,1,2,0
2014-03-17 18:34:39,7,1,0,0
2014-03-17 18:34:40,7,1,0,0
2014-03-17 18:34:41,7,8,0,0
2014-03-17 18:34:42,7,2,0,0
2014-03-17 18:34:43,7,2,0,0
2014-03-17 18:34:44,7,2,0,0
2014-03-17 18:34:45,3,2,0,0
2014-03-17 18:34:46,0,2,0,0
2014-03-17 18:34:47,0,2,0,0
2014-03-17 18:34:48,0,2,0,0
2014-03-17 18:34:49,0,2,0,0
2014-03-17 18:34:50,0,2,0,0
2014-03-17 18:34:51,0,2,0,0
2014-03-17 18:34:52,0,2,0,0
2014-03-17 18:34:53,0,2,0,0
2014-03-17 18:34:54,0,2,0,0
2014-03-17 18:34:55,0,2,0,0
2014-03-17 18:34:56,0,2,0,0
2014-03-17 18:34:57,0,2,0,0
2014-03-17 18:34:58,0,2,0,0
2014-03-17 18:34:59,0,2,0,0
2014-03-17 18:35:00,0,2,2,0
2014-03-17 18:35:01,0,2,2,0
2014-03-17 18:35:02,0,2,8,0
2014-03-17 18:35:03,0,2,8,0
2014-03-17 18:35:04,0,0,8,0
2014-03-17 18:35:05,2,0,8,0
2014-03-17 18:35:06,2,0,8,0
2014-03-17 18:35:07,2,0,8,0
2014-03-17 18:35:08,2,2,8,0
2014-03-17 18:35:09,2,2,8,0
2014-03-17 18:35:10,2,2,8,0
2014-03-17 18:35:11,2,2,8,0
2014-03-17 18:35:12,2,2,8,0
2014-03-17 18:35:13,2,2,8,0
2014-03-17 18:35:14,2,2,8,0
2014-03-17 18:35:15,2,2,8,0
2014-03-17 18:35:16,2,1,8,0
2014-03-17 18:35:17,2,1,8,0
2014-03-17 18:35:18,2,1,8,0
2014-03-17 18:35:19,2,1,8,0
2014-03-17 18:35:20,2,3,8,0
2014-03-17 18:35:21,2,4,8,0
2014-03-17 18:35:22,2,3,8,0
2014-03-17 18:35:23,2,3,8,0
2014-03-17 18:35:24,2,3,8,0
2014-03-17 18:35:25,2,3,8,0
2014-03-17 18:35:26,5,3,8,0
2014-03-17 18:35:27,6,2,8,0
2014-03-17 18:35:28,8,0,8,0
2014-03-17 18:35:29,8,0,8,0
2014-03-17 18:35:30,8,0,8,0
2014-03-17 18:35:31,8,0,8,0
2014-03-17 18:35:32,4,0,7,0
2014-03-17 18:35:33,4,0,7,0
2014-03-17 18:35:34,4,0,7,0
2014-03-17 18:35:35,4,4,7,0
2014-03-17 18:35:36,4,7,7,0
2014-03-17 18:35:37,4,4,7,0
2014-03-17 18:35:38,4,4,7,0
2014-03-17 18:35:39,8,4,7,0
2014-03-17 18:35:40,4,4,7,0
2014-03-17 18:35:41,4,4,7,0
2014-03-17 18:35:42,4,4,7,0
2014-03-17 18:35:43,4,0,7,0
2014-03-17 18:35:44,4,0,7,0
2014-03-17 18:35:45,4,0,7,0
2014-03-17 18:35:46,4,0,7,0
2014-03-17 18:35:47,4,0,7,0
2014-03-17 18:35:48,4,0,8,0
2014-03-17 18:35:49,4,0,7,0
2014-03-17 18:35:50,4,0,7,0
2014-03-17 18:35:51,4,0,7,0
2014-03-17 18:35:52,4,0,7,0
2014-03-17 18:35:53,4,0,7,0
2014-03-17 18:35:54,4,0,7,0
2014-03-17 18:35:55,4,0,7,0
2014-03-17 18:35:56,4,0,7,0
2014-03-17 18:35:57,4,0,7,0
2014-03-17 18:35:58,4,0,7,0
2014-03-17 18:35:59,4,0,6,0
2014-03-17 18:36:00,4,0,6,0
2014-03-17 18:36:01,4,0,8,0
2014-03-17 18:36:02,4,0,4,0
2014-03-17 18:36:03,4,0,7,0
2014-03-17 18:36:04,4,0,7,0
2014-03-17 18:36:05,4,0,7,0
2014-03-17 18:36:06,4,0,7,0
2014-03-17 18:36:07,4,0,7,0
2014-03-17 18:36:08,4,0,7,0
2014-03-17 18:36:09,4,0,7,0
2014-03-17 18:36:10,4,0,4,0
2014-03-17 18:36:11,4,0,4,0
2014-03-17 18:36:12,4,0,4,0
2014-03-17 18:36:13,4,0,7,0
2014-03-17 18:36:14,4,0,7,0
2014-03-17 18:36:15,4,0,7,0
2014-03-17 18:36:16,4,0,7,0
2014-03-17 18:36:17,4,0,7,0
2014-03-17 18:36:18,4,0,4,0
2014-03-17 18:36:19,4,0,4,0
2014-03-17 18:36:20,4,0,4,0
2014-03-17 18:36:21,4,0,7,0
2014-03-17 18:36:22,4,0,7,0
2014-03-17 18:36:23,4,0,7,0
2014-03-17 18:36:24,4,0,7,0
2014-03-17 18:36:25,4,0,7,0
2014-03-17 18:36:26,4,0,7,0
2014-03-17 18:36:27,4,0,7,0
2014-03-17 18:36:28,4,0,7,0
2014-03-17 18:36:29,4,0,8,0
2014-03-17 18:36:30,4,0,7,0
2014-03-17 18:36:31,4,0,7,0
2014-03-17 18:36:32,4,0,7,0
2014-03-17 18:36:33,4,0,7,0
2014-03-17 18:36:34,4,0,3,0
2014-03-17 18:36:35,4,0,3,0
2014-03-17 18:36:36,4,0,1,0
2014-03-17 18:36:37,4,0,1,0
2014-03-17 18:36:38,4,0,1,0
2014-03-17 18:36:39,4,0,3,0
2014-03-17 18:36:40,4,0,1,0
2014-03-17 18:36:41,4,0,2,0
2014-03-17 18:36:42,4,0,2,0
2014-03-17 18:36:43,4,0,2,0
2014-03-17 18:36:44,4,0,2,0
2014-03-17 18:36:45,4,0,2,0
2014-03-17 18:36:46,4,0,2,0
2014-03-17 18:36:47,4,0,2,0
2014-03-17 18:36:48,4,0,2,0
2014-03-17 18:36:49,4,0,2,0
2014-03-17 18:36:50,4,0,2,0
2014-03-17 18:36:51,4,0,2,0
2014-03-17 18:36:52,4,0,2,0
2014-03-17 18:36:53,4,0,2,0
2014-03-17 18:36:54,4,0,2,0
2014-03-17 18:36:55,4,0,3,0
2014-03-17 18:36:56,4,0,1,0
2014-03-17 18:36:57,4,0,3,0
2014-03-17 18:36:58,4,0,3,0
2014-03-17 18:36:59,4,0,3,0
2014-03-17 18:37:00,4,0,3,0
2014-03-17 18:37:01,4,0,2,0
2014-03-17 18:37:02,4,0,2,0
2014-03-17 18:37:03,4,0,2,0
2014-03-17 18:37:04,4,0,3,0
2014-03-17 18:37:05,4,0,3,0
2014-03-17 18:37:06,4,0,3,0
2014-03-17 18:37:07,4,0,3,0
2014-03-17 18:37:08,4,0,3,0
2014-03-17 18:37:09,4,0,2,0
2014-03-17 18:37:10,4,0,2,0
2014-03-17 18:37:11,4,0,2,0
2014-03-17 18:37:12,4,0,2,0
2014-03-17 18:37:13,4,0,2,0
2014-03-17 18:37:14,4,0,2,0
2014-03-17 18:37:15,7,0,2,0
2014-03-17 18:37:16,7,0,2,0
2014-03-17 18:37:17,7,0,2,0
2014-03-17 18:37:18,7,0,2,0
2014-03-17 18:37:19,7,0,2,0
2014-03-17 18:37:20,7,0,2,0
