time,charles,christina,jonathan
2014-04-28 16:10:57,0,0,0
2014-04-28 16:10:58,0,0,0
2014-04-28 16:10:59,0,0,0
2014-04-28 16:11:00,0,0,0
2014-04-28 16:11:01,0,0,0
2014-04-28 16:11:02,0,0,0
2014-04-28 16:11:03,0,0,0
2014-04-28 16:11:04,0,0,0
2014-04-28 16:11:05,0,0,0
2014-04-28 16:11:06,0,0,0
2014-04-28 16:11:07,0,0,0
2014-04-28 16:11:08,0,0,0
2014-04-28 16:11:09,0,0,0
2014-04-28 16:11:10,0,0,0
2014-04-28 16:11:11,0,0,0
2014-04-28 16:11:12,0,0,0
2014-04-28 16:11:13,0,0,0
2014-04-28 16:11:14,0,0,0
2014-04-28 16:11:15,0,0,0
2014-04-28 16:11:16,0,0,0
2014-04-28 16:11:17,0,0,0
2014-04-28 16:11:18,0,0,0
2014-04-28 16:11:19,0,0,0
2014-04-28 16:11:20,0,0,0
2014-04-28 16:11:21,0,0,0
2014-04-28 16:11:22,0,0,0
2014-04-28 16:11:23,0,0,0
2014-04-28 16:11:24,0,0,0
2014-04-28 16:11:25,0,0,0
2014-04-28 16:11:26,0,0,0
2014-04-28 16:11:27,0,0,0
2014-04-28 16:11:28,0,0,0
2014-04-28 16:11:29,0,0,0
2014-04-28 16:11:30,0,0,0
2014-04-28 16:11:31,0,0,0
2014-04-28 16:11:32,0,0,0
2014-04-28 16:11:33,0,0,0
2014-04-28 16:11:34,0,0,0
2014-04-28 16:11:35,0,0,2
2014-04-28 16:11:36,0,0,1
2014-04-28 16:11:37,0,0,3
2014-04-28 16:11:38,0,0,1
2014-04-28 16:11:39,0,0,1
2014-04-28 16:11:40,0,0,1
2014-04-28 16:11:41,0,0,0
