time,jonathan,charles,yvonne,christina
2014-04-28 16:12:29,0,0,0,0
2014-04-28 16:12:30,2,0,0,0
2014-04-28 16:12:31,2,0,0,0
2014-04-28 16:12:32,2,0,0,0
2014-04-28 16:12:33,2,0,0,0
2014-04-28 16:12:34,2,0,0,0
2014-04-28 16:12:35,2,0,0,0
2014-04-28 16:12:36,2,0,0,0
2014-04-28 16:12:37,1,0,0,0
2014-04-28 16:12:38,3,0,0,0
2014-04-28 16:12:39,3,0,0,0
2014-04-28 16:12:40,1,0,0,0
2014-04-28 16:12:41,1,0,0,0
2014-04-28 16:12:42,1,0,0,0
2014-04-28 16:12:43,1,0,0,0
2014-04-28 16:12:44,1,0,0,0
2014-04-28 16:12:45,1,0,0,0
2014-04-28 16:12:46,1,0,0,0
2014-04-28 16:12:47,1,0,0,0
2014-04-28 16:12:48,1,0,0,0
2014-04-28 16:12:49,1,0,0,0
2014-04-28 16:12:50,1,0,0,0
2014-04-28 16:12:51,1,0,0,0
2014-04-28 16:12:52,2,0,0,0
2014-04-28 16:12:53,2,0,0,0
2014-04-28 16:12:54,2,0,0,0
2014-04-28 16:12:55,2,0,0,0
2014-04-28 16:12:56,2,0,0,0
2014-04-28 16:12:57,2,0,0,0
2014-04-28 16:12:58,2,0,0,0
2014-04-28 16:12:59,2,0,0,0
2014-04-28 16:13:00,2,0,0,0
2014-04-28 16:13:01,2,0,0,0
2014-04-28 16:13:02,2,0,0,0
2014-04-28 16:13:03,2,0,0,0
2014-04-28 16:13:04,2,0,0,0
2014-04-28 16:13:05,2,0,0,0
2014-04-28 16:13:06,2,0,0,0
2014-04-28 16:13:07,0,0,0,0
2014-04-28 16:13:08,0,0,0,0
2014-04-28 16:13:09,0,0,0,0
2014-04-28 16:13:10,0,0,0,0
2014-04-28 16:13:11,2,0,0,0
2014-04-28 16:13:12,2,0,0,0
2014-04-28 16:13:13,2,0,0,0
2014-04-28 16:13:14,2,0,0,0
2014-04-28 16:13:15,2,0,0,0
2014-04-28 16:13:16,2,0,0,0
2014-04-28 16:13:17,0,0,0,0
2014-04-28 16:13:18,0,0,0,0
2014-04-28 16:13:19,0,0,0,0
2014-04-28 16:13:20,0,0,0,0
2014-04-28 16:13:21,0,0,0,0
2014-04-28 16:13:22,0,0,0,0
2014-04-28 16:13:23,2,0,0,0
2014-04-28 16:13:24,1,0,0,0
2014-04-28 16:13:25,1,0,0,0
2014-04-28 16:13:26,1,0,0,0
2014-04-28 16:13:27,1,0,0,0
2014-04-28 16:13:28,1,0,0,0
2014-04-28 16:13:29,2,0,0,0
2014-04-28 16:13:30,0,0,0,0
2014-04-28 16:13:31,0,0,0,0
