time,christina,yvonne
2014-04-28 16:43:08,0,0
2014-04-28 16:43:09,2,0
2014-04-28 16:43:10,2,0
2014-04-28 16:43:11,2,0
2014-04-28 16:43:12,2,0
2014-04-28 16:43:13,3,0
2014-04-28 16:43:14,3,0
2014-04-28 16:43:15,3,0
2014-04-28 16:43:16,3,0
2014-04-28 16:43:17,1,0
2014-04-28 16:43:18,3,0
2014-04-28 16:43:19,4,2
2014-04-28 16:43:20,3,2
2014-04-28 16:43:21,3,2
2014-04-28 16:43:22,3,2
2014-04-28 16:43:23,8,2
2014-04-28 16:43:24,2,1
2014-04-28 16:43:25,2,1
2014-04-28 16:43:26,0,1
2014-04-28 16:43:27,0,1
2014-04-28 16:43:28,0,1
2014-04-28 16:43:29,0,1
2014-04-28 16:43:30,0,1
2014-04-28 16:43:31,0,1
2014-04-28 16:43:32,0,1
2014-04-28 16:43:33,0,1
2014-04-28 16:43:34,0,1
2014-04-28 16:43:35,2,1
2014-04-28 16:43:36,2,1
2014-04-28 16:43:37,2,1
2014-04-28 16:43:38,2,1
2014-04-28 16:43:39,1,1
2014-04-28 16:43:40,1,1
2014-04-28 16:43:41,3,3
2014-04-28 16:43:42,3,8
2014-04-28 16:43:43,3,7
2014-04-28 16:43:44,3,7
2014-04-28 16:43:45,2,8
2014-04-28 16:43:46,0,7
2014-04-28 16:43:47,3,7
2014-04-28 16:43:48,3,7
2014-04-28 16:43:49,3,7
2014-04-28 16:43:50,4,7
2014-04-28 16:43:51,4,7
2014-04-28 16:43:52,3,7
2014-04-28 16:43:53,2,7
2014-04-28 16:43:54,2,7
2014-04-28 16:43:55,2,7
2014-04-28 16:43:56,2,7
2014-04-28 16:43:57,2,7
2014-04-28 16:43:58,2,7
2014-04-28 16:43:59,2,2
2014-04-28 16:44:00,2,0
2014-04-28 16:44:01,0,0
2014-04-28 16:44:02,0,0
2014-04-28 16:44:03,0,0
2014-04-28 16:44:04,0,0
2014-04-28 16:44:05,0,0
2014-04-28 16:44:06,0,0
2014-04-28 16:44:07,0,0
2014-04-28 16:44:08,2,0
2014-04-28 16:44:09,8,0
2014-04-28 16:44:10,3,0
2014-04-28 16:44:11,3,0
2014-04-28 16:44:12,3,0
2014-04-28 16:44:13,3,0
2014-04-28 16:44:14,3,0
2014-04-28 16:44:15,3,0
2014-04-28 16:44:16,3,0
2014-04-28 16:44:17,4,0
2014-04-28 16:44:18,4,0
2014-04-28 16:44:19,3,0
2014-04-28 16:44:20,3,0
2014-04-28 16:44:21,2,0
2014-04-28 16:44:22,2,0
2014-04-28 16:44:23,2,0
2014-04-28 16:44:24,0,0
2014-04-28 16:44:25,0,0
2014-04-28 16:44:26,0,0
2014-04-28 16:44:27,0,0
2014-04-28 16:44:28,0,0
2014-04-28 16:44:29,0,0
2014-04-28 16:44:30,0,0
2014-04-28 16:44:31,0,0
2014-04-28 16:44:32,0,0
2014-04-28 16:44:33,0,0
2014-04-28 16:44:34,0,0
2014-04-28 16:44:35,0,0
2014-04-28 16:44:36,0,0
2014-04-28 16:44:37,0,0
2014-04-28 16:44:38,0,0
2014-04-28 16:44:39,0,0
2014-04-28 16:44:40,0,0
2014-04-28 16:44:41,0,0
2014-04-28 16:44:42,0,0
2014-04-28 16:44:43,0,0
2014-04-28 16:44:44,2,2
2014-04-28 16:44:45,2,2
2014-04-28 16:44:46,2,2
2014-04-28 16:44:47,2,2
2014-04-28 16:44:48,2,2
2014-04-28 16:44:49,2,2
2014-04-28 16:44:50,8,2
2014-04-28 16:44:51,2,2
2014-04-28 16:44:52,3,2
2014-04-28 16:44:53,3,2
2014-04-28 16:44:54,2,2
2014-04-28 16:44:55,2,0
2014-04-28 16:44:56,2,7
2014-04-28 16:44:57,2,7
2014-04-28 16:44:58,2,7
2014-04-28 16:44:59,2,7
2014-04-28 16:45:00,2,7
2014-04-28 16:45:01,2,7
2014-04-28 16:45:02,2,7
2014-04-28 16:45:03,2,7
2014-04-28 16:45:04,2,8
2014-04-28 16:45:05,2,7
2014-04-28 16:45:06,2,8
2014-04-28 16:45:07,2,7
2014-04-28 16:45:08,3,7
2014-04-28 16:45:09,4,7
2014-04-28 16:45:10,4,7
2014-04-28 16:45:11,4,7
2014-04-28 16:45:12,4,7
2014-04-28 16:45:13,4,7
2014-04-28 16:45:14,4,7
2014-04-28 16:45:15,4,7
2014-04-28 16:45:16,8,7
2014-04-28 16:45:17,3,8
2014-04-28 16:45:18,3,8
2014-04-28 16:45:19,3,8
2014-04-28 16:45:20,1,8
2014-04-28 16:45:21,1,8
2014-04-28 16:45:22,1,8
2014-04-28 16:45:23,2,7
2014-04-28 16:45:24,2,8
