time,christina,yvonne,jonathan,charles
2014-04-28 17:01:45,0,0,0,0
2014-04-28 17:01:46,4,0,0,0
2014-04-28 17:01:47,4,0,0,0
2014-04-28 17:01:48,4,0,0,0
2014-04-28 17:01:49,7,0,0,0
2014-04-28 17:01:50,7,0,0,0
2014-04-28 17:01:51,4,0,0,0
2014-04-28 17:01:52,4,0,0,0
2014-04-28 17:01:53,4,0,0,0
2014-04-28 17:01:54,4,0,0,0
2014-04-28 17:01:55,7,0,0,0
2014-04-28 17:01:56,4,0,0,0
2014-04-28 17:01:57,4,0,0,0
2014-04-28 17:01:58,4,0,0,0
2014-04-28 17:01:59,4,0,0,0
2014-04-28 17:02:00,4,0,0,0
2014-04-28 17:02:01,4,0,0,0
2014-04-28 17:02:02,4,0,0,0
2014-04-28 17:02:03,4,0,0,0
2014-04-28 17:02:04,4,0,0,0
2014-04-28 17:02:05,4,2,0,0
2014-04-28 17:02:06,4,2,0,0
2014-04-28 17:02:07,2,2,0,0
2014-04-28 17:02:08,2,2,0,0
2014-04-28 17:02:09,2,2,0,0
2014-04-28 17:02:10,2,2,0,0
2014-04-28 17:02:11,8,2,0,0
2014-04-28 17:02:12,2,1,0,0
2014-04-28 17:02:13,2,1,0,0
2014-04-28 17:02:14,2,1,0,0
2014-04-28 17:02:15,2,1,0,0
2014-04-28 17:02:16,2,1,0,0
2014-04-28 17:02:17,3,1,0,0
2014-04-28 17:02:18,4,1,0,0
2014-04-28 17:02:19,4,1,0,0
2014-04-28 17:02:20,7,1,0,0
2014-04-28 17:02:21,7,2,0,0
2014-04-28 17:02:22,6,2,0,0
2014-04-28 17:02:23,8,2,0,0
2014-04-28 17:02:24,6,0,0,0
2014-04-28 17:02:25,3,0,0,0
2014-04-28 17:02:26,3,0,0,0
2014-04-28 17:02:27,3,0,0,0
2014-04-28 17:02:28,3,0,0,0
2014-04-28 17:02:29,3,0,0,0
2014-04-28 17:02:30,3,0,0,0
2014-04-28 17:02:31,3,0,0,0
2014-04-28 17:02:32,3,2,0,0
2014-04-28 17:02:33,3,2,0,0
2014-04-28 17:02:34,1,2,0,0
2014-04-28 17:02:35,3,2,0,0
2014-04-28 17:02:36,3,2,0,0
2014-04-28 17:02:37,3,2,0,0
2014-04-28 17:02:38,3,0,0,0
2014-04-28 17:02:39,4,0,0,0
2014-04-28 17:02:40,4,0,0,0
2014-04-28 17:02:41,4,0,0,0
2014-04-28 17:02:42,4,0,0,0
2014-04-28 17:02:43,2,0,0,0
2014-04-28 17:02:44,2,0,0,0
2014-04-28 17:02:45,3,0,0,0
2014-04-28 17:02:46,3,0,0,0
2014-04-28 17:02:47,3,0,0,0
2014-04-28 17:02:48,3,2,0,0
