time,yvonne,christina,charles,jonathan
2014-04-28 17:17:36,0,0,0,0
2014-04-28 17:17:37,2,0,0,0
2014-04-28 17:17:38,3,0,0,0
2014-04-28 17:17:39,1,0,0,0
2014-04-28 17:17:40,1,0,0,0
2014-04-28 17:17:41,1,0,0,0
2014-04-28 17:17:42,1,0,0,0
2014-04-28 17:17:43,1,2,0,0
2014-04-28 17:17:44,3,3,0,0
2014-04-28 17:17:45,0,3,0,0
2014-04-28 17:17:46,0,3,0,0
2014-04-28 17:17:47,0,3,0,0
2014-04-28 17:17:48,0,2,0,0
2014-04-28 17:17:49,0,0,0,0
2014-04-28 17:17:50,0,0,0,0
2014-04-28 17:17:51,0,0,0,0
2014-04-28 17:17:52,0,0,0,0
2014-04-28 17:17:53,0,0,0,0
2014-04-28 17:17:54,0,0,0,0
2014-04-28 17:17:55,0,0,0,0
2014-04-28 17:17:56,0,0,0,0
2014-04-28 17:17:57,0,0,0,0
2014-04-28 17:17:58,0,0,0,0
2014-04-28 17:17:59,0,0,0,0
2014-04-28 17:18:00,0,0,0,0
2014-04-28 17:18:01,0,0,0,0
2014-04-28 17:18:02,0,0,0,0
2014-04-28 17:18:03,0,0,0,0
2014-04-28 17:18:04,0,0,0,0
2014-04-28 17:18:05,0,0,0,0
2014-04-28 17:18:06,0,0,0,0
2014-04-28 17:18:07,0,0,0,0
2014-04-28 17:18:08,0,0,0,0
2014-04-28 17:18:09,0,0,0,0
2014-04-28 17:18:10,0,0,0,0
2014-04-28 17:18:11,0,0,0,0
2014-04-28 17:18:12,0,0,0,0
2014-04-28 17:18:13,0,0,0,0
2014-04-28 17:18:14,0,0,0,0
2014-04-28 17:18:15,0,0,0,0
2014-04-28 17:18:16,0,0,0,0
2014-04-28 17:18:17,0,0,0,0
2014-04-28 17:18:18,0,0,0,0
2014-04-28 17:18:19,0,0,0,0
2014-04-28 17:18:20,0,0,0,0
2014-04-28 17:18:21,0,0,0,0
2014-04-28 17:18:22,0,0,0,0
2014-04-28 17:18:23,0,0,0,0
2014-04-28 17:18:24,0,0,0,0
2014-04-28 17:18:25,0,0,0,0
2014-04-28 17:18:26,0,0,0,0
2014-04-28 17:18:27,0,0,0,0
2014-04-28 17:18:28,0,0,0,0
2014-04-28 17:18:29,0,0,0,0
2014-04-28 17:18:30,0,0,0,0
2014-04-28 17:18:31,0,0,0,0
2014-04-28 17:18:32,0,0,0,0
2014-04-28 17:18:33,0,0,0,0
2014-04-28 17:18:34,0,0,0,0
2014-04-28 17:18:35,0,0,0,0
2014-04-28 17:18:36,0,0,0,0
2014-04-28 17:18:37,0,0,0,0
2014-04-28 17:18:38,0,0,0,0
2014-04-28 17:18:39,0,0,0,0
2014-04-28 17:18:40,0,0,0,0
2014-04-28 17:18:41,0,2,0,0
2014-04-28 17:18:42,0,4,0,0
2014-04-28 17:18:43,0,4,0,0
2014-04-28 17:18:44,0,4,0,0
2014-04-28 17:18:45,0,4,0,0
2014-04-28 17:18:46,0,4,0,0
2014-04-28 17:18:47,0,8,0,0
2014-04-28 17:18:48,0,4,0,0
2014-04-28 17:18:49,0,4,0,0
2014-04-28 17:18:50,0,4,0,0
2014-04-28 17:18:51,0,4,0,0
2014-04-28 17:18:52,0,3,0,0
2014-04-28 17:18:53,0,3,0,0
2014-04-28 17:18:54,0,3,0,0
2014-04-28 17:18:55,0,3,0,0
2014-04-28 17:18:56,0,3,0,0
2014-04-28 17:18:57,0,4,0,0
2014-04-28 17:18:58,0,4,0,0
2014-04-28 17:18:59,0,4,0,0
2014-04-28 17:19:00,0,8,0,0
2014-04-28 17:19:01,0,8,0,0
2014-04-28 17:19:02,0,2,0,0
2014-04-28 17:19:03,0,0,0,0
2014-04-28 17:19:04,0,0,0,0
2014-04-28 17:19:05,0,0,0,0
2014-04-28 17:19:06,0,0,0,0
2014-04-28 17:19:07,0,0,0,0
2014-04-28 17:19:08,0,0,0,0
2014-04-28 17:19:09,0,0,2,0
2014-04-28 17:19:10,0,0,4,0
2014-04-28 17:19:11,0,0,0,0
2014-04-28 17:19:12,0,0,0,0
2014-04-28 17:19:13,0,0,0,0
2014-04-28 17:19:14,1,0,0,0
2014-04-28 17:19:15,1,0,0,0
2014-04-28 17:19:16,1,4,0,0
2014-04-28 17:19:17,1,4,0,0
2014-04-28 17:19:18,1,4,0,0
