time,yvonne,christina,charles
2014-04-28 17:26:22,0,0,0
2014-04-28 17:26:23,2,0,0
2014-04-28 17:26:24,2,0,0
2014-04-28 17:26:25,2,0,0
2014-04-28 17:26:26,2,0,0
2014-04-28 17:26:27,2,0,0
2014-04-28 17:26:28,8,0,0
2014-04-28 17:26:29,5,0,0
2014-04-28 17:26:30,5,0,0
2014-04-28 17:26:31,4,0,0
2014-04-28 17:26:32,4,0,0
2014-04-28 17:26:33,4,0,0
2014-04-28 17:26:34,4,0,0
2014-04-28 17:26:35,4,0,0
2014-04-28 17:26:36,5,0,0
2014-04-28 17:26:37,4,0,0
2014-04-28 17:26:38,0,0,0
2014-04-28 17:26:39,0,0,0
2014-04-28 17:26:40,0,0,0
2014-04-28 17:26:41,0,0,0
2014-04-28 17:26:42,0,0,0
2014-04-28 17:26:43,0,0,0
2014-04-28 17:26:44,0,0,0
2014-04-28 17:26:45,0,0,0
2014-04-28 17:26:46,0,0,0
2014-04-28 17:26:47,0,0,0
2014-04-28 17:26:48,0,0,0
2014-04-28 17:26:49,0,0,0
2014-04-28 17:26:50,0,0,0
2014-04-28 17:26:51,0,0,0
2014-04-28 17:26:52,0,0,0
2014-04-28 17:26:53,0,8,0
2014-04-28 17:26:54,0,6,0
2014-04-28 17:26:55,0,6,0
2014-04-28 17:26:56,0,6,0
2014-04-28 17:26:57,0,6,0
2014-04-28 17:26:58,0,3,0
2014-04-28 17:26:59,0,0,0
2014-04-28 17:27:00,0,0,0
2014-04-28 17:27:01,0,0,0
2014-04-28 17:27:02,0,0,0
2014-04-28 17:27:03,0,0,0
2014-04-28 17:27:04,0,0,0
2014-04-28 17:27:05,0,0,0
2014-04-28 17:27:06,0,0,0
2014-04-28 17:27:07,0,0,0
2014-04-28 17:27:08,0,0,0
2014-04-28 17:27:09,0,0,0
2014-04-28 17:27:10,0,0,0
2014-04-28 17:27:11,0,0,0
2014-04-28 17:27:12,0,0,0
2014-04-28 17:27:13,0,0,0
2014-04-28 17:27:14,0,0,0
2014-04-28 17:27:15,0,0,0
2014-04-28 17:27:16,0,0,0
2014-04-28 17:27:17,0,0,0
2014-04-28 17:27:18,0,0,0
2014-04-28 17:27:19,0,0,0
2014-04-28 17:27:20,0,0,0
2014-04-28 17:27:21,0,0,0
2014-04-28 17:27:22,0,0,0
2014-04-28 17:27:23,0,0,0
2014-04-28 17:27:24,0,0,0
2014-04-28 17:27:25,0,0,0
2014-04-28 17:27:26,0,0,0
2014-04-28 17:27:27,0,0,0
2014-04-28 17:27:28,0,0,0
2014-04-28 17:27:29,4,0,0
2014-04-28 17:27:30,4,0,0
2014-04-28 17:27:31,4,0,0
2014-04-28 17:27:32,4,0,0
2014-04-28 17:27:33,4,0,0
2014-04-28 17:27:34,3,0,0
2014-04-28 17:27:35,3,0,0
2014-04-28 17:27:36,3,0,0
