time,jonathan,christina,yvonne,charles,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-28 17:32:15,0,0,0,0,0
2014-04-28 17:32:16,2,0,0,0,0
2014-04-28 17:32:17,2,0,0,0,0
2014-04-28 17:32:18,2,0,0,0,0
2014-04-28 17:32:19,4,0,0,0,0
2014-04-28 17:32:20,3,0,0,0,0
2014-04-28 17:32:21,4,0,0,0,0
2014-04-28 17:32:22,2,0,0,0,0
2014-04-28 17:32:23,2,0,0,0,0
2014-04-28 17:32:24,2,0,0,0,0
2014-04-28 17:32:25,2,0,0,0,0
2014-04-28 17:32:26,2,0,0,0,0
2014-04-28 17:32:27,2,0,0,0,0
2014-04-28 17:32:28,2,0,0,0,0
2014-04-28 17:32:29,4,0,0,0,0
2014-04-28 17:32:30,2,0,0,0,0
2014-04-28 17:32:31,2,0,0,0,0
2014-04-28 17:32:32,2,0,0,0,0
2014-04-28 17:32:33,4,0,0,0,0
2014-04-28 17:32:34,4,0,0,0,0
2014-04-28 17:32:35,4,0,0,0,0
2014-04-28 17:32:36,4,0,0,0,0
2014-04-28 17:32:37,4,0,0,0,0
2014-04-28 17:32:38,2,0,0,0,0
2014-04-28 17:32:39,0,0,0,0,0
2014-04-28 17:32:40,0,0,0,0,0
2014-04-28 17:32:41,0,0,0,0,0
2014-04-28 17:32:42,0,0,0,0,0
2014-04-28 17:32:43,0,0,0,0,0
2014-04-28 17:32:44,0,0,0,0,0
2014-04-28 17:32:45,0,0,0,0,0
2014-04-28 17:32:46,0,0,0,0,0
2014-04-28 17:32:47,0,0,0,0,0
2014-04-28 17:32:48,0,0,0,0,0
2014-04-28 17:32:49,0,0,0,0,0
2014-04-28 17:32:50,0,0,0,0,0
2014-04-28 17:32:51,0,0,0,0,0
2014-04-28 17:32:52,2,0,0,0,0
2014-04-28 17:32:53,2,0,0,0,0
2014-04-28 17:32:54,4,0,0,0,0
2014-04-28 17:32:55,4,0,0,0,0
2014-04-28 17:32:56,4,0,0,0,0
2014-04-28 17:32:57,4,0,0,0,0
2014-04-28 17:32:58,3,0,0,0,0
2014-04-28 17:32:59,2,0,0,0,0
2014-04-28 17:33:00,2,0,0,0,0
2014-04-28 17:33:01,2,0,0,0,0
2014-04-28 17:33:02,5,0,0,0,0
2014-04-28 17:33:03,5,0,0,0,0
2014-04-28 17:33:04,5,0,0,0,0
2014-04-28 17:33:05,4,0,0,0,0
2014-04-28 17:33:06,1,0,0,0,0
2014-04-28 17:33:07,1,0,0,0,0
2014-04-28 17:33:08,1,0,0,0,0
2014-04-28 17:33:09,1,0,0,0,0
2014-04-28 17:33:10,1,0,0,0,0
2014-04-28 17:33:11,3,0,0,0,0
2014-04-28 17:33:12,3,0,0,0,0
2014-04-28 17:33:13,3,0,0,0,0
2014-04-28 17:33:14,3,0,0,0,0
2014-04-28 17:33:15,3,0,0,0,0
2014-04-28 17:33:16,3,0,0,0,0
2014-04-28 17:33:17,3,0,0,0,0
2014-04-28 17:33:18,3,0,0,0,0
2014-04-28 17:33:19,3,0,0,0,0
2014-04-28 17:33:20,4,0,0,0,0
2014-04-28 17:33:21,3,0,0,0,0
2014-04-28 17:33:22,3,0,0,0,0
2014-04-28 17:33:23,3,0,0,0,0
2014-04-28 17:33:24,3,0,0,0,0
2014-04-28 17:33:25,3,0,0,0,0
2014-04-28 17:33:26,3,0,0,0,0
2014-04-28 17:33:27,3,0,0,0,0
2014-04-28 17:33:28,3,0,0,0,0
2014-04-28 17:33:29,2,0,0,0,0
2014-04-28 17:33:30,0,0,0,0,0
2014-04-28 17:33:31,0,0,0,0,0
2014-04-28 17:33:32,0,0,0,0,0
2014-04-28 17:33:33,0,0,0,0,0
2014-04-28 17:33:34,0,0,0,0,0
2014-04-28 17:33:35,0,0,0,0,0
2014-04-28 17:33:36,0,0,0,0,0
2014-04-28 17:33:37,0,0,0,0,0
2014-04-28 17:33:38,0,0,0,0,0
2014-04-28 17:33:39,0,0,0,0,0
2014-04-28 17:33:40,0,0,0,0,0
2014-04-28 17:33:41,0,0,0,0,0
2014-04-28 17:33:42,0,0,0,0,0
2014-04-28 17:33:43,0,0,0,0,0
2014-04-28 17:33:44,0,0,0,0,0
2014-04-28 17:33:45,0,0,0,0,0
2014-04-28 17:33:46,0,0,0,0,0
2014-04-28 17:33:47,0,0,0,0,0
2014-04-28 17:33:48,0,0,0,0,0
2014-04-28 17:33:49,0,0,0,0,0
2014-04-28 17:33:50,0,0,0,0,0
2014-04-28 17:33:51,0,0,0,0,0
2014-04-28 17:33:52,0,0,0,0,0
2014-04-28 17:33:53,0,0,0,0,0
2014-04-28 17:33:54,0,0,0,0,0
2014-04-28 17:33:55,0,0,0,0,0
2014-04-28 17:33:56,0,0,0,0,0
2014-04-28 17:33:57,0,0,0,0,0
2014-04-28 17:33:58,0,0,0,0,0
2014-04-28 17:33:59,0,0,0,0,0
2014-04-28 17:34:00,0,0,0,0,0
2014-04-28 17:34:01,0,0,0,0,0
2014-04-28 17:34:02,0,0,0,0,0
2014-04-28 17:34:03,0,0,0,0,0
2014-04-28 17:34:04,2,0,0,0,0
2014-04-28 17:34:05,2,0,0,0,0
2014-04-28 17:34:06,4,2,0,0,0
2014-04-28 17:34:07,4,4,0,0,0
2014-04-28 17:34:08,4,4,0,0,0
2014-04-28 17:34:09,4,4,0,0,0
2014-04-28 17:34:10,4,4,0,0,0
2014-04-28 17:34:11,3,6,0,0,0
2014-04-28 17:34:12,0,8,0,0,0
2014-04-28 17:34:13,0,8,0,0,0
2014-04-28 17:34:14,2,8,0,0,0
2014-04-28 17:34:15,3,8,0,0,0
2014-04-28 17:34:16,4,4,0,0,0
2014-04-28 17:34:17,4,4,0,0,0
2014-04-28 17:34:18,4,2,0,0,0
2014-04-28 17:34:19,4,2,0,0,0
2014-04-28 17:34:20,4,2,2,0,0
2014-04-28 17:34:21,0,2,3,0,0
2014-04-28 17:34:22,0,2,3,0,0
2014-04-28 17:34:23,0,3,4,0,0
2014-04-28 17:34:24,0,4,3,0,0
2014-04-28 17:34:25,0,4,3,0,0
2014-04-28 17:34:26,0,7,3,0,0
2014-04-28 17:34:27,0,7,2,0,0
2014-04-28 17:34:28,0,6,2,0,0
2014-04-28 17:34:29,2,8,2,0,0
2014-04-28 17:34:30,3,4,2,0,0
2014-04-28 17:34:31,4,4,2,0,0
2014-04-28 17:34:32,4,3,2,0,0
2014-04-28 17:34:33,3,8,3,0,0
2014-04-28 17:34:34,3,8,1,0,0
2014-04-28 17:34:35,3,8,1,0,0
2014-04-28 17:34:36,3,8,3,0,0
2014-04-28 17:34:37,3,7,3,0,0
2014-04-28 17:34:38,3,4,2,0,0
2014-04-28 17:34:39,3,4,2,0,0
2014-04-28 17:34:40,0,4,2,0,0
2014-04-28 17:34:41,0,0,2,0,0
2014-04-28 17:34:42,0,0,0,0,0
2014-04-28 17:34:43,0,0,0,0,0
2014-04-28 17:34:44,0,2,2,0,0
2014-04-28 17:34:45,0,2,2,0,0
2014-04-28 17:34:46,0,2,2,0,0
2014-04-28 17:34:47,0,2,2,0,0
2014-04-28 17:34:48,0,2,2,0,0
2014-04-28 17:34:49,0,2,0,0,0
2014-04-28 17:34:50,0,0,0,0,0
2014-04-28 17:34:51,0,0,0,0,0
2014-04-28 17:34:52,0,0,2,0,0
2014-04-28 17:34:53,0,0,2,0,0
2014-04-28 17:34:54,0,0,2,0,0
2014-04-28 17:34:55,0,0,2,0,0
2014-04-28 17:34:56,0,0,2,0,0
2014-04-28 17:34:57,0,0,2,0,0
2014-04-28 17:34:58,0,0,0,0,0
2014-04-28 17:34:59,0,0,0,0,0
2014-04-28 17:35:00,0,0,0,0,0
2014-04-28 17:35:01,0,0,0,0,0
2014-04-28 17:35:02,0,0,0,0,0
2014-04-28 17:35:03,0,0,0,0,0
2014-04-28 17:35:04,0,2,0,0,0
2014-04-28 17:35:05,0,4,0,0,0
2014-04-28 17:35:06,0,4,0,0,0
2014-04-28 17:35:07,0,4,2,0,0
2014-04-28 17:35:08,0,4,2,0,0
2014-04-28 17:35:09,0,2,2,0,0
2014-04-28 17:35:10,2,0,7,0,0
2014-04-28 17:35:11,2,0,7,0,0
2014-04-28 17:35:12,2,2,7,0,0
2014-04-28 17:35:13,2,2,4,0,0
2014-04-28 17:35:14,2,2,4,0,0
2014-04-28 17:35:15,2,2,4,0,0
2014-04-28 17:35:16,2,2,2,0,0
2014-04-28 17:35:17,2,2,4,0,0
2014-04-28 17:35:18,4,5,2,0,0
2014-04-28 17:35:19,4,7,4,0,0
2014-04-28 17:35:20,4,8,4,0,0
2014-04-28 17:35:21,4,8,4,0,0
2014-04-28 17:35:22,4,8,4,0,0
2014-04-28 17:35:23,2,8,4,0,0
2014-04-28 17:35:24,3,4,4,0,0
2014-04-28 17:35:25,3,4,2,0,0
2014-04-28 17:35:26,3,4,5,0,0
2014-04-28 17:35:27,3,0,5,0,0
2014-04-28 17:35:28,3,0,5,0,0
2014-04-28 17:35:29,4,0,5,0,0
2014-04-28 17:35:30,0,0,5,0,0
2014-04-28 17:35:31,0,0,5,0,0
2014-04-28 17:35:32,0,4,5,0,0
2014-04-28 17:35:33,0,4,4,0,0
2014-04-28 17:35:34,0,4,4,0,0
2014-04-28 17:35:35,0,7,4,0,0
2014-04-28 17:35:36,0,7,4,0,0
2014-04-28 17:35:37,0,7,4,0,0
2014-04-28 17:35:38,3,4,3,0,0
2014-04-28 17:35:39,4,4,2,0,0
2014-04-28 17:35:40,4,0,2,0,0
2014-04-28 17:35:41,4,0,2,0,0
2014-04-28 17:35:42,4,0,2,0,0
2014-04-28 17:35:43,4,0,2,0,0
2014-04-28 17:35:44,4,0,0,0,0
2014-04-28 17:35:45,3,0,0,0,0
2014-04-28 17:35:46,3,0,0,0,0
2014-04-28 17:35:47,2,0,0,0,0
2014-04-28 17:35:48,3,0,0,0,0
2014-04-28 17:35:49,3,0,0,0,0
2014-04-28 17:35:50,3,0,0,0,0
2014-04-28 17:35:51,4,0,0,0,0
2014-04-28 17:35:52,4,0,0,0,0
2014-04-28 17:35:53,4,0,0,0,0
2014-04-28 17:35:54,4,0,0,0,0
2014-04-28 17:35:55,4,0,0,0,0
2014-04-28 17:35:56,4,0,0,0,0
2014-04-28 17:35:57,4,0,0,0,0
2014-04-28 17:35:58,4,0,0,0,0
2014-04-28 17:35:59,4,0,0,0,0
2014-04-28 17:36:00,0,0,0,0,0
2014-04-28 17:36:01,0,0,0,0,0
2014-04-28 17:36:02,0,0,0,0,0
2014-04-28 17:36:03,0,0,0,0,0
2014-04-28 17:36:04,0,0,0,0,0
2014-04-28 17:36:05,0,0,0,0,0
2014-04-28 17:36:06,0,0,0,0,0
2014-04-28 17:36:07,0,0,0,0,0
2014-04-28 17:36:08,0,0,0,0,0
2014-04-28 17:36:09,0,0,0,0,0
2014-04-28 17:36:10,0,0,0,0,0
2014-04-28 17:36:11,0,0,0,0,0
2014-04-28 17:36:12,0,0,0,0,0
2014-04-28 17:36:13,0,0,0,0,0
2014-04-28 17:36:14,0,0,0,0,0
2014-04-28 17:36:15,0,0,0,0,0
2014-04-28 17:36:16,0,0,0,0,0
2014-04-28 17:36:17,0,0,0,0,0
2014-04-28 17:36:18,0,0,0,0,0
2014-04-28 17:36:19,0,0,0,0,0
2014-04-28 17:36:20,0,0,0,0,0
2014-04-28 17:36:21,0,0,0,0,0
