time,yvonne,christina,jonathan,charles
2014-04-28 18:01:21,0,0,0,0
2014-04-28 18:01:22,2,0,0,0
2014-04-28 18:01:23,2,0,0,0
2014-04-28 18:01:24,2,0,0,0
2014-04-28 18:01:25,2,0,0,0
2014-04-28 18:01:26,2,2,0,0
2014-04-28 18:01:27,2,2,0,0
2014-04-28 18:01:28,2,2,0,0
2014-04-28 18:01:29,2,2,0,0
2014-04-28 18:01:30,2,2,0,0
2014-04-28 18:01:31,0,2,0,0
2014-04-28 18:01:32,2,6,0,0
2014-04-28 18:01:33,2,6,0,0
2014-04-28 18:01:34,2,0,0,0
2014-04-28 18:01:35,4,0,0,0
2014-04-28 18:01:36,4,0,0,0
2014-04-28 18:01:37,2,0,0,0
2014-04-28 18:01:38,4,0,0,0
2014-04-28 18:01:39,4,0,0,0
2014-04-28 18:01:40,7,0,0,0
2014-04-28 18:01:41,7,0,0,0
2014-04-28 18:01:42,2,0,0,0
2014-04-28 18:01:43,2,2,0,0
2014-04-28 18:01:44,2,2,0,0
2014-04-28 18:01:45,2,2,0,0
2014-04-28 18:01:46,1,2,0,0
2014-04-28 18:01:47,2,2,0,0
2014-04-28 18:01:48,2,2,0,0
2014-04-28 18:01:49,2,2,0,0
2014-04-28 18:01:50,2,2,0,0
2014-04-28 18:01:51,2,2,0,0
2014-04-28 18:01:52,2,2,0,0
2014-04-28 18:01:53,2,2,0,0
2014-04-28 18:01:54,2,2,0,0
2014-04-28 18:01:55,2,2,0,0
2014-04-28 18:01:56,2,2,0,0
2014-04-28 18:01:57,2,8,0,0
2014-04-28 18:01:58,2,8,0,0
2014-04-28 18:01:59,2,3,0,0
2014-04-28 18:02:00,2,3,0,0
2014-04-28 18:02:01,0,8,0,0
2014-04-28 18:02:02,2,8,0,0
2014-04-28 18:02:03,2,2,0,0
2014-04-28 18:02:04,2,2,0,0
2014-04-28 18:02:05,2,2,0,0
2014-04-28 18:02:06,2,2,0,0
2014-04-28 18:02:07,0,2,0,0
2014-04-28 18:02:08,0,2,0,0
2014-04-28 18:02:09,2,2,0,0
2014-04-28 18:02:10,2,2,0,0
2014-04-28 18:02:11,2,2,0,0
2014-04-28 18:02:12,2,2,0,0
2014-04-28 18:02:13,2,2,0,0
2014-04-28 18:02:14,2,2,0,0
2014-04-28 18:02:15,2,2,0,0
2014-04-28 18:02:16,2,2,0,0
2014-04-28 18:02:17,2,2,0,0
2014-04-28 18:02:18,2,2,0,0
2014-04-28 18:02:19,2,2,0,0
2014-04-28 18:02:20,2,2,0,0
2014-04-28 18:02:21,2,2,0,0
2014-04-28 18:02:22,2,2,0,0
2014-04-28 18:02:23,2,8,0,0
2014-04-28 18:02:24,4,3,0,0
2014-04-28 18:02:25,4,3,0,0
2014-04-28 18:02:26,4,3,0,0
2014-04-28 18:02:27,2,3,0,0
2014-04-28 18:02:28,4,3,0,0
2014-04-28 18:02:29,4,3,0,0
2014-04-28 18:02:30,3,3,0,0
2014-04-28 18:02:31,3,3,0,0
2014-04-28 18:02:32,3,4,0,0
2014-04-28 18:02:33,2,2,0,0
2014-04-28 18:02:34,2,0,0,0
2014-04-28 18:02:35,2,0,0,0
2014-04-28 18:02:36,2,2,0,0
2014-04-28 18:02:37,1,3,0,0
2014-04-28 18:02:38,1,1,0,0
2014-04-28 18:02:39,1,1,0,0
