time,charles,jonathan,christina,yvonne,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-28 18:27:25,0,0,0,0,0
2014-04-28 18:27:26,3,2,1,0,0
2014-04-28 18:27:27,4,2,3,0,0
2014-04-28 18:27:28,4,2,3,0,0
2014-04-28 18:27:29,4,4,3,0,0
2014-04-28 18:27:30,4,4,3,0,0
2014-04-28 18:27:31,2,4,3,0,0
2014-04-28 18:27:32,0,4,1,2,0
2014-04-28 18:27:33,0,4,3,2,0
2014-04-28 18:27:34,0,2,2,2,0
2014-04-28 18:27:35,0,2,2,4,0
2014-04-28 18:27:36,0,3,1,4,0
2014-04-28 18:27:37,2,2,1,4,0
2014-04-28 18:27:38,2,2,1,4,0
2014-04-28 18:27:39,2,2,1,4,0
2014-04-28 18:27:40,2,4,1,4,0
2014-04-28 18:27:41,3,4,1,4,0
2014-04-28 18:27:42,3,1,1,3,0
2014-04-28 18:27:43,3,1,1,3,0
2014-04-28 18:27:44,3,1,1,3,0
2014-04-28 18:27:45,3,1,3,3,0
2014-04-28 18:27:46,3,1,3,4,0
2014-04-28 18:27:47,2,1,3,3,0
2014-04-28 18:27:48,0,2,3,2,0
2014-04-28 18:27:49,0,2,3,2,0
2014-04-28 18:27:50,0,2,3,2,0
2014-04-28 18:27:51,0,0,2,0,0
2014-04-28 18:27:52,0,0,0,0,0
2014-04-28 18:27:53,0,0,0,0,0
2014-04-28 18:27:54,0,0,0,0,0
2014-04-28 18:27:55,0,0,0,0,0
2014-04-28 18:27:56,0,0,0,0,0
2014-04-28 18:27:57,0,0,0,0,0
2014-04-28 18:27:58,0,0,0,0,0
2014-04-28 18:27:59,0,0,0,0,0
2014-04-28 18:28:00,0,0,0,0,0
2014-04-28 18:28:01,0,0,0,0,0
2014-04-28 18:28:02,0,0,0,0,0
2014-04-28 18:28:03,0,0,0,0,0
2014-04-28 18:28:04,0,0,0,0,0
2014-04-28 18:28:05,0,0,0,0,0
