time,jonathan,yvonne,charles,christina
2014-04-28 18:45:15,0,0,0,0
2014-04-28 18:45:16,2,2,0,0
2014-04-28 18:45:17,2,7,0,0
2014-04-28 18:45:18,2,7,0,0
2014-04-28 18:45:19,2,7,2,0
2014-04-28 18:45:20,2,7,2,0
2014-04-28 18:45:21,0,7,2,0
2014-04-28 18:45:22,0,7,2,0
2014-04-28 18:45:23,0,7,2,0
2014-04-28 18:45:24,0,5,1,0
2014-04-28 18:45:25,0,5,3,0
2014-04-28 18:45:26,0,5,3,0
2014-04-28 18:45:27,0,7,1,0
2014-04-28 18:45:28,0,7,1,0
2014-04-28 18:45:29,0,7,1,0
2014-04-28 18:45:30,0,7,1,0
2014-04-28 18:45:31,0,7,1,0
2014-04-28 18:45:32,2,7,3,0
2014-04-28 18:45:33,4,7,3,0
2014-04-28 18:45:34,4,4,2,0
2014-04-28 18:45:35,4,8,2,0
2014-04-28 18:45:36,6,7,2,0
2014-04-28 18:45:37,7,7,2,0
2014-04-28 18:45:38,7,7,2,0
2014-04-28 18:45:39,4,7,1,0
2014-04-28 18:45:40,4,7,1,0
2014-04-28 18:45:41,4,7,2,0
2014-04-28 18:45:42,0,7,2,0
2014-04-28 18:45:43,0,7,2,0
2014-04-28 18:45:44,0,7,0,0
2014-04-28 18:45:45,0,0,0,0
2014-04-28 18:45:46,0,0,0,0
2014-04-28 18:45:47,0,0,0,0
2014-04-28 18:45:48,0,0,0,0
2014-04-28 18:45:49,0,0,0,0
2014-04-28 18:45:50,0,0,0,0
2014-04-28 18:45:51,0,0,0,0
2014-04-28 18:45:52,0,0,0,0
2014-04-28 18:45:53,0,0,0,0
2014-04-28 18:45:54,0,0,0,0
2014-04-28 18:45:55,0,0,0,0
2014-04-28 18:45:56,0,0,0,0
2014-04-28 18:45:57,0,0,0,0
2014-04-28 18:45:58,0,0,0,0
2014-04-28 18:45:59,0,0,0,0
2014-04-28 18:46:00,0,0,0,0
2014-04-28 18:46:01,0,0,0,0
2014-04-28 18:46:02,0,0,0,0
2014-04-28 18:46:03,0,0,0,0
2014-04-28 18:46:04,2,0,0,0
2014-04-28 18:46:05,2,0,0,0
2014-04-28 18:46:06,4,0,0,0
2014-04-28 18:46:07,4,0,0,0
2014-04-28 18:46:08,4,0,0,0
2014-04-28 18:46:09,4,0,0,0
2014-04-28 18:46:10,4,0,0,0
2014-04-28 18:46:11,4,0,0,0
2014-04-28 18:46:12,2,0,0,0
2014-04-28 18:46:13,0,0,0,0
2014-04-28 18:46:14,0,0,0,0
2014-04-28 18:46:15,0,0,0,0
2014-04-28 18:46:16,0,0,0,0
2014-04-28 18:46:17,0,0,0,0
2014-04-28 18:46:18,0,0,0,0
2014-04-28 18:46:19,0,0,0,0
2014-04-28 18:46:20,0,0,0,0
2014-04-28 18:46:21,0,0,0,0
2014-04-28 18:46:22,0,0,0,0
2014-04-28 18:46:23,0,0,0,0
2014-04-28 18:46:24,0,0,0,0
2014-04-28 18:46:25,0,0,0,0
2014-04-28 18:46:26,2,0,0,0
2014-04-28 18:46:27,2,0,0,2
