time,charles,christina,yvonne,jonathan
2014-04-28 19:05:59,0,0,0,0
2014-04-28 19:06:00,2,0,0,0
2014-04-28 19:06:01,2,0,0,0
2014-04-28 19:06:02,2,0,0,0
2014-04-28 19:06:03,2,0,0,0
2014-04-28 19:06:04,4,0,0,0
2014-04-28 19:06:05,4,0,0,0
2014-04-28 19:06:06,4,0,0,0
2014-04-28 19:06:07,4,0,0,0
2014-04-28 19:06:08,4,0,0,0
2014-04-28 19:06:09,4,0,0,0
2014-04-28 19:06:10,4,0,0,0
2014-04-28 19:06:11,4,2,0,0
2014-04-28 19:06:12,4,4,0,0
2014-04-28 19:06:13,4,3,0,0
2014-04-28 19:06:14,4,8,0,0
2014-04-28 19:06:15,4,8,0,0
2014-04-28 19:06:16,4,4,0,0
2014-04-28 19:06:17,3,4,0,0
2014-04-28 19:06:18,3,4,0,0
2014-04-28 19:06:19,3,4,2,0
2014-04-28 19:06:20,3,4,3,0
2014-04-28 19:06:21,2,3,3,0
2014-04-28 19:06:22,2,3,3,0
2014-04-28 19:06:23,1,3,3,0
2014-04-28 19:06:24,1,3,4,0
2014-04-28 19:06:25,2,3,3,0
2014-04-28 19:06:26,1,3,3,0
2014-04-28 19:06:27,3,3,3,0
2014-04-28 19:06:28,3,3,3,0
2014-04-28 19:06:29,4,4,3,0
2014-04-28 19:06:30,4,4,3,0
2014-04-28 19:06:31,4,4,3,0
2014-04-28 19:06:32,3,4,3,0
2014-04-28 19:06:33,3,4,8,0
2014-04-28 19:06:34,3,4,4,0
2014-04-28 19:06:35,4,3,2,0
2014-04-28 19:06:36,4,3,2,0
2014-04-28 19:06:37,4,4,2,0
2014-04-28 19:06:38,4,3,0,0
2014-04-28 19:06:39,7,3,0,0
2014-04-28 19:06:40,8,4,0,0
2014-04-28 19:06:41,8,4,0,0
2014-04-28 19:06:42,8,4,0,0
2014-04-28 19:06:43,3,4,0,0
2014-04-28 19:06:44,3,4,2,0
2014-04-28 19:06:45,3,0,2,0
2014-04-28 19:06:46,3,0,2,0
2014-04-28 19:06:47,3,0,3,0
2014-04-28 19:06:48,3,0,3,0
2014-04-28 19:06:49,3,0,3,0
2014-04-28 19:06:50,4,0,3,0
2014-04-28 19:06:51,3,0,3,0
2014-04-28 19:06:52,3,0,1,0
2014-04-28 19:06:53,2,0,1,0
2014-04-28 19:06:54,2,0,1,0
2014-04-28 19:06:55,2,0,2,0
2014-04-28 19:06:56,2,0,2,0
2014-04-28 19:06:57,2,0,2,0
2014-04-28 19:06:58,2,0,2,0
2014-04-28 19:06:59,2,0,2,0
2014-04-28 19:07:00,4,0,2,0
2014-04-28 19:07:01,3,0,3,0
2014-04-28 19:07:02,3,2,2,6
2014-04-28 19:07:03,3,4,8,6
2014-04-28 19:07:04,4,4,8,6
2014-04-28 19:07:05,8,4,8,6
2014-04-28 19:07:06,0,4,2,3
2014-04-28 19:07:07,0,4,2,3
2014-04-28 19:07:08,0,4,2,1
2014-04-28 19:07:09,0,4,2,1
2014-04-28 19:07:10,0,0,0,1
2014-04-28 19:07:11,0,2,0,1
2014-04-28 19:07:12,0,2,0,1
2014-04-28 19:07:13,0,2,0,3
2014-04-28 19:07:14,0,8,0,3
2014-04-28 19:07:15,0,8,0,0
2014-04-28 19:07:16,0,8,0,0
2014-04-28 19:07:17,0,4,0,0
2014-04-28 19:07:18,0,4,0,0
2014-04-28 19:07:19,0,2,2,0
2014-04-28 19:07:20,0,4,2,0
2014-04-28 19:07:21,0,7,2,0
2014-04-28 19:07:22,0,7,2,0
2014-04-28 19:07:23,0,7,2,0
2014-04-28 19:07:24,0,4,2,0
2014-04-28 19:07:25,0,4,2,0
2014-04-28 19:07:26,0,4,2,0
2014-04-28 19:07:27,0,4,2,0
2014-04-28 19:07:28,0,4,2,0
2014-04-28 19:07:29,0,4,2,0
2014-04-28 19:07:30,0,5,2,0
2014-04-28 19:07:31,0,5,2,0
2014-04-28 19:07:32,0,5,2,0
2014-04-28 19:07:33,0,7,2,0
2014-04-28 19:07:34,0,3,2,0
2014-04-28 19:07:35,0,1,2,0
2014-04-28 19:07:36,0,1,4,0
2014-04-28 19:07:37,0,1,4,0
2014-04-28 19:07:38,0,1,4,0
2014-04-28 19:07:39,0,1,4,0
2014-04-28 19:07:40,0,1,4,0
2014-04-28 19:07:41,0,1,4,0
2014-04-28 19:07:42,0,1,4,0
2014-04-28 19:07:43,0,3,4,0
2014-04-28 19:07:44,0,3,4,0
2014-04-28 19:07:45,0,3,4,0
2014-04-28 19:07:46,0,4,4,0
2014-04-28 19:07:47,0,4,4,0
2014-04-28 19:07:48,0,4,4,0
2014-04-28 19:07:49,0,4,4,0
2014-04-28 19:07:50,0,4,4,0
2014-04-28 19:07:51,0,0,3,0
2014-04-28 19:07:52,0,0,2,0
2014-04-28 19:07:53,0,0,2,0
2014-04-28 19:07:54,0,0,2,0
2014-04-28 19:07:55,0,0,2,0
2014-04-28 19:07:56,0,0,2,0
2014-04-28 19:07:57,0,0,2,0
2014-04-28 19:07:58,0,0,2,0
2014-04-28 19:07:59,0,0,2,0
2014-04-28 19:08:00,0,0,2,0
2014-04-28 19:08:01,0,0,2,0
2014-04-28 19:08:02,0,0,2,0
2014-04-28 19:08:03,0,0,2,0
2014-04-28 19:08:04,0,0,2,0
2014-04-28 19:08:05,0,0,2,0
2014-04-28 19:08:06,0,0,2,0
2014-04-28 19:08:07,0,0,2,0
2014-04-28 19:08:08,0,0,2,0
2014-04-28 19:08:09,0,0,2,0
2014-04-28 19:08:10,0,0,2,0
2014-04-28 19:08:11,0,0,0,0
2014-04-28 19:08:12,0,2,0,0
2014-04-28 19:08:13,0,8,0,0
2014-04-28 19:08:14,0,4,0,0
2014-04-28 19:08:15,0,4,0,0
2014-04-28 19:08:16,0,4,0,0
2014-04-28 19:08:17,0,4,0,0
2014-04-28 19:08:18,0,4,0,0
2014-04-28 19:08:19,0,4,0,0
2014-04-28 19:08:20,0,3,0,0
2014-04-28 19:08:21,0,0,0,0
2014-04-28 19:08:22,0,2,0,0
2014-04-28 19:08:23,0,2,0,0
2014-04-28 19:08:24,0,2,0,0
2014-04-28 19:08:25,0,4,0,0
2014-04-28 19:08:26,0,0,0,0
2014-04-28 19:08:27,0,0,0,0
2014-04-28 19:08:28,0,0,0,0
2014-04-28 19:08:29,0,0,0,0
2014-04-28 19:08:30,0,0,0,0
2014-04-28 19:08:31,0,0,0,0
2014-04-28 19:08:32,0,0,0,0
2014-04-28 19:08:33,0,0,0,0
2014-04-28 19:08:34,0,0,0,0
2014-04-28 19:08:35,0,0,0,0
2014-04-28 19:08:36,0,0,0,0
2014-04-28 19:08:37,0,0,0,0
2014-04-28 19:08:38,0,0,0,0
2014-04-28 19:08:39,0,0,0,0
2014-04-28 19:08:40,0,0,0,0
2014-04-28 19:08:41,0,0,0,0
2014-04-28 19:08:42,0,0,0,0
2014-04-28 19:08:43,0,0,0,0
2014-04-28 19:08:44,0,0,0,0
2014-04-28 19:08:45,0,0,0,0
2014-04-28 19:08:46,0,0,0,0
2014-04-28 19:08:47,0,0,0,0
2014-04-28 19:08:48,0,0,0,0
2014-04-28 19:08:49,0,0,0,0
2014-04-28 19:08:50,0,0,0,0
2014-04-28 19:08:51,0,0,0,0
2014-04-28 19:08:52,0,0,0,0
2014-04-28 19:08:53,0,0,0,0
2014-04-28 19:08:54,0,0,0,0
2014-04-28 19:08:55,0,0,0,0
2014-04-28 19:08:56,0,0,0,0
2014-04-28 19:08:57,0,0,0,0
2014-04-28 19:08:58,0,0,0,0
2014-04-28 19:08:59,0,0,0,0
2014-04-28 19:09:00,0,0,0,0
2014-04-28 19:09:01,0,0,0,0
2014-04-28 19:09:02,0,0,0,0
2014-04-28 19:09:03,0,0,0,0
2014-04-28 19:09:04,0,0,0,2
2014-04-28 19:09:05,0,0,0,4
2014-04-28 19:09:06,0,0,0,0
2014-04-28 19:09:07,0,0,0,0
2014-04-28 19:09:08,0,0,0,0
