time,charles,jonathan
2014-04-28 19:09:58,0,0
2014-04-28 19:09:59,2,0
2014-04-28 19:10:00,2,0
2014-04-28 19:10:01,2,0
2014-04-28 19:10:02,2,0
2014-04-28 19:10:03,2,0
2014-04-28 19:10:04,1,0
2014-04-28 19:10:05,3,0
2014-04-28 19:10:06,3,0
2014-04-28 19:10:07,1,0
2014-04-28 19:10:08,3,0
2014-04-28 19:10:09,3,0
2014-04-28 19:10:10,3,0
2014-04-28 19:10:11,4,0
2014-04-28 19:10:12,4,0
2014-04-28 19:10:13,4,0
2014-04-28 19:10:14,3,0
2014-04-28 19:10:15,4,0
2014-04-28 19:10:16,4,0
2014-04-28 19:10:17,4,0
2014-04-28 19:10:18,4,0
2014-04-28 19:10:19,4,0
2014-04-28 19:10:20,4,0
2014-04-28 19:10:21,4,0
2014-04-28 19:10:22,4,0
2014-04-28 19:10:23,7,0
2014-04-28 19:10:24,4,0
2014-04-28 19:10:25,7,0
2014-04-28 19:10:26,7,0
2014-04-28 19:10:27,7,0
2014-04-28 19:10:28,6,0
2014-04-28 19:10:29,4,0
2014-04-28 19:10:30,4,0
2014-04-28 19:10:31,4,0
2014-04-28 19:10:32,4,0
2014-04-28 19:10:33,1,0
2014-04-28 19:10:34,1,0
2014-04-28 19:10:35,1,0
2014-04-28 19:10:36,1,0
2014-04-28 19:10:37,1,0
2014-04-28 19:10:38,1,2
2014-04-28 19:10:39,2,1
2014-04-28 19:10:40,2,1
2014-04-28 19:10:41,2,1
2014-04-28 19:10:42,2,1
2014-04-28 19:10:43,0,1
2014-04-28 19:10:44,0,1
2014-04-28 19:10:45,0,1
2014-04-28 19:10:46,0,1
2014-04-28 19:10:47,0,1
2014-04-28 19:10:48,2,1
2014-04-28 19:10:49,2,1
2014-04-28 19:10:50,2,1
2014-04-28 19:10:51,2,1
2014-04-28 19:10:52,2,1
2014-04-28 19:10:53,2,1
2014-04-28 19:10:54,2,1
2014-04-28 19:10:55,2,1
2014-04-28 19:10:56,6,0
2014-04-28 19:10:57,0,0
2014-04-28 19:10:58,0,0
2014-04-28 19:10:59,4,2
2014-04-28 19:11:00,4,2
2014-04-28 19:11:01,4,2
2014-04-28 19:11:02,4,1
2014-04-28 19:11:03,4,1
2014-04-28 19:11:04,2,1
2014-04-28 19:11:05,2,1
2014-04-28 19:11:06,1,1
2014-04-28 19:11:07,1,1
2014-04-28 19:11:08,1,1
2014-04-28 19:11:09,1,1
2014-04-28 19:11:10,1,1
2014-04-28 19:11:11,1,1
2014-04-28 19:11:12,1,1
2014-04-28 19:11:13,1,1
2014-04-28 19:11:14,1,1
2014-04-28 19:11:15,1,1
2014-04-28 19:11:16,1,1
2014-04-28 19:11:17,1,1
2014-04-28 19:11:18,1,1
2014-04-28 19:11:19,1,1
2014-04-28 19:11:20,1,1
2014-04-28 19:11:21,2,1
2014-04-28 19:11:22,2,1
2014-04-28 19:11:23,2,1
2014-04-28 19:11:24,2,1
2014-04-28 19:11:25,2,2
2014-04-28 19:11:26,2,0
2014-04-28 19:11:27,2,0
2014-04-28 19:11:28,2,0
2014-04-28 19:11:29,2,0
2014-04-28 19:11:30,2,0
2014-04-28 19:11:31,2,0
2014-04-28 19:11:32,2,0
2014-04-28 19:11:33,0,0
2014-04-28 19:11:34,0,2
2014-04-28 19:11:35,0,2
2014-04-28 19:11:36,0,2
