time,christina,yvonne,jonathan,charles
2014-04-28 19:18:42,0,0,0,0
2014-04-28 19:18:43,2,0,0,0
2014-04-28 19:18:44,4,0,0,0
2014-04-28 19:18:45,4,0,0,0
2014-04-28 19:18:46,8,0,0,0
2014-04-28 19:18:47,8,0,0,0
2014-04-28 19:18:48,8,2,0,0
2014-04-28 19:18:49,8,3,0,0
2014-04-28 19:18:50,8,3,0,0
2014-04-28 19:18:51,8,3,0,0
2014-04-28 19:18:52,8,1,0,0
2014-04-28 19:18:53,2,1,0,0
2014-04-28 19:18:54,2,1,0,0
2014-04-28 19:18:55,2,1,0,0
2014-04-28 19:18:56,2,1,0,0
2014-04-28 19:18:57,0,4,0,0
2014-04-28 19:18:58,0,7,0,0
2014-04-28 19:18:59,0,7,0,0
2014-04-28 19:19:00,2,7,0,0
2014-04-28 19:19:01,2,7,0,0
2014-04-28 19:19:02,2,7,0,0
2014-04-28 19:19:03,2,7,0,0
2014-04-28 19:19:04,2,8,0,0
2014-04-28 19:19:05,2,8,0,0
2014-04-28 19:19:06,0,8,0,0
2014-04-28 19:19:07,2,8,0,0
2014-04-28 19:19:08,2,8,0,0
2014-04-28 19:19:09,2,7,0,0
2014-04-28 19:19:10,2,7,0,0
2014-04-28 19:19:11,2,7,0,0
2014-04-28 19:19:12,2,7,0,0
2014-04-28 19:19:13,2,7,0,0
2014-04-28 19:19:14,2,8,0,0
2014-04-28 19:19:15,2,7,0,0
2014-04-28 19:19:16,2,7,0,0
2014-04-28 19:19:17,2,7,0,0
2014-04-28 19:19:18,2,8,0,0
2014-04-28 19:19:19,2,7,0,0
2014-04-28 19:19:20,2,7,0,0
2014-04-28 19:19:21,2,7,0,0
2014-04-28 19:19:22,2,7,0,0
2014-04-28 19:19:23,2,2,0,0
2014-04-28 19:19:24,2,0,0,0
2014-04-28 19:19:25,2,0,0,0
2014-04-28 19:19:26,2,4,0,0
2014-04-28 19:19:27,2,4,0,0
2014-04-28 19:19:28,2,4,0,0
2014-04-28 19:19:29,2,4,0,0
2014-04-28 19:19:30,2,4,0,0
2014-04-28 19:19:31,2,4,2,0
2014-04-28 19:19:32,0,4,2,0
2014-04-28 19:19:33,0,4,2,0
2014-04-28 19:19:34,0,4,2,0
2014-04-28 19:19:35,0,4,2,0
2014-04-28 19:19:36,0,4,2,0
2014-04-28 19:19:37,0,4,0,0
2014-04-28 19:19:38,0,3,0,0
2014-04-28 19:19:39,0,0,0,0
2014-04-28 19:19:40,0,0,0,0
2014-04-28 19:19:41,0,0,0,0
2014-04-28 19:19:42,0,0,0,0
2014-04-28 19:19:43,0,0,0,0
2014-04-28 19:19:44,0,0,0,0
2014-04-28 19:19:45,0,0,0,0
2014-04-28 19:19:46,0,0,0,0
2014-04-28 19:19:47,0,0,0,0
2014-04-28 19:19:48,0,0,0,0
2014-04-28 19:19:49,0,0,0,0
2014-04-28 19:19:50,0,0,0,0
2014-04-28 19:19:51,0,0,0,0
2014-04-28 19:19:52,2,0,0,0
2014-04-28 19:19:53,2,2,0,0
2014-04-28 19:19:54,2,2,0,0
2014-04-28 19:19:55,2,2,0,0
2014-04-28 19:19:56,2,1,0,0
2014-04-28 19:19:57,8,1,0,0
2014-04-28 19:19:58,2,1,0,0
