time,jonathan,yvonne,christina,charles
2014-04-28 19:35:29,0,0,0,0
2014-04-28 19:35:30,2,8,0,0
2014-04-28 19:35:31,1,8,0,0
2014-04-28 19:35:32,1,8,0,0
2014-04-28 19:35:33,1,8,0,0
2014-04-28 19:35:34,1,3,0,0
2014-04-28 19:35:35,1,8,0,0
2014-04-28 19:35:36,1,3,0,0
2014-04-28 19:35:37,1,3,0,0
2014-04-28 19:35:38,1,3,0,0
2014-04-28 19:35:39,1,3,0,0
2014-04-28 19:35:40,1,3,0,0
2014-04-28 19:35:41,1,1,0,0
2014-04-28 19:35:42,3,2,0,0
2014-04-28 19:35:43,3,2,0,0
2014-04-28 19:35:44,3,2,0,0
2014-04-28 19:35:45,3,8,0,0
2014-04-28 19:35:46,1,3,0,0
2014-04-28 19:35:47,1,3,0,0
2014-04-28 19:35:48,1,3,0,0
2014-04-28 19:35:49,1,3,0,0
2014-04-28 19:35:50,1,8,0,0
2014-04-28 19:35:51,2,4,0,0
2014-04-28 19:35:52,2,4,0,0
2014-04-28 19:35:53,2,4,0,0
2014-04-28 19:35:54,0,0,0,0
2014-04-28 19:35:55,0,2,0,0
2014-04-28 19:35:56,0,2,0,0
2014-04-28 19:35:57,0,2,0,0
2014-04-28 19:35:58,0,2,0,0
2014-04-28 19:35:59,0,2,0,0
2014-04-28 19:36:00,0,2,0,0
2014-04-28 19:36:01,0,0,0,0
2014-04-28 19:36:02,0,0,0,0
2014-04-28 19:36:03,0,0,0,0
2014-04-28 19:36:04,0,0,0,0
2014-04-28 19:36:05,0,0,0,0
2014-04-28 19:36:06,0,0,0,0
2014-04-28 19:36:07,0,0,0,0
2014-04-28 19:36:08,0,0,0,0
2014-04-28 19:36:09,0,0,0,0
2014-04-28 19:36:10,0,0,0,0
2014-04-28 19:36:11,0,0,0,0
2014-04-28 19:36:12,0,0,0,0
2014-04-28 19:36:13,0,0,0,0
2014-04-28 19:36:14,0,0,0,0
2014-04-28 19:36:15,0,0,0,0
2014-04-28 19:36:16,0,0,0,0
2014-04-28 19:36:17,0,0,0,0
2014-04-28 19:36:18,0,0,0,0
2014-04-28 19:36:19,0,0,0,0
2014-04-28 19:36:20,0,0,0,0
2014-04-28 19:36:21,0,0,0,0
2014-04-28 19:36:22,0,0,0,0
2014-04-28 19:36:23,0,0,0,0
2014-04-28 19:36:24,0,0,0,0
2014-04-28 19:36:25,0,0,0,0
2014-04-28 19:36:26,0,0,0,0
2014-04-28 19:36:27,0,0,0,0
2014-04-28 19:36:28,0,0,0,0
2014-04-28 19:36:29,0,0,0,0
2014-04-28 19:36:30,0,0,0,0
2014-04-28 19:36:31,0,0,0,0
2014-04-28 19:36:32,0,0,0,0
2014-04-28 19:36:33,0,0,0,0
2014-04-28 19:36:34,0,0,0,0
2014-04-28 19:36:35,0,0,0,0
2014-04-28 19:36:36,0,0,0,0
2014-04-28 19:36:37,0,0,0,0
2014-04-28 19:36:38,0,0,0,0
2014-04-28 19:36:39,0,0,0,0
2014-04-28 19:36:40,0,0,0,0
2014-04-28 19:36:41,0,0,0,0
2014-04-28 19:36:42,0,0,0,0
2014-04-28 19:36:43,0,0,0,0
2014-04-28 19:36:44,0,0,0,0
2014-04-28 19:36:45,0,0,0,0
2014-04-28 19:36:46,0,0,0,0
2014-04-28 19:36:47,0,0,0,0
2014-04-28 19:36:48,0,0,0,0
2014-04-28 19:36:49,0,0,0,0
2014-04-28 19:36:50,0,0,0,0
2014-04-28 19:36:51,0,0,0,0
2014-04-28 19:36:52,0,0,0,0
2014-04-28 19:36:53,0,0,0,0
2014-04-28 19:36:54,0,0,0,0
2014-04-28 19:36:55,0,0,0,0
2014-04-28 19:36:56,0,0,0,0
2014-04-28 19:36:57,0,0,0,0
2014-04-28 19:36:58,0,0,0,0
2014-04-28 19:36:59,0,0,0,0
2014-04-28 19:37:00,0,0,0,0
2014-04-28 19:37:01,0,0,0,0
2014-04-28 19:37:02,0,0,0,0
2014-04-28 19:37:03,0,0,0,0
2014-04-28 19:37:04,0,0,0,0
2014-04-28 19:37:05,0,0,0,0
2014-04-28 19:37:06,0,0,0,0
2014-04-28 19:37:07,0,0,0,0
2014-04-28 19:37:08,0,0,0,0
2014-04-28 19:37:09,0,0,0,0
2014-04-28 19:37:10,0,0,0,0
2014-04-28 19:37:11,0,0,0,0
2014-04-28 19:37:12,0,0,0,0
