time,jonathan,yvonne,charles,christina
2014-04-29 15:19:05,0,0,0,0
2014-04-29 15:19:06,2,0,0,0
2014-04-29 15:19:07,2,0,0,0
2014-04-29 15:19:08,2,0,0,0
2014-04-29 15:19:09,2,0,0,0
2014-04-29 15:19:10,2,0,0,0
2014-04-29 15:19:11,2,0,0,0
2014-04-29 15:19:12,2,0,0,0
2014-04-29 15:19:13,2,0,0,0
2014-04-29 15:19:14,2,0,0,0
2014-04-29 15:19:15,2,0,0,0
2014-04-29 15:19:16,2,0,0,0
2014-04-29 15:19:17,2,0,0,0
2014-04-29 15:19:18,2,0,0,0
2014-04-29 15:19:19,2,0,0,0
2014-04-29 15:19:20,2,0,0,0
2014-04-29 15:19:21,2,0,0,0
2014-04-29 15:19:22,2,0,0,0
2014-04-29 15:19:23,3,0,0,0
2014-04-29 15:19:24,3,0,0,0
2014-04-29 15:19:25,3,0,0,0
2014-04-29 15:19:26,3,0,0,0
2014-04-29 15:19:27,3,0,0,0
2014-04-29 15:19:28,4,0,0,0
2014-04-29 15:19:29,3,0,0,0
2014-04-29 15:19:30,3,0,0,0
2014-04-29 15:19:31,3,0,0,0
2014-04-29 15:19:32,3,0,0,0
2014-04-29 15:19:33,2,0,0,0
2014-04-29 15:19:34,2,0,0,0
2014-04-29 15:19:35,2,0,0,0
2014-04-29 15:19:36,2,0,0,0
2014-04-29 15:19:37,2,0,0,0
2014-04-29 15:19:38,2,0,0,0
2014-04-29 15:19:39,2,0,0,0
2014-04-29 15:19:40,2,0,0,0
2014-04-29 15:19:41,2,0,0,0
2014-04-29 15:19:42,2,0,0,0
2014-04-29 15:19:43,2,0,0,0
2014-04-29 15:19:44,2,0,0,0
2014-04-29 15:19:45,3,0,0,0
2014-04-29 15:19:46,3,0,0,0
2014-04-29 15:19:47,3,0,0,0
2014-04-29 15:19:48,3,0,0,0
2014-04-29 15:19:49,3,0,0,0
2014-04-29 15:19:50,3,0,0,0
2014-04-29 15:19:51,3,2,0,0
2014-04-29 15:19:52,1,2,0,0
2014-04-29 15:19:53,3,2,0,0
2014-04-29 15:19:54,3,2,0,0
2014-04-29 15:19:55,3,2,0,0
2014-04-29 15:19:56,3,0,0,0
2014-04-29 15:19:57,2,0,0,0
2014-04-29 15:19:58,0,0,0,0
2014-04-29 15:19:59,0,2,0,0
2014-04-29 15:20:00,0,2,0,0
2014-04-29 15:20:01,0,2,0,0
2014-04-29 15:20:02,0,2,0,0
2014-04-29 15:20:03,0,2,0,0
2014-04-29 15:20:04,0,2,0,0
2014-04-29 15:20:05,0,2,0,0
2014-04-29 15:20:06,0,2,0,0
2014-04-29 15:20:07,0,2,0,0
2014-04-29 15:20:08,0,2,0,0
2014-04-29 15:20:09,0,2,0,0
2014-04-29 15:20:10,0,2,0,0
2014-04-29 15:20:11,0,2,0,0
2014-04-29 15:20:12,0,2,0,0
2014-04-29 15:20:13,0,2,0,0
2014-04-29 15:20:14,0,2,0,0
2014-04-29 15:20:15,0,2,0,0
2014-04-29 15:20:16,0,2,0,0
2014-04-29 15:20:17,0,2,0,0
2014-04-29 15:20:18,0,2,0,0
2014-04-29 15:20:19,0,8,0,0
2014-04-29 15:20:20,0,8,0,0
2014-04-29 15:20:21,0,1,0,0
2014-04-29 15:20:22,0,2,0,0
2014-04-29 15:20:23,0,8,0,0
2014-04-29 15:20:24,0,2,0,0
2014-04-29 15:20:25,0,2,0,0
2014-04-29 15:20:26,0,2,0,0
2014-04-29 15:20:27,0,2,0,0
2014-04-29 15:20:28,0,2,0,0
2014-04-29 15:20:29,0,2,0,0
2014-04-29 15:20:30,0,2,0,0
2014-04-29 15:20:31,0,2,0,0
2014-04-29 15:20:32,0,2,0,0
2014-04-29 15:20:33,0,2,0,0
2014-04-29 15:20:34,2,2,0,0
2014-04-29 15:20:35,4,2,0,0
2014-04-29 15:20:36,3,2,0,0
2014-04-29 15:20:37,3,2,0,0
2014-04-29 15:20:38,3,0,0,0
2014-04-29 15:20:39,4,0,0,0
2014-04-29 15:20:40,4,0,0,0
2014-04-29 15:20:41,2,0,0,0
2014-04-29 15:20:42,0,0,0,0
2014-04-29 15:20:43,0,0,0,0
2014-04-29 15:20:44,0,0,3,0
2014-04-29 15:20:45,0,0,3,0
2014-04-29 15:20:46,0,0,3,0
2014-04-29 15:20:47,0,0,3,0
2014-04-29 15:20:48,2,0,3,0
2014-04-29 15:20:49,2,0,3,0
2014-04-29 15:20:50,4,0,3,0
2014-04-29 15:20:51,4,0,1,0
2014-04-29 15:20:52,4,0,1,0
2014-04-29 15:20:53,4,0,2,0
2014-04-29 15:20:54,4,0,2,0
2014-04-29 15:20:55,4,0,2,0
