time,jonathan,charles,christina,yvonne,95585C5C-C1C1-4612-9836-BFC68B0DC36F,00088B8E-D27C-4AE1-8102-5FE318589D3E
2014-04-29 16:13:36,0,0,0,0,0,0
2014-04-29 16:13:37,2,0,0,0,0,0
2014-04-29 16:13:38,2,0,0,0,0,0
2014-04-29 16:13:39,8,0,0,0,0,0
2014-04-29 16:13:40,8,0,0,0,0,0
2014-04-29 16:13:41,8,0,0,0,0,0
2014-04-29 16:13:42,4,0,0,0,0,0
2014-04-29 16:13:43,4,0,0,0,0,0
2014-04-29 16:13:44,7,0,0,0,0,0
2014-04-29 16:13:45,4,0,0,0,0,0
2014-04-29 16:13:46,8,1,0,0,0,0
2014-04-29 16:13:47,8,2,0,0,0,0
2014-04-29 16:13:48,8,4,0,0,0,0
2014-04-29 16:13:49,7,4,0,0,0,0
2014-04-29 16:13:50,3,8,0,0,0,0
2014-04-29 16:13:51,2,8,0,0,0,0
2014-04-29 16:13:52,2,3,0,0,0,0
2014-04-29 16:13:53,2,3,0,0,0,0
2014-04-29 16:13:54,2,3,0,0,0,0
2014-04-29 16:13:55,2,3,0,0,0,0
2014-04-29 16:13:56,0,3,0,0,0,0
2014-04-29 16:13:57,0,3,0,0,0,0
2014-04-29 16:13:58,0,4,0,0,0,0
2014-04-29 16:13:59,0,4,0,0,0,0
2014-04-29 16:14:00,0,0,0,0,0,0
2014-04-29 16:14:01,0,0,0,0,0,0
2014-04-29 16:14:02,0,0,0,0,0,0
2014-04-29 16:14:03,0,0,0,0,0,0
2014-04-29 16:14:04,0,0,0,0,0,0
2014-04-29 16:14:05,0,2,3,0,0,0
2014-04-29 16:14:06,0,4,3,0,0,0
2014-04-29 16:14:07,0,4,3,0,0,0
2014-04-29 16:14:08,0,4,3,0,0,0
2014-04-29 16:14:09,0,4,3,0,0,0
2014-04-29 16:14:10,0,2,0,0,0,0
2014-04-29 16:14:11,0,2,0,0,0,0
2014-04-29 16:14:12,0,3,0,0,0,0
2014-04-29 16:14:13,0,3,2,0,0,0
2014-04-29 16:14:14,0,2,3,0,0,0
2014-04-29 16:14:15,0,3,3,0,0,0
2014-04-29 16:14:16,0,3,4,0,0,0
2014-04-29 16:14:17,0,3,4,0,0,0
2014-04-29 16:14:18,0,1,4,0,0,0
2014-04-29 16:14:19,0,1,3,0,0,0
2014-04-29 16:14:20,0,1,3,0,0,0
2014-04-29 16:14:21,0,3,3,0,0,0
2014-04-29 16:14:22,0,3,3,2,0,0
2014-04-29 16:14:23,0,4,3,2,0,0
2014-04-29 16:14:24,0,4,2,1,0,0
2014-04-29 16:14:25,0,4,2,1,0,0
2014-04-29 16:14:26,0,4,2,1,0,0
2014-04-29 16:14:27,0,4,2,1,0,0
2014-04-29 16:14:28,0,3,2,1,0,0
2014-04-29 16:14:29,0,3,2,1,0,0
2014-04-29 16:14:30,0,3,2,1,0,0
2014-04-29 16:14:31,0,3,2,1,0,0
2014-04-29 16:14:32,0,3,2,2,0,0
2014-04-29 16:14:33,0,3,2,2,0,0
2014-04-29 16:14:34,0,8,2,2,0,0
2014-04-29 16:14:35,0,8,2,1,0,0
2014-04-29 16:14:36,0,3,2,1,0,0
2014-04-29 16:14:37,0,3,2,1,0,0
2014-04-29 16:14:38,0,3,2,1,0,0
2014-04-29 16:14:39,0,3,2,1,0,0
2014-04-29 16:14:40,0,3,2,1,0,0
2014-04-29 16:14:41,0,3,2,1,0,0
2014-04-29 16:14:42,0,3,0,1,0,0
2014-04-29 16:14:43,0,8,0,1,0,0
2014-04-29 16:14:44,0,7,0,1,0,0
2014-04-29 16:14:45,0,8,0,1,0,0
2014-04-29 16:14:46,0,3,0,2,0,0
2014-04-29 16:14:47,0,3,0,2,0,0
2014-04-29 16:14:48,0,1,0,2,0,0
2014-04-29 16:14:49,0,1,0,2,0,0
2014-04-29 16:14:50,0,1,0,2,0,0
2014-04-29 16:14:51,0,1,2,2,0,0
2014-04-29 16:14:52,0,3,2,0,0,0
2014-04-29 16:14:53,0,2,2,0,0,0
2014-04-29 16:14:54,0,0,2,0,0,0
2014-04-29 16:14:55,0,0,2,0,0,0
2014-04-29 16:14:56,0,0,2,0,0,0
2014-04-29 16:14:57,0,0,2,0,0,0
2014-04-29 16:14:58,0,0,2,0,0,0
2014-04-29 16:14:59,0,0,3,0,0,0
2014-04-29 16:15:00,0,0,3,0,0,0
2014-04-29 16:15:01,0,0,3,0,0,0
2014-04-29 16:15:02,0,0,3,0,0,0
2014-04-29 16:15:03,0,0,3,0,0,0
2014-04-29 16:15:04,0,0,3,0,0,0
2014-04-29 16:15:05,0,0,2,0,0,0
2014-04-29 16:15:06,0,0,2,2,0,0
2014-04-29 16:15:07,0,0,2,1,0,0
2014-04-29 16:15:08,0,0,2,1,0,0
2014-04-29 16:15:09,0,0,2,1,0,0
2014-04-29 16:15:10,0,0,0,1,0,0
2014-04-29 16:15:11,0,0,0,1,0,0
2014-04-29 16:15:12,0,2,0,2,0,0
2014-04-29 16:15:13,0,2,0,2,0,0
2014-04-29 16:15:14,0,2,0,2,0,0
2014-04-29 16:15:15,0,2,0,1,0,0
2014-04-29 16:15:16,0,3,0,1,0,0
2014-04-29 16:15:17,0,4,0,1,0,0
2014-04-29 16:15:18,2,4,0,1,0,0
2014-04-29 16:15:19,4,4,0,1,0,0
2014-04-29 16:15:20,4,4,0,1,0,0
2014-04-29 16:15:21,4,4,0,1,0,0
2014-04-29 16:15:22,4,4,0,1,0,0
2014-04-29 16:15:23,4,4,0,1,0,0
2014-04-29 16:15:24,4,4,2,1,0,0
2014-04-29 16:15:25,4,4,2,1,0,0
2014-04-29 16:15:26,4,4,2,1,0,0
2014-04-29 16:15:27,4,2,2,1,0,0
2014-04-29 16:15:28,4,2,2,1,0,0
2014-04-29 16:15:29,4,4,2,1,0,0
2014-04-29 16:15:30,4,4,2,1,0,0
2014-04-29 16:15:31,4,4,2,1,0,0
2014-04-29 16:15:32,4,4,2,1,0,0
2014-04-29 16:15:33,0,3,2,1,0,0
2014-04-29 16:15:34,0,3,2,1,0,0
2014-04-29 16:15:35,0,3,2,2,0,0
2014-04-29 16:15:36,0,3,2,2,0,0
2014-04-29 16:15:37,0,3,2,2,0,0
2014-04-29 16:15:38,0,4,2,0,0,0
2014-04-29 16:15:39,0,4,0,0,0,0
2014-04-29 16:15:40,0,4,0,0,0,0
