time,charles,charles_ipadair,yvonne
2014-05-05 20:26:47,0,0,0
2014-05-05 20:26:48,2,0,0
2014-05-05 20:26:49,2,2,0
2014-05-05 20:26:50,4,2,0
2014-05-05 20:26:51,4,2,2
2014-05-05 20:26:52,4,2,2
2014-05-05 20:26:53,4,2,2
2014-05-05 20:26:54,4,0,2
2014-05-05 20:26:55,0,0,2
2014-05-05 20:26:56,0,0,2
2014-05-05 20:26:57,0,0,2
2014-05-05 20:26:58,0,0,2
2014-05-05 20:26:59,0,0,2
2014-05-05 20:27:00,0,0,2
2014-05-05 20:27:01,0,0,2
2014-05-05 20:27:02,0,0,2
2014-05-05 20:27:03,0,0,2
2014-05-05 20:27:04,0,0,2
2014-05-05 20:27:05,0,0,2
2014-05-05 20:27:06,0,0,2
2014-05-05 20:27:07,0,0,2
2014-05-05 20:27:08,3,0,2
2014-05-05 20:27:09,4,0,2
2014-05-05 20:27:10,4,0,0
2014-05-05 20:27:11,4,0,0
2014-05-05 20:27:12,4,0,2
2014-05-05 20:27:13,4,0,2
2014-05-05 20:27:14,4,0,2
2014-05-05 20:27:15,4,0,2
2014-05-05 20:27:16,4,0,2
2014-05-05 20:27:17,4,0,2
2014-05-05 20:27:18,4,0,2
2014-05-05 20:27:19,4,0,2
2014-05-05 20:27:20,4,0,2
2014-05-05 20:27:21,4,0,2
2014-05-05 20:27:22,4,0,2
2014-05-05 20:27:23,4,0,2
2014-05-05 20:27:24,4,0,2
2014-05-05 20:27:25,4,0,3
2014-05-05 20:27:26,2,0,4
2014-05-05 20:27:27,4,2,4
2014-05-05 20:27:28,4,1,4
2014-05-05 20:27:29,4,1,4
2014-05-05 20:27:30,4,1,2
2014-05-05 20:27:31,4,1,2
2014-05-05 20:27:32,6,1,4
2014-05-05 20:27:33,6,2,2
2014-05-05 20:27:34,3,0,2
2014-05-05 20:27:35,0,0,2
2014-05-05 20:27:36,0,0,4
2014-05-05 20:27:37,0,0,2
2014-05-05 20:27:38,0,0,2
2014-05-05 20:27:39,0,0,2
2014-05-05 20:27:40,0,0,2
2014-05-05 20:27:41,0,0,2
2014-05-05 20:27:42,0,0,0
2014-05-05 20:27:43,3,0,0
2014-05-05 20:27:44,4,0,0
2014-05-05 20:27:45,4,0,2
2014-05-05 20:27:46,4,0,2
2014-05-05 20:27:47,4,2,2
2014-05-05 20:27:48,4,3,2
2014-05-05 20:27:49,4,1,2
2014-05-05 20:27:50,4,1,2
2014-05-05 20:27:51,4,1,2
2014-05-05 20:27:52,4,1,2
2014-05-05 20:27:53,3,1,0
2014-05-05 20:27:54,4,1,0
2014-05-05 20:27:55,4,1,0
2014-05-05 20:27:56,3,1,0
2014-05-05 20:27:57,1,1,2
2014-05-05 20:27:58,1,1,2
2014-05-05 20:27:59,1,1,2
2014-05-05 20:28:00,1,1,2
2014-05-05 20:28:01,1,1,2
2014-05-05 20:28:02,3,1,2
2014-05-05 20:28:03,3,1,0
2014-05-05 20:28:04,2,1,0
2014-05-05 20:28:05,3,2,0
2014-05-05 20:28:06,4,0,0
2014-05-05 20:28:07,4,0,0
2014-05-05 20:28:08,4,0,0
2014-05-05 20:28:09,4,0,0
2014-05-05 20:28:10,4,0,0
