time,charles,yvonne,charles_ipadair
2014-05-05 20:42:54,0,0,0
2014-05-05 20:42:55,4,4,4
2014-05-05 20:42:56,4,4,6
2014-05-05 20:42:57,7,4,7
2014-05-05 20:42:58,7,6,7
2014-05-05 20:42:59,7,6,7
2014-05-05 20:43:00,8,8,8
2014-05-05 20:43:01,7,6,7
2014-05-05 20:43:02,8,8,8
2014-05-05 20:43:03,7,6,7
2014-05-05 20:43:04,7,6,7
2014-05-05 20:43:05,7,6,7
2014-05-05 20:43:06,7,6,7
2014-05-05 20:43:07,7,8,8
2014-05-05 20:43:08,7,6,7
2014-05-05 20:43:09,8,8,8
2014-05-05 20:43:10,7,6,7
2014-05-05 20:43:11,8,8,8
2014-05-05 20:43:12,7,6,7
2014-05-05 20:43:13,7,6,7
2014-05-05 20:43:14,7,6,7
2014-05-05 20:43:15,7,6,7
2014-05-05 20:43:16,8,6,7
2014-05-05 20:43:17,7,6,7
2014-05-05 20:43:18,8,6,8
2014-05-05 20:43:19,7,6,7
2014-05-05 20:43:20,8,8,8
2014-05-05 20:43:21,7,6,7
2014-05-05 20:43:22,7,8,8
2014-05-05 20:43:23,4,6,7
2014-05-05 20:43:24,4,8,8
2014-05-05 20:43:25,2,6,7
2014-05-05 20:43:26,2,6,7
2014-05-05 20:43:27,2,6,7
2014-05-05 20:43:28,2,6,7
2014-05-05 20:43:29,2,8,8
2014-05-05 20:43:30,2,6,7
2014-05-05 20:43:31,2,8,8
2014-05-05 20:43:32,2,6,7
2014-05-05 20:43:33,2,8,8
2014-05-05 20:43:34,2,6,7
2014-05-05 20:43:35,2,8,8
2014-05-05 20:43:36,2,6,7
2014-05-05 20:43:37,2,8,8
2014-05-05 20:43:38,2,6,7
2014-05-05 20:43:39,2,6,7
2014-05-05 20:43:40,2,6,7
2014-05-05 20:43:41,2,6,7
2014-05-05 20:43:42,2,6,7
2014-05-05 20:43:43,2,6,7
2014-05-05 20:43:44,2,8,7
2014-05-05 20:43:45,2,6,7
2014-05-05 20:43:46,2,8,8
2014-05-05 20:43:47,2,6,7
2014-05-05 20:43:48,2,8,8
2014-05-05 20:43:49,2,6,7
2014-05-05 20:43:50,2,8,8
2014-05-05 20:43:51,2,6,7
2014-05-05 20:43:52,2,6,8
2014-05-05 20:43:53,2,4,7
2014-05-05 20:43:54,2,4,8
2014-05-05 20:43:55,2,4,7
2014-05-05 20:43:56,2,4,8
2014-05-05 20:43:57,2,2,7
2014-05-05 20:43:58,2,2,8
2014-05-05 20:43:59,2,2,7
2014-05-05 20:44:00,2,2,8
2014-05-05 20:44:01,2,2,7
2014-05-05 20:44:02,2,2,7
2014-05-05 20:44:03,2,2,7
2014-05-05 20:44:04,2,2,8
2014-05-05 20:44:05,2,2,7
2014-05-05 20:44:06,2,2,8
2014-05-05 20:44:07,2,2,7
2014-05-05 20:44:08,2,2,7
2014-05-05 20:44:09,2,2,7
2014-05-05 20:44:10,2,2,8
2014-05-05 20:44:11,2,2,7
2014-05-05 20:44:12,2,2,8
2014-05-05 20:44:13,2,2,7
2014-05-05 20:44:14,2,2,4
2014-05-05 20:44:15,2,2,4
2014-05-05 20:44:16,2,2,4
2014-05-05 20:44:17,2,2,4
2014-05-05 20:44:18,2,2,2
2014-05-05 20:44:19,2,2,2
2014-05-05 20:44:20,2,2,2
2014-05-05 20:44:21,2,2,2
2014-05-05 20:44:22,2,2,2
2014-05-05 20:44:23,2,2,2
2014-05-05 20:44:24,2,2,2
2014-05-05 20:44:25,2,2,2
2014-05-05 20:44:26,2,2,2
2014-05-05 20:44:27,2,2,2
2014-05-05 20:44:28,2,2,2
2014-05-05 20:44:29,2,2,2
2014-05-05 20:44:30,2,2,2
2014-05-05 20:44:31,2,2,2
2014-05-05 20:44:32,2,2,2
2014-05-05 20:44:33,2,2,2
