time,yvonne,charles,charles_ipadair
2014-05-05 21:34:11,0,0,0
2014-05-05 21:34:12,2,0,0
2014-05-05 21:34:13,4,6,0
2014-05-05 21:34:14,4,6,0
2014-05-05 21:34:15,4,6,2
2014-05-05 21:34:16,4,6,2
2014-05-05 21:34:17,7,2,2
2014-05-05 21:34:18,7,2,2
2014-05-05 21:34:19,4,2,3
2014-05-05 21:34:20,4,2,4
2014-05-05 21:34:21,4,4,4
2014-05-05 21:34:22,3,3,4
2014-05-05 21:34:23,3,1,4
2014-05-05 21:34:24,3,1,4
2014-05-05 21:34:25,4,1,4
2014-05-05 21:34:26,4,1,2
2014-05-05 21:34:27,4,1,2
2014-05-05 21:34:28,4,2,2
2014-05-05 21:34:29,4,8,2
2014-05-05 21:34:30,4,8,2
2014-05-05 21:34:31,4,8,2
2014-05-05 21:34:32,4,8,4
2014-05-05 21:34:33,7,8,4
2014-05-05 21:34:34,7,4,4
2014-05-05 21:34:35,7,4,4
2014-05-05 21:34:36,7,4,4
2014-05-05 21:34:37,7,7,4
2014-05-05 21:34:38,7,7,4
2014-05-05 21:34:39,7,7,4
2014-05-05 21:34:40,7,8,4
2014-05-05 21:34:41,4,8,4
2014-05-05 21:34:42,4,3,3
2014-05-05 21:34:43,3,3,3
2014-05-05 21:34:44,2,3,3
2014-05-05 21:34:45,2,1,3
2014-05-05 21:34:46,4,3,3
2014-05-05 21:34:47,4,3,0
2014-05-05 21:34:48,4,3,0
2014-05-05 21:34:49,4,3,0
2014-05-05 21:34:50,3,2,0
2014-05-05 21:34:51,4,2,2
2014-05-05 21:34:52,2,2,2
2014-05-05 21:34:53,2,2,2
2014-05-05 21:34:54,2,2,2
2014-05-05 21:34:55,2,3,2
2014-05-05 21:34:56,2,3,2
2014-05-05 21:34:57,3,3,2
2014-05-05 21:34:58,3,3,2
2014-05-05 21:34:59,2,2,2
2014-05-05 21:35:00,3,2,2
2014-05-05 21:35:01,3,2,2
2014-05-05 21:35:02,4,3,4
2014-05-05 21:35:03,2,1,4
2014-05-05 21:35:04,3,1,3
2014-05-05 21:35:05,3,1,3
2014-05-05 21:35:06,3,1,1
2014-05-05 21:35:07,4,1,3
2014-05-05 21:35:08,3,3,3
2014-05-05 21:35:09,3,4,3
2014-05-05 21:35:10,3,7,3
2014-05-05 21:35:11,3,4,2
2014-05-05 21:35:12,1,8,2
2014-05-05 21:35:13,1,2,3
2014-05-05 21:35:14,1,2,3
2014-05-05 21:35:15,3,2,4
2014-05-05 21:35:16,3,2,4
2014-05-05 21:35:17,3,2,4
2014-05-05 21:35:18,3,2,2
2014-05-05 21:35:19,2,2,2
2014-05-05 21:35:20,2,2,2
2014-05-05 21:35:21,2,3,2
2014-05-05 21:35:22,2,3,2
2014-05-05 21:35:23,2,3,2
