time,christina,charles
2014-07-11 17:55:54,0,0
2014-07-11 17:55:55,2,0
2014-07-11 17:55:56,2,2
2014-07-11 17:55:57,2,2
2014-07-11 17:55:58,2,2
2014-07-11 17:55:59,4,2
2014-07-11 17:56:00,4,2
2014-07-11 17:56:01,4,3
2014-07-11 17:56:02,4,4
2014-07-11 17:56:03,4,4
2014-07-11 17:56:04,4,4
2014-07-11 17:56:05,2,4
2014-07-11 17:56:06,2,4
2014-07-11 17:56:07,2,2
2014-07-11 17:56:08,3,2
2014-07-11 17:56:09,3,2
2014-07-11 17:56:10,4,1
2014-07-11 17:56:11,7,5
2014-07-11 17:56:12,7,3
2014-07-11 17:56:13,7,5
2014-07-11 17:56:14,7,5
2014-07-11 17:56:15,7,5
2014-07-11 17:56:16,7,5
2014-07-11 17:56:17,7,5
2014-07-11 17:56:18,7,5
2014-07-11 17:56:19,7,5
2014-07-11 17:56:20,7,5
2014-07-11 17:56:21,4,5
2014-07-11 17:56:22,4,3
2014-07-11 17:56:23,4,1
2014-07-11 17:56:24,4,1
2014-07-11 17:56:25,4,1
2014-07-11 17:56:26,2,1
2014-07-11 17:56:27,2,1
2014-07-11 17:56:28,3,1
2014-07-11 17:56:29,2,2
2014-07-11 17:56:30,2,1
2014-07-11 17:56:31,2,2
2014-07-11 17:56:32,2,2
2014-07-11 17:56:33,2,2
2014-07-11 17:56:34,2,2
2014-07-11 17:56:35,1,2
2014-07-11 17:56:36,1,2
2014-07-11 17:56:37,3,2
2014-07-11 17:56:38,3,2
2014-07-11 17:56:39,4,2
2014-07-11 17:56:40,4,2
2014-07-11 17:56:41,3,2
2014-07-11 17:56:42,3,2
2014-07-11 17:56:43,3,2
2014-07-11 17:56:44,2,2
2014-07-11 17:56:45,2,4
2014-07-11 17:56:46,1,4
2014-07-11 17:56:47,1,4
2014-07-11 17:56:48,1,4
2014-07-11 17:56:49,1,7
2014-07-11 17:56:50,1,7
2014-07-11 17:56:51,2,7
2014-07-11 17:56:52,2,7
2014-07-11 17:56:53,2,7
2014-07-11 17:56:54,2,7
2014-07-11 17:56:55,2,7
2014-07-11 17:56:56,1,7
2014-07-11 17:56:57,1,7
2014-07-11 17:56:58,1,7
2014-07-11 17:56:59,1,7
2014-07-11 17:57:00,3,7
2014-07-11 17:57:01,3,7
2014-07-11 17:57:02,4,7
2014-07-11 17:57:03,4,7
2014-07-11 17:57:04,4,7
