time,jonathan,christina,yvonne
2014-07-19 14:40:09,0,0,0
2014-07-19 14:40:10,2,2,0
2014-07-19 14:40:11,2,2,0
2014-07-19 14:40:12,2,2,0
2014-07-19 14:40:13,2,2,0
2014-07-19 14:40:14,2,2,0
2014-07-19 14:40:15,2,2,0
2014-07-19 14:40:16,2,2,0
2014-07-19 14:40:17,2,2,0
2014-07-19 14:40:18,2,2,0
2014-07-19 14:40:19,2,2,0
2014-07-19 14:40:20,2,0,0
2014-07-19 14:40:21,2,0,0
2014-07-19 14:40:22,2,0,0
2014-07-19 14:40:23,2,2,0
2014-07-19 14:40:24,2,2,0
2014-07-19 14:40:25,2,2,0
2014-07-19 14:40:26,2,2,0
2014-07-19 14:40:27,2,2,0
2014-07-19 14:40:28,2,2,0
2014-07-19 14:40:29,2,2,0
2014-07-19 14:40:30,2,2,6
2014-07-19 14:40:31,2,2,2
2014-07-19 14:40:32,2,2,2
2014-07-19 14:40:33,2,2,2
2014-07-19 14:40:34,2,2,2
2014-07-19 14:40:35,2,2,2
2014-07-19 14:40:36,2,2,2
2014-07-19 14:40:37,2,2,2
2014-07-19 14:40:38,2,2,2
2014-07-19 14:40:39,2,2,2
2014-07-19 14:40:40,2,2,2
2014-07-19 14:40:41,2,2,2
2014-07-19 14:40:42,2,2,2
2014-07-19 14:40:43,2,2,2
2014-07-19 14:40:44,2,2,2
2014-07-19 14:40:45,2,2,2
2014-07-19 14:40:46,2,2,2
2014-07-19 14:40:47,2,2,2
2014-07-19 14:40:48,2,2,2
2014-07-19 14:40:49,2,2,2
2014-07-19 14:40:50,2,2,2
2014-07-19 14:40:51,2,2,2
2014-07-19 14:40:52,2,2,2
2014-07-19 14:40:53,2,2,2
2014-07-19 14:40:54,2,2,2
2014-07-19 14:40:55,3,2,2
2014-07-19 14:40:56,2,2,2
2014-07-19 14:40:57,2,2,2
2014-07-19 14:40:58,2,2,2
2014-07-19 14:40:59,2,2,2
2014-07-19 14:41:00,2,2,2
2014-07-19 14:41:01,2,2,2
2014-07-19 14:41:02,2,2,2
2014-07-19 14:41:03,1,2,2
2014-07-19 14:41:04,1,2,2
2014-07-19 14:41:05,1,2,2
2014-07-19 14:41:06,1,2,2
2014-07-19 14:41:07,2,2,2
2014-07-19 14:41:08,2,2,2
2014-07-19 14:41:09,1,2,2
2014-07-19 14:41:10,1,2,2
2014-07-19 14:41:11,1,2,2
2014-07-19 14:41:12,1,2,2
2014-07-19 14:41:13,1,2,2
2014-07-19 14:41:14,1,0,2
2014-07-19 14:41:15,1,0,2
2014-07-19 14:41:16,2,0,2
2014-07-19 14:41:17,2,0,2
2014-07-19 14:41:18,1,0,2
2014-07-19 14:41:19,1,0,2
2014-07-19 14:41:20,1,0,2
2014-07-19 14:41:21,1,0,2
2014-07-19 14:41:22,1,0,2
2014-07-19 14:41:23,1,0,2
2014-07-19 14:41:24,1,0,2
2014-07-19 14:41:25,1,0,2
2014-07-19 14:41:26,1,0,2
2014-07-19 14:41:27,1,0,2
2014-07-19 14:41:28,1,0,2
2014-07-19 14:41:29,1,0,2
2014-07-19 14:41:30,1,0,2
2014-07-19 14:41:31,1,0,2
2014-07-19 14:41:32,1,0,2
2014-07-19 14:41:33,1,0,3
2014-07-19 14:41:34,1,4,1
2014-07-19 14:41:35,1,4,1
2014-07-19 14:41:36,1,7,1
2014-07-19 14:41:37,1,7,1
2014-07-19 14:41:38,1,6,1
2014-07-19 14:41:39,1,6,1
2014-07-19 14:41:40,1,6,1
2014-07-19 14:41:41,1,6,1
2014-07-19 14:41:42,2,6,1
2014-07-19 14:41:43,2,6,1
2014-07-19 14:41:44,2,6,1
2014-07-19 14:41:45,2,6,1
2014-07-19 14:41:46,0,6,1
2014-07-19 14:41:47,0,6,1
2014-07-19 14:41:48,0,6,1
2014-07-19 14:41:49,0,7,1
2014-07-19 14:41:50,0,7,1
2014-07-19 14:41:51,0,7,1
2014-07-19 14:41:52,0,7,1
2014-07-19 14:41:53,0,7,1
2014-07-19 14:41:54,2,7,1
2014-07-19 14:41:55,2,7,1
2014-07-19 14:41:56,2,7,1
2014-07-19 14:41:57,1,4,1
2014-07-19 14:41:58,1,4,1
2014-07-19 14:41:59,1,4,1
2014-07-19 14:42:00,1,0,1
2014-07-19 14:42:01,1,2,1
2014-07-19 14:42:02,1,2,1
2014-07-19 14:42:03,1,2,1
2014-07-19 14:42:04,1,2,1
2014-07-19 14:42:05,2,2,1
2014-07-19 14:42:06,2,2,1
2014-07-19 14:42:07,2,2,1
2014-07-19 14:42:08,2,1,1
2014-07-19 14:42:09,2,1,1
2014-07-19 14:42:10,2,1,1
2014-07-19 14:42:11,1,1,1
2014-07-19 14:42:12,2,1,1
2014-07-19 14:42:13,2,1,1
2014-07-19 14:42:14,2,1,1
2014-07-19 14:42:15,2,1,1
2014-07-19 14:42:16,2,1,1
2014-07-19 14:42:17,2,1,1
2014-07-19 14:42:18,0,1,1
2014-07-19 14:42:19,0,1,1
2014-07-19 14:42:20,0,1,1
2014-07-19 14:42:21,0,1,1
2014-07-19 14:42:22,0,1,1
2014-07-19 14:42:23,0,1,1
2014-07-19 14:42:24,0,2,1
2014-07-19 14:42:25,0,2,1
2014-07-19 14:42:26,0,2,1
2014-07-19 14:42:27,0,0,1
2014-07-19 14:42:28,0,2,1
2014-07-19 14:42:29,2,2,1
2014-07-19 14:42:30,2,2,1
2014-07-19 14:42:31,2,2,1
2014-07-19 14:42:32,2,2,1
2014-07-19 14:42:33,2,2,1
2014-07-19 14:42:34,2,2,1
2014-07-19 14:42:35,2,2,1
2014-07-19 14:42:36,2,2,1
2014-07-19 14:42:37,2,2,1
2014-07-19 14:42:38,1,2,1
2014-07-19 14:42:39,3,2,1
2014-07-19 14:42:40,3,4,1
2014-07-19 14:42:41,1,4,1
2014-07-19 14:42:42,1,4,1
2014-07-19 14:42:43,2,7,1
2014-07-19 14:42:44,1,6,1
2014-07-19 14:42:45,1,6,1
2014-07-19 14:42:46,1,6,1
2014-07-19 14:42:47,1,8,1
2014-07-19 14:42:48,1,6,1
2014-07-19 14:42:49,2,6,1
2014-07-19 14:42:50,2,6,1
2014-07-19 14:42:51,2,8,1
2014-07-19 14:42:52,2,6,1
2014-07-19 14:42:53,2,6,1
2014-07-19 14:42:54,2,6,1
2014-07-19 14:42:55,2,6,1
