time,christina,yvonne,jonathan
2014-07-19 15:05:10,0,0,0
2014-07-19 15:05:11,2,0,0
2014-07-19 15:05:12,2,0,0
2014-07-19 15:05:13,2,0,0
2014-07-19 15:05:14,2,0,0
2014-07-19 15:05:15,2,0,0
2014-07-19 15:05:16,2,2,0
2014-07-19 15:05:17,2,2,0
2014-07-19 15:05:18,2,2,0
2014-07-19 15:05:19,2,2,0
2014-07-19 15:05:20,2,2,3
2014-07-19 15:05:21,2,2,3
2014-07-19 15:05:22,2,2,3
2014-07-19 15:05:23,2,5,3
2014-07-19 15:05:24,2,5,1
2014-07-19 15:05:25,2,5,1
2014-07-19 15:05:26,2,2,1
2014-07-19 15:05:27,2,2,1
2014-07-19 15:05:28,2,2,1
2014-07-19 15:05:29,2,2,3
2014-07-19 15:05:30,2,0,3
2014-07-19 15:05:31,2,0,1
2014-07-19 15:05:32,2,0,1
2014-07-19 15:05:33,2,0,1
2014-07-19 15:05:34,2,2,1
2014-07-19 15:05:35,2,3,1
2014-07-19 15:05:36,2,3,1
2014-07-19 15:05:37,2,3,3
2014-07-19 15:05:38,2,3,1
2014-07-19 15:05:39,2,8,1
2014-07-19 15:05:40,2,2,1
2014-07-19 15:05:41,2,2,1
2014-07-19 15:05:42,2,2,1
2014-07-19 15:05:43,2,2,1
2014-07-19 15:05:44,2,3,1
2014-07-19 15:05:45,2,8,1
2014-07-19 15:05:46,2,8,1
2014-07-19 15:05:47,2,8,3
2014-07-19 15:05:48,2,3,0
2014-07-19 15:05:49,2,2,3
2014-07-19 15:05:50,2,2,3
2014-07-19 15:05:51,2,2,3
2014-07-19 15:05:52,2,3,3
2014-07-19 15:05:53,2,3,3
2014-07-19 15:05:54,2,3,4
2014-07-19 15:05:55,2,3,4
2014-07-19 15:05:56,2,3,4
2014-07-19 15:05:57,2,4,4
2014-07-19 15:05:58,2,7,4
2014-07-19 15:05:59,2,2,0
2014-07-19 15:06:00,8,5,0
2014-07-19 15:06:01,8,2,0
2014-07-19 15:06:02,8,2,2
2014-07-19 15:06:03,8,2,7
2014-07-19 15:06:04,7,8,7
2014-07-19 15:06:05,8,8,7
2014-07-19 15:06:06,8,8,7
2014-07-19 15:06:07,8,8,7
2014-07-19 15:06:08,8,8,7
2014-07-19 15:06:09,4,7,7
2014-07-19 15:06:10,8,7,7
2014-07-19 15:06:11,7,2,5
2014-07-19 15:06:12,7,2,7
2014-07-19 15:06:13,7,3,7
2014-07-19 15:06:14,7,2,7
2014-07-19 15:06:15,7,2,7
2014-07-19 15:06:16,7,1,7
2014-07-19 15:06:17,7,3,7
2014-07-19 15:06:18,7,3,7
2014-07-19 15:06:19,7,3,7
2014-07-19 15:06:20,7,3,8
2014-07-19 15:06:21,7,3,8
2014-07-19 15:06:22,7,3,8
2014-07-19 15:06:23,8,3,8
2014-07-19 15:06:24,8,3,8
2014-07-19 15:06:25,8,3,8
2014-07-19 15:06:26,8,3,8
2014-07-19 15:06:27,8,3,8
2014-07-19 15:06:28,3,3,3
2014-07-19 15:06:29,3,3,3
2014-07-19 15:06:30,3,3,4
2014-07-19 15:06:31,4,3,0
2014-07-19 15:06:32,2,3,0
2014-07-19 15:06:33,2,3,0
2014-07-19 15:06:34,2,1,0
2014-07-19 15:06:35,1,3,0
2014-07-19 15:06:36,3,3,0
2014-07-19 15:06:37,3,1,0
2014-07-19 15:06:38,3,1,2
2014-07-19 15:06:39,3,3,2
2014-07-19 15:06:40,3,3,2
2014-07-19 15:06:41,1,3,2
2014-07-19 15:06:42,1,3,2
2014-07-19 15:06:43,2,3,2
2014-07-19 15:06:44,3,3,2
2014-07-19 15:06:45,3,3,2
2014-07-19 15:06:46,3,1,2
2014-07-19 15:06:47,1,3,2
2014-07-19 15:06:48,3,1,2
2014-07-19 15:06:49,1,3,2
2014-07-19 15:06:50,3,3,2
2014-07-19 15:06:51,3,3,1
2014-07-19 15:06:52,3,3,1
2014-07-19 15:06:53,3,3,1
2014-07-19 15:06:54,1,3,3
2014-07-19 15:06:55,1,3,3
2014-07-19 15:06:56,3,3,3
2014-07-19 15:06:57,3,3,3
2014-07-19 15:06:58,3,3,1
2014-07-19 15:06:59,3,3,3
2014-07-19 15:07:00,4,3,3
2014-07-19 15:07:01,3,3,3
2014-07-19 15:07:02,3,3,3
2014-07-19 15:07:03,4,3,3
2014-07-19 15:07:04,3,3,3
2014-07-19 15:07:05,3,3,3
2014-07-19 15:07:06,3,3,2
2014-07-19 15:07:07,4,3,2
2014-07-19 15:07:08,3,3,3
2014-07-19 15:07:09,4,3,2
2014-07-19 15:07:10,4,3,3
2014-07-19 15:07:11,4,3,1
2014-07-19 15:07:12,4,3,1
2014-07-19 15:07:13,4,3,3
2014-07-19 15:07:14,4,3,3
2014-07-19 15:07:15,4,3,3
2014-07-19 15:07:16,3,3,3
2014-07-19 15:07:17,3,3,3
2014-07-19 15:07:18,3,3,1
2014-07-19 15:07:19,3,3,2
2014-07-19 15:07:20,3,3,3
2014-07-19 15:07:21,3,3,3
2014-07-19 15:07:22,3,3,3
2014-07-19 15:07:23,3,3,3
2014-07-19 15:07:24,3,3,3
2014-07-19 15:07:25,3,3,3
2014-07-19 15:07:26,3,3,3
2014-07-19 15:07:27,3,3,3
2014-07-19 15:07:28,3,3,3
2014-07-19 15:07:29,3,3,3
2014-07-19 15:07:30,3,7,1
2014-07-19 15:07:31,3,4,8
2014-07-19 15:07:32,3,7,2
2014-07-19 15:07:33,3,4,0
2014-07-19 15:07:34,7,7,0
2014-07-19 15:07:35,3,4,2
2014-07-19 15:07:36,4,7,2
2014-07-19 15:07:37,3,7,2
2014-07-19 15:07:38,7,7,2
2014-07-19 15:07:39,3,4,2
2014-07-19 15:07:40,7,7,8
2014-07-19 15:07:41,7,4,7
2014-07-19 15:07:42,7,7,8
2014-07-19 15:07:43,4,4,8
2014-07-19 15:07:44,4,4,7
2014-07-19 15:07:45,4,4,7
2014-07-19 15:07:46,6,4,7
2014-07-19 15:07:47,7,4,7
2014-07-19 15:07:48,7,7,4
2014-07-19 15:07:49,7,7,7
2014-07-19 15:07:50,7,7,7
2014-07-19 15:07:51,7,7,7
2014-07-19 15:07:52,7,7,7
2014-07-19 15:07:53,7,7,7
2014-07-19 15:07:54,7,5,2
2014-07-19 15:07:55,5,5,2
2014-07-19 15:07:56,2,5,2
2014-07-19 15:07:57,2,5,8
2014-07-19 15:07:58,2,5,8
2014-07-19 15:07:59,2,5,8
2014-07-19 15:08:00,2,5,8
2014-07-19 15:08:01,0,5,2
2014-07-19 15:08:02,0,7,2
2014-07-19 15:08:03,0,7,2
2014-07-19 15:08:04,2,7,2
2014-07-19 15:08:05,5,7,2
2014-07-19 15:08:06,5,7,2
2014-07-19 15:08:07,5,7,2
2014-07-19 15:08:08,5,7,2
2014-07-19 15:08:09,5,7,2
2014-07-19 15:08:10,2,7,2
2014-07-19 15:08:11,5,7,2
2014-07-19 15:08:12,5,7,2
2014-07-19 15:08:13,6,7,2
2014-07-19 15:08:14,7,7,2
2014-07-19 15:08:15,6,7,2
2014-07-19 15:08:16,6,5,2
2014-07-19 15:08:17,6,5,2
2014-07-19 15:08:18,6,5,2
2014-07-19 15:08:19,6,5,2
2014-07-19 15:08:20,6,5,2
2014-07-19 15:08:21,7,2,1
2014-07-19 15:08:22,7,2,1
2014-07-19 15:08:23,7,0,2
2014-07-19 15:08:24,7,0,2
2014-07-19 15:08:25,2,2,2
2014-07-19 15:08:26,2,2,2
2014-07-19 15:08:27,5,2,2
2014-07-19 15:08:28,7,2,2
2014-07-19 15:08:29,7,2,2
2014-07-19 15:08:30,7,2,2
2014-07-19 15:08:31,6,5,2
2014-07-19 15:08:32,6,5,8
2014-07-19 15:08:33,6,5,7
2014-07-19 15:08:34,7,5,7
2014-07-19 15:08:35,7,5,7
2014-07-19 15:08:36,6,5,7
2014-07-19 15:08:37,6,5,7
2014-07-19 15:08:38,6,5,7
2014-07-19 15:08:39,6,5,7
2014-07-19 15:08:40,7,5,7
2014-07-19 15:08:41,7,2,7
2014-07-19 15:08:42,7,5,7
2014-07-19 15:08:43,5,5,7
2014-07-19 15:08:44,2,5,7
2014-07-19 15:08:45,2,5,7
2014-07-19 15:08:46,2,0,7
2014-07-19 15:08:47,5,0,7
2014-07-19 15:08:48,5,0,5
2014-07-19 15:08:49,5,0,5
2014-07-19 15:08:50,5,0,5
2014-07-19 15:08:51,5,0,5
2014-07-19 15:08:52,7,0,2
2014-07-19 15:08:53,7,0,2
2014-07-19 15:08:54,7,0,5
2014-07-19 15:08:55,7,0,7
2014-07-19 15:08:56,7,0,7
2014-07-19 15:08:57,7,0,6
2014-07-19 15:08:58,5,0,6
2014-07-19 15:08:59,5,0,6
2014-07-19 15:09:00,5,2,6
2014-07-19 15:09:01,7,2,6
2014-07-19 15:09:02,7,2,7
2014-07-19 15:09:03,7,2,7
2014-07-19 15:09:04,7,2,7
2014-07-19 15:09:05,7,2,7
2014-07-19 15:09:06,8,2,4
2014-07-19 15:09:07,8,0,4
2014-07-19 15:09:08,8,2,2
2014-07-19 15:09:09,7,2,2
2014-07-19 15:09:10,8,2,2
2014-07-19 15:09:11,8,2,2
2014-07-19 15:09:12,7,2,2
2014-07-19 15:09:13,7,2,2
2014-07-19 15:09:14,7,2,2
2014-07-19 15:09:15,8,0,2
2014-07-19 15:09:16,7,2,2
2014-07-19 15:09:17,7,2,2
2014-07-19 15:09:18,7,2,2
2014-07-19 15:09:19,7,5,2
2014-07-19 15:09:20,7,5,2
2014-07-19 15:09:21,8,5,2
2014-07-19 15:09:22,8,5,2
2014-07-19 15:09:23,8,5,2
2014-07-19 15:09:24,7,5,2
2014-07-19 15:09:25,5,5,2
2014-07-19 15:09:26,5,8,2
2014-07-19 15:09:27,5,8,2
2014-07-19 15:09:28,5,8,2
2014-07-19 15:09:29,2,7,2
2014-07-19 15:09:30,2,7,2
2014-07-19 15:09:31,5,5,1
2014-07-19 15:09:32,5,7,5
2014-07-19 15:09:33,5,5,5
2014-07-19 15:09:34,5,5,5
2014-07-19 15:09:35,7,5,5
2014-07-19 15:09:36,7,7,5
2014-07-19 15:09:37,7,7,5
2014-07-19 15:09:38,7,8,2
2014-07-19 15:09:39,6,7,2
2014-07-19 15:09:40,6,7,5
2014-07-19 15:09:41,6,7,5
2014-07-19 15:09:42,6,7,5
2014-07-19 15:09:43,7,7,5
2014-07-19 15:09:44,7,7,5
2014-07-19 15:09:45,7,7,8
2014-07-19 15:09:46,7,7,7
2014-07-19 15:09:47,6,7,7
2014-07-19 15:09:48,6,7,7
2014-07-19 15:09:49,7,7,7
2014-07-19 15:09:50,7,7,7
2014-07-19 15:09:51,4,7,7
2014-07-19 15:09:52,4,7,7
2014-07-19 15:09:53,4,7,8
2014-07-19 15:09:54,4,7,7
2014-07-19 15:09:55,4,8,8
2014-07-19 15:09:56,4,7,8
2014-07-19 15:09:57,4,7,8
2014-07-19 15:09:58,4,7,7
2014-07-19 15:09:59,4,7,8
2014-07-19 15:10:00,4,7,8
2014-07-19 15:10:01,4,7,8
2014-07-19 15:10:02,4,8,8
2014-07-19 15:10:03,4,8,8
2014-07-19 15:10:04,4,8,8
