time,yvonne,christina,jonathan
2014-07-19 15:18:48,0,0,0
2014-07-19 15:18:49,2,0,0
2014-07-19 15:18:50,2,0,0
2014-07-19 15:18:51,2,2,2
2014-07-19 15:18:52,2,2,2
2014-07-19 15:18:53,2,2,2
2014-07-19 15:18:54,2,2,2
2014-07-19 15:18:55,2,2,2
2014-07-19 15:18:56,2,2,0
2014-07-19 15:18:57,2,2,2
2014-07-19 15:18:58,2,3,2
2014-07-19 15:18:59,2,3,2
2014-07-19 15:19:00,2,3,2
2014-07-19 15:19:01,2,1,2
2014-07-19 15:19:02,2,1,2
2014-07-19 15:19:03,2,1,2
2014-07-19 15:19:04,2,1,2
2014-07-19 15:19:05,3,1,2
2014-07-19 15:19:06,3,3,2
2014-07-19 15:19:07,3,3,2
2014-07-19 15:19:08,3,2,2
2014-07-19 15:19:09,3,2,2
2014-07-19 15:19:10,3,2,2
2014-07-19 15:19:11,3,2,2
2014-07-19 15:19:12,3,2,2
2014-07-19 15:19:13,3,2,2
2014-07-19 15:19:14,3,2,2
2014-07-19 15:19:15,2,1,2
2014-07-19 15:19:16,2,1,2
2014-07-19 15:19:17,2,1,2
2014-07-19 15:19:18,3,1,2
2014-07-19 15:19:19,3,1,2
2014-07-19 15:19:20,3,1,2
2014-07-19 15:19:21,3,1,2
2014-07-19 15:19:22,2,1,2
2014-07-19 15:19:23,2,2,2
2014-07-19 15:19:24,2,8,2
2014-07-19 15:19:25,2,7,2
2014-07-19 15:19:26,2,7,2
2014-07-19 15:19:27,2,7,2
2014-07-19 15:19:28,2,7,2
2014-07-19 15:19:29,2,6,2
2014-07-19 15:19:30,2,6,2
2014-07-19 15:19:31,2,6,2
2014-07-19 15:19:32,2,7,2
2014-07-19 15:19:33,2,7,2
2014-07-19 15:19:34,3,4,2
2014-07-19 15:19:35,3,4,2
2014-07-19 15:19:36,3,4,2
2014-07-19 15:19:37,2,0,2
2014-07-19 15:19:38,2,4,2
2014-07-19 15:19:39,2,4,2
2014-07-19 15:19:40,2,4,2
2014-07-19 15:19:41,2,4,2
2014-07-19 15:19:42,2,4,2
2014-07-19 15:19:43,2,2,2
2014-07-19 15:19:44,0,2,2
2014-07-19 15:19:45,0,2,2
2014-07-19 15:19:46,0,2,2
2014-07-19 15:19:47,0,2,2
2014-07-19 15:19:48,0,2,2
2014-07-19 15:19:49,0,2,0
2014-07-19 15:19:50,0,2,0
2014-07-19 15:19:51,0,2,0
2014-07-19 15:19:52,0,2,0
2014-07-19 15:19:53,0,2,0
2014-07-19 15:19:54,0,2,0
2014-07-19 15:19:55,0,2,0
2014-07-19 15:19:56,2,2,0
2014-07-19 15:19:57,2,2,0
2014-07-19 15:19:58,2,2,0
2014-07-19 15:19:59,2,2,0
2014-07-19 15:20:00,2,2,0
2014-07-19 15:20:01,2,2,0
2014-07-19 15:20:02,2,2,0
2014-07-19 15:20:03,6,2,2
2014-07-19 15:20:04,2,0,2
2014-07-19 15:20:05,2,2,2
2014-07-19 15:20:06,2,2,2
2014-07-19 15:20:07,6,2,2
2014-07-19 15:20:08,6,2,2
2014-07-19 15:20:09,5,2,2
2014-07-19 15:20:10,6,3,2
2014-07-19 15:20:11,5,1,2
2014-07-19 15:20:12,0,1,2
2014-07-19 15:20:13,0,1,2
2014-07-19 15:20:14,0,1,2
2014-07-19 15:20:15,0,3,2
