time,jonathan,yvonne,christina
2014-07-19 15:50:19,0,0,0
2014-07-19 15:50:20,2,0,0
2014-07-19 15:50:21,2,0,0
2014-07-19 15:50:22,2,0,0
2014-07-19 15:50:23,2,2,0
2014-07-19 15:50:24,2,5,0
2014-07-19 15:50:25,0,5,2
2014-07-19 15:50:26,0,5,2
2014-07-19 15:50:27,0,5,2
2014-07-19 15:50:28,0,5,2
2014-07-19 15:50:29,0,2,2
2014-07-19 15:50:30,2,2,0
2014-07-19 15:50:31,2,2,0
2014-07-19 15:50:32,2,2,5
2014-07-19 15:50:33,2,2,5
2014-07-19 15:50:34,2,2,5
2014-07-19 15:50:35,2,2,5
2014-07-19 15:50:36,0,2,5
2014-07-19 15:50:37,2,2,0
2014-07-19 15:50:38,2,2,0
2014-07-19 15:50:39,2,2,0
2014-07-19 15:50:40,2,2,2
2014-07-19 15:50:41,2,0,5
2014-07-19 15:50:42,2,0,8
2014-07-19 15:50:43,2,2,8
2014-07-19 15:50:44,2,2,8
2014-07-19 15:50:45,2,2,8
2014-07-19 15:50:46,2,2,7
2014-07-19 15:50:47,2,2,0
2014-07-19 15:50:48,2,2,5
2014-07-19 15:50:49,2,2,5
2014-07-19 15:50:50,2,2,8
2014-07-19 15:50:51,2,2,8
2014-07-19 15:50:52,2,2,8
2014-07-19 15:50:53,3,2,8
2014-07-19 15:50:54,2,2,8
2014-07-19 15:50:55,2,2,7
2014-07-19 15:50:56,2,0,2
2014-07-19 15:50:57,2,0,2
2014-07-19 15:50:58,2,2,2
2014-07-19 15:50:59,2,2,5
2014-07-19 15:51:00,2,2,5
2014-07-19 15:51:01,2,2,5
2014-07-19 15:51:02,2,2,5
2014-07-19 15:51:03,2,2,5
2014-07-19 15:51:04,2,2,5
2014-07-19 15:51:05,2,2,5
2014-07-19 15:51:06,2,2,5
2014-07-19 15:51:07,0,0,5
2014-07-19 15:51:08,0,0,5
2014-07-19 15:51:09,2,0,5
2014-07-19 15:51:10,2,2,5
2014-07-19 15:51:11,2,2,5
2014-07-19 15:51:12,2,2,7
2014-07-19 15:51:13,2,2,8
2014-07-19 15:51:14,2,2,8
2014-07-19 15:51:15,2,2,8
2014-07-19 15:51:16,0,0,8
2014-07-19 15:51:17,0,0,8
2014-07-19 15:51:18,0,0,7
2014-07-19 15:51:19,0,0,7
2014-07-19 15:51:20,0,2,4
2014-07-19 15:51:21,2,2,4
2014-07-19 15:51:22,2,2,4
2014-07-19 15:51:23,2,2,4
2014-07-19 15:51:24,2,2,4
2014-07-19 15:51:25,2,2,2
2014-07-19 15:51:26,2,2,2
2014-07-19 15:51:27,2,2,2
2014-07-19 15:51:28,2,2,2
2014-07-19 15:51:29,2,2,2
2014-07-19 15:51:30,2,2,5
2014-07-19 15:51:31,2,2,7
2014-07-19 15:51:32,2,2,8
2014-07-19 15:51:33,2,2,8
2014-07-19 15:51:34,2,2,8
2014-07-19 15:51:35,2,2,8
2014-07-19 15:51:36,2,2,8
2014-07-19 15:51:37,2,5,7
2014-07-19 15:51:38,2,2,6
2014-07-19 15:51:39,2,2,0
2014-07-19 15:51:40,0,2,0
2014-07-19 15:51:41,0,2,5
2014-07-19 15:51:42,0,2,5
2014-07-19 15:51:43,0,2,5
2014-07-19 15:51:44,2,2,5
2014-07-19 15:51:45,2,2,5
2014-07-19 15:51:46,5,2,5
2014-07-19 15:51:47,5,2,5
2014-07-19 15:51:48,5,2,5
2014-07-19 15:51:49,5,8,5
2014-07-19 15:51:50,5,2,5
2014-07-19 15:51:51,5,2,7
2014-07-19 15:51:52,5,2,7
2014-07-19 15:51:53,5,5,4
2014-07-19 15:51:54,5,2,4
2014-07-19 15:51:55,5,5,4
2014-07-19 15:51:56,2,5,4
2014-07-19 15:51:57,2,5,4
2014-07-19 15:51:58,2,5,4
2014-07-19 15:51:59,2,2,4
2014-07-19 15:52:00,2,2,2
2014-07-19 15:52:01,2,2,2
2014-07-19 15:52:02,2,2,2
2014-07-19 15:52:03,7,2,2
2014-07-19 15:52:04,2,2,2
2014-07-19 15:52:05,2,5,2
2014-07-19 15:52:06,2,5,2
2014-07-19 15:52:07,2,5,2
2014-07-19 15:52:08,2,2,2
2014-07-19 15:52:09,2,5,5
2014-07-19 15:52:10,2,2,5
2014-07-19 15:52:11,2,4,5
2014-07-19 15:52:12,4,3,8
2014-07-19 15:52:13,7,7,8
2014-07-19 15:52:14,7,7,8
2014-07-19 15:52:15,7,2,8
2014-07-19 15:52:16,7,2,8
2014-07-19 15:52:17,7,2,8
2014-07-19 15:52:18,7,2,8
2014-07-19 15:52:19,7,3,8
2014-07-19 15:52:20,7,3,8
2014-07-19 15:52:21,7,3,7
2014-07-19 15:52:22,5,5,7
2014-07-19 15:52:23,5,2,7
2014-07-19 15:52:24,5,5,5
2014-07-19 15:52:25,8,8,5
2014-07-19 15:52:26,8,7,7
2014-07-19 15:52:27,3,5,4
2014-07-19 15:52:28,3,5,7
2014-07-19 15:52:29,3,5,7
2014-07-19 15:52:30,7,5,7
2014-07-19 15:52:31,7,5,6
2014-07-19 15:52:32,2,5,6
2014-07-19 15:52:33,2,5,7
2014-07-19 15:52:34,2,5,7
2014-07-19 15:52:35,2,5,4
2014-07-19 15:52:36,2,5,5
2014-07-19 15:52:37,2,5,7
2014-07-19 15:52:38,2,5,7
2014-07-19 15:52:39,2,5,6
2014-07-19 15:52:40,0,5,6
2014-07-19 15:52:41,2,5,6
2014-07-19 15:52:42,2,5,6
2014-07-19 15:52:43,3,5,7
2014-07-19 15:52:44,3,5,5
2014-07-19 15:52:45,3,5,5
2014-07-19 15:52:46,3,5,5
2014-07-19 15:52:47,3,5,5
2014-07-19 15:52:48,2,5,0
2014-07-19 15:52:49,2,5,7
2014-07-19 15:52:50,2,3,6
2014-07-19 15:52:51,2,5,6
2014-07-19 15:52:52,2,8,8
2014-07-19 15:52:53,2,8,6
2014-07-19 15:52:54,2,8,6
2014-07-19 15:52:55,2,8,6
2014-07-19 15:52:56,3,8,6
2014-07-19 15:52:57,3,5,6
2014-07-19 15:52:58,2,7,6
2014-07-19 15:52:59,2,5,4
2014-07-19 15:53:00,3,5,4
2014-07-19 15:53:01,3,5,4
2014-07-19 15:53:02,2,8,2
2014-07-19 15:53:03,2,5,3
2014-07-19 15:53:04,2,8,3
2014-07-19 15:53:05,2,8,3
2014-07-19 15:53:06,2,8,3
2014-07-19 15:53:07,2,8,3
2014-07-19 15:53:08,3,8,3
2014-07-19 15:53:09,1,3,3
2014-07-19 15:53:10,1,7,3
2014-07-19 15:53:11,1,3,3
2014-07-19 15:53:12,1,7,3
2014-07-19 15:53:13,1,5,3
2014-07-19 15:53:14,1,5,1
2014-07-19 15:53:15,1,5,2
2014-07-19 15:53:16,1,5,1
2014-07-19 15:53:17,1,5,1
2014-07-19 15:53:18,1,5,1
2014-07-19 15:53:19,1,5,2
2014-07-19 15:53:20,1,5,2
2014-07-19 15:53:21,1,3,1
2014-07-19 15:53:22,1,5,1
2014-07-19 15:53:23,1,8,1
2014-07-19 15:53:24,1,8,1
2014-07-19 15:53:25,1,5,1
2014-07-19 15:53:26,1,5,2
2014-07-19 15:53:27,1,5,2
2014-07-19 15:53:28,1,5,3
2014-07-19 15:53:29,1,5,3
2014-07-19 15:53:30,1,5,3
2014-07-19 15:53:31,1,5,3
2014-07-19 15:53:32,1,5,1
2014-07-19 15:53:33,1,5,1
2014-07-19 15:53:34,1,5,1
2014-07-19 15:53:35,1,5,1
2014-07-19 15:53:36,1,5,1
2014-07-19 15:53:37,1,5,3
2014-07-19 15:53:38,1,5,5
2014-07-19 15:53:39,1,5,5
2014-07-19 15:53:40,3,5,5
2014-07-19 15:53:41,3,5,5
2014-07-19 15:53:42,2,2,5
2014-07-19 15:53:43,1,0,5
2014-07-19 15:53:44,3,0,5
2014-07-19 15:53:45,2,0,5
2014-07-19 15:53:46,1,0,5
2014-07-19 15:53:47,1,0,5
2014-07-19 15:53:48,3,0,5
2014-07-19 15:53:49,3,0,5
2014-07-19 15:53:50,3,0,5
2014-07-19 15:53:51,2,0,2
2014-07-19 15:53:52,0,0,0
2014-07-19 15:53:53,0,0,0
2014-07-19 15:53:54,0,2,0
2014-07-19 15:53:55,0,2,0
2014-07-19 15:53:56,0,2,0
2014-07-19 15:53:57,0,1,0
2014-07-19 15:53:58,2,1,0
2014-07-19 15:53:59,2,1,0
2014-07-19 15:54:00,2,1,0
2014-07-19 15:54:01,2,1,2
2014-07-19 15:54:02,2,1,8
2014-07-19 15:54:03,2,5,5
2014-07-19 15:54:04,2,2,7
2014-07-19 15:54:05,2,1,7
2014-07-19 15:54:06,2,8,7
2014-07-19 15:54:07,2,8,7
2014-07-19 15:54:08,2,1,7
2014-07-19 15:54:09,2,3,6
2014-07-19 15:54:10,2,1,6
2014-07-19 15:54:11,2,5,8
2014-07-19 15:54:12,2,5,6
2014-07-19 15:54:13,2,1,6
2014-07-19 15:54:14,2,2,6
2014-07-19 15:54:15,2,2,7
2014-07-19 15:54:16,2,2,7
2014-07-19 15:54:17,2,2,6
2014-07-19 15:54:18,2,5,6
2014-07-19 15:54:19,2,5,6
2014-07-19 15:54:20,2,5,6
2014-07-19 15:54:21,2,5,6
2014-07-19 15:54:22,2,5,7
2014-07-19 15:54:23,2,2,8
2014-07-19 15:54:24,2,2,8
2014-07-19 15:54:25,2,2,8
2014-07-19 15:54:26,2,2,2
2014-07-19 15:54:27,2,2,2
2014-07-19 15:54:28,2,2,2
2014-07-19 15:54:29,2,2,3
2014-07-19 15:54:30,2,2,3
2014-07-19 15:54:31,2,2,3
2014-07-19 15:54:32,2,2,3
2014-07-19 15:54:33,2,2,3
2014-07-19 15:54:34,2,2,8
2014-07-19 15:54:35,2,2,2
2014-07-19 15:54:36,0,2,2
2014-07-19 15:54:37,2,2,2
2014-07-19 15:54:38,2,2,2
2014-07-19 15:54:39,2,5,2
2014-07-19 15:54:40,2,5,2
2014-07-19 15:54:41,2,2,2
2014-07-19 15:54:42,2,2,2
2014-07-19 15:54:43,2,2,2
2014-07-19 15:54:44,2,2,2
2014-07-19 15:54:45,2,2,2
2014-07-19 15:54:46,2,2,2
2014-07-19 15:54:47,2,5,2
2014-07-19 15:54:48,2,5,2
2014-07-19 15:54:49,2,2,2
2014-07-19 15:54:50,2,2,2
2014-07-19 15:54:51,2,2,2
2014-07-19 15:54:52,2,2,2
2014-07-19 15:54:53,2,2,2
2014-07-19 15:54:54,2,5,2
2014-07-19 15:54:55,2,5,2
2014-07-19 15:54:56,2,5,2
2014-07-19 15:54:57,2,5,2
2014-07-19 15:54:58,1,5,2
2014-07-19 15:54:59,3,5,2
2014-07-19 15:55:00,2,5,2
2014-07-19 15:55:01,2,5,2
2014-07-19 15:55:02,2,5,2
2014-07-19 15:55:03,2,5,2
2014-07-19 15:55:04,2,5,2
2014-07-19 15:55:05,2,2,2
2014-07-19 15:55:06,2,5,2
2014-07-19 15:55:07,2,5,2
2014-07-19 15:55:08,0,5,2
2014-07-19 15:55:09,2,5,2
2014-07-19 15:55:10,2,5,2
2014-07-19 15:55:11,0,5,2
2014-07-19 15:55:12,0,5,2
2014-07-19 15:55:13,0,2,2
2014-07-19 15:55:14,0,2,2
2014-07-19 15:55:15,0,5,2
2014-07-19 15:55:16,0,0,0
2014-07-19 15:55:17,0,0,0
2014-07-19 15:55:18,0,0,0
