time,yvonne,jonathan,christina
2014-07-19 15:57:29,0,0,0
2014-07-19 15:57:30,2,0,0
2014-07-19 15:57:31,2,0,0
2014-07-19 15:57:32,2,0,0
2014-07-19 15:57:33,1,0,0
2014-07-19 15:57:34,1,0,0
2014-07-19 15:57:35,2,0,0
2014-07-19 15:57:36,3,0,0
2014-07-19 15:57:37,2,0,0
2014-07-19 15:57:38,2,0,0
2014-07-19 15:57:39,0,0,0
2014-07-19 15:57:40,0,0,0
2014-07-19 15:57:41,0,2,2
2014-07-19 15:57:42,0,2,2
2014-07-19 15:57:43,0,2,2
2014-07-19 15:57:44,0,2,2
2014-07-19 15:57:45,0,2,2
2014-07-19 15:57:46,0,2,0
2014-07-19 15:57:47,0,2,0
2014-07-19 15:57:48,0,2,0
2014-07-19 15:57:49,0,0,0
2014-07-19 15:57:50,0,0,2
2014-07-19 15:57:51,0,0,2
2014-07-19 15:57:52,0,0,2
2014-07-19 15:57:53,0,0,2
2014-07-19 15:57:54,0,0,2
2014-07-19 15:57:55,0,0,0
2014-07-19 15:57:56,0,0,0
2014-07-19 15:57:57,0,0,0
2014-07-19 15:57:58,0,0,0
2014-07-19 15:57:59,0,0,0
2014-07-19 15:58:00,0,2,0
2014-07-19 15:58:01,0,7,0
2014-07-19 15:58:02,0,5,2
2014-07-19 15:58:03,2,5,2
2014-07-19 15:58:04,2,5,2
2014-07-19 15:58:05,2,7,2
2014-07-19 15:58:06,2,7,2
2014-07-19 15:58:07,2,7,2
2014-07-19 15:58:08,2,7,2
2014-07-19 15:58:09,2,5,2
2014-07-19 15:58:10,6,5,2
2014-07-19 15:58:11,2,5,2
2014-07-19 15:58:12,2,5,2
2014-07-19 15:58:13,2,5,0
2014-07-19 15:58:14,2,2,2
2014-07-19 15:58:15,2,0,2
2014-07-19 15:58:16,2,0,2
2014-07-19 15:58:17,0,2,2
2014-07-19 15:58:18,0,2,2
2014-07-19 15:58:19,0,2,2
2014-07-19 15:58:20,0,2,0
2014-07-19 15:58:21,0,2,0
2014-07-19 15:58:22,0,2,0
2014-07-19 15:58:23,0,2,0
2014-07-19 15:58:24,0,2,2
2014-07-19 15:58:25,0,2,2
2014-07-19 15:58:26,0,2,2
2014-07-19 15:58:27,0,2,2
2014-07-19 15:58:28,0,0,3
2014-07-19 15:58:29,0,0,3
2014-07-19 15:58:30,0,0,3
2014-07-19 15:58:31,0,0,2
2014-07-19 15:58:32,0,0,2
2014-07-19 15:58:33,0,0,2
2014-07-19 15:58:34,0,0,0
2014-07-19 15:58:35,0,0,0
2014-07-19 15:58:36,0,2,0
2014-07-19 15:58:37,0,2,0
2014-07-19 15:58:38,0,2,0
2014-07-19 15:58:39,0,2,2
2014-07-19 15:58:40,0,2,2
2014-07-19 15:58:41,0,2,2
2014-07-19 15:58:42,0,2,2
2014-07-19 15:58:43,0,2,2
2014-07-19 15:58:44,0,2,2
2014-07-19 15:58:45,0,2,2
2014-07-19 15:58:46,0,2,2
2014-07-19 15:58:47,2,2,2
2014-07-19 15:58:48,5,5,2
2014-07-19 15:58:49,5,6,2
2014-07-19 15:58:50,5,7,2
2014-07-19 15:58:51,5,7,0
2014-07-19 15:58:52,7,7,0
2014-07-19 15:58:53,7,7,0
2014-07-19 15:58:54,8,7,0
2014-07-19 15:58:55,8,7,2
2014-07-19 15:58:56,8,8,2
2014-07-19 15:58:57,2,7,2
2014-07-19 15:58:58,2,7,2
2014-07-19 15:58:59,2,7,2
2014-07-19 15:59:00,2,7,2
2014-07-19 15:59:01,2,7,2
2014-07-19 15:59:02,2,7,2
2014-07-19 15:59:03,2,7,0
2014-07-19 15:59:04,2,8,2
2014-07-19 15:59:05,2,7,2
2014-07-19 15:59:06,2,7,2
2014-07-19 15:59:07,0,7,2
2014-07-19 15:59:08,0,7,2
2014-07-19 15:59:09,0,7,2
2014-07-19 15:59:10,0,7,2
2014-07-19 15:59:11,0,7,2
2014-07-19 15:59:12,0,7,2
2014-07-19 15:59:13,0,7,2
2014-07-19 15:59:14,2,7,2
2014-07-19 15:59:15,2,7,2
2014-07-19 15:59:16,2,7,2
2014-07-19 15:59:17,2,6,2
2014-07-19 15:59:18,2,6,2
2014-07-19 15:59:19,2,6,2
2014-07-19 15:59:20,2,8,2
2014-07-19 15:59:21,2,7,2
2014-07-19 15:59:22,2,7,2
2014-07-19 15:59:23,2,5,2
2014-07-19 15:59:24,2,7,2
2014-07-19 15:59:25,2,7,2
2014-07-19 15:59:26,2,6,2
2014-07-19 15:59:27,2,6,2
2014-07-19 15:59:28,2,6,2
2014-07-19 15:59:29,2,6,2
2014-07-19 15:59:30,0,6,2
2014-07-19 15:59:31,2,6,2
2014-07-19 15:59:32,2,7,2
2014-07-19 15:59:33,2,7,2
2014-07-19 15:59:34,2,7,0
2014-07-19 15:59:35,2,7,0
2014-07-19 15:59:36,2,7,2
2014-07-19 15:59:37,2,7,2
2014-07-19 15:59:38,2,5,2
2014-07-19 15:59:39,2,5,2
2014-07-19 15:59:40,2,5,2
2014-07-19 15:59:41,0,5,2
2014-07-19 15:59:42,0,5,2
2014-07-19 15:59:43,6,5,2
2014-07-19 15:59:44,2,7,2
2014-07-19 15:59:45,2,7,2
2014-07-19 15:59:46,2,7,2
2014-07-19 15:59:47,2,7,2
2014-07-19 15:59:48,2,7,2
2014-07-19 15:59:49,1,7,2
2014-07-19 15:59:50,0,5,2
2014-07-19 15:59:51,0,5,2
2014-07-19 15:59:52,0,5,2
2014-07-19 15:59:53,0,7,2
2014-07-19 15:59:54,0,7,2
2014-07-19 15:59:55,0,7,2
2014-07-19 15:59:56,0,7,2
2014-07-19 15:59:57,0,7,2
2014-07-19 15:59:58,0,7,2
2014-07-19 15:59:59,0,7,2
2014-07-19 16:00:00,0,7,2
2014-07-19 16:00:01,0,7,2
2014-07-19 16:00:02,0,7,2
2014-07-19 16:00:03,2,7,3
2014-07-19 16:00:04,2,7,2
2014-07-19 16:00:05,2,7,2
2014-07-19 16:00:06,2,7,6
2014-07-19 16:00:07,2,7,6
2014-07-19 16:00:08,2,7,0
2014-07-19 16:00:09,2,7,2
2014-07-19 16:00:10,8,7,2
2014-07-19 16:00:11,8,7,2
2014-07-19 16:00:12,8,7,2
2014-07-19 16:00:13,8,7,2
2014-07-19 16:00:14,8,7,2
2014-07-19 16:00:15,8,7,2
2014-07-19 16:00:16,8,7,2
2014-07-19 16:00:17,3,7,2
2014-07-19 16:00:18,4,7,3
2014-07-19 16:00:19,4,7,4
2014-07-19 16:00:20,4,7,4
2014-07-19 16:00:21,3,7,4
2014-07-19 16:00:22,4,7,4
2014-07-19 16:00:23,4,5,4
2014-07-19 16:00:24,4,5,4
2014-07-19 16:00:25,4,5,7
2014-07-19 16:00:26,4,5,4
2014-07-19 16:00:27,4,5,4
2014-07-19 16:00:28,4,5,8
2014-07-19 16:00:29,4,5,8
2014-07-19 16:00:30,4,5,8
2014-07-19 16:00:31,4,5,8
2014-07-19 16:00:32,4,5,8
2014-07-19 16:00:33,4,8,8
2014-07-19 16:00:34,4,8,2
2014-07-19 16:00:35,4,8,2
2014-07-19 16:00:36,4,8,2
2014-07-19 16:00:37,4,8,2
2014-07-19 16:00:38,4,8,2
2014-07-19 16:00:39,3,8,2
2014-07-19 16:00:40,3,8,2
2014-07-19 16:00:41,3,8,2
2014-07-19 16:00:42,1,8,2
2014-07-19 16:00:43,1,8,1
2014-07-19 16:00:44,1,8,1
2014-07-19 16:00:45,1,8,1
2014-07-19 16:00:46,1,3,3
2014-07-19 16:00:47,1,3,3
2014-07-19 16:00:48,1,3,3
2014-07-19 16:00:49,1,3,3
2014-07-19 16:00:50,1,3,4
2014-07-19 16:00:51,1,3,3
2014-07-19 16:00:52,1,3,3
2014-07-19 16:00:53,1,3,3
2014-07-19 16:00:54,1,3,2
2014-07-19 16:00:55,1,3,3
2014-07-19 16:00:56,1,3,2
2014-07-19 16:00:57,1,3,2
2014-07-19 16:00:58,1,3,2
2014-07-19 16:00:59,1,3,2
2014-07-19 16:01:00,3,3,2
2014-07-19 16:01:01,3,3,2
2014-07-19 16:01:02,3,3,2
2014-07-19 16:01:03,3,3,2
2014-07-19 16:01:04,3,3,2
2014-07-19 16:01:05,3,3,3
2014-07-19 16:01:06,3,3,1
2014-07-19 16:01:07,3,3,2
2014-07-19 16:01:08,3,3,2
2014-07-19 16:01:09,3,3,3
2014-07-19 16:01:10,3,3,3
2014-07-19 16:01:11,3,3,3
2014-07-19 16:01:12,3,3,3
2014-07-19 16:01:13,3,3,3
2014-07-19 16:01:14,3,3,3
2014-07-19 16:01:15,3,7,3
2014-07-19 16:01:16,3,8,1
2014-07-19 16:01:17,3,7,1
2014-07-19 16:01:18,3,3,1
2014-07-19 16:01:19,3,8,1
2014-07-19 16:01:20,3,8,1
2014-07-19 16:01:21,3,3,3
2014-07-19 16:01:22,3,3,2
2014-07-19 16:01:23,3,3,2
2014-07-19 16:01:24,3,3,2
2014-07-19 16:01:25,3,3,2
2014-07-19 16:01:26,3,3,1
2014-07-19 16:01:27,3,3,3
2014-07-19 16:01:28,3,3,3
2014-07-19 16:01:29,3,3,3
2014-07-19 16:01:30,3,8,1
2014-07-19 16:01:31,3,8,1
2014-07-19 16:01:32,3,8,3
2014-07-19 16:01:33,3,8,3
2014-07-19 16:01:34,3,8,3
2014-07-19 16:01:35,3,8,2
2014-07-19 16:01:36,3,8,2
2014-07-19 16:01:37,3,8,2
2014-07-19 16:01:38,3,3,2
2014-07-19 16:01:39,3,3,2
2014-07-19 16:01:40,3,8,1
2014-07-19 16:01:41,3,8,1
2014-07-19 16:01:42,3,5,1
2014-07-19 16:01:43,3,5,1
2014-07-19 16:01:44,3,8,1
2014-07-19 16:01:45,3,8,1
2014-07-19 16:01:46,3,3,1
2014-07-19 16:01:47,3,3,1
2014-07-19 16:01:48,3,3,1
2014-07-19 16:01:49,3,3,1
2014-07-19 16:01:50,3,3,1
2014-07-19 16:01:51,3,3,3
2014-07-19 16:01:52,1,3,3
2014-07-19 16:01:53,3,3,3
2014-07-19 16:01:54,1,3,3
2014-07-19 16:01:55,1,3,3
2014-07-19 16:01:56,1,1,1
2014-07-19 16:01:57,1,1,1
2014-07-19 16:01:58,1,1,1
2014-07-19 16:01:59,1,1,1
2014-07-19 16:02:00,1,1,1
2014-07-19 16:02:01,1,1,3
2014-07-19 16:02:02,1,3,3
2014-07-19 16:02:03,1,3,3
2014-07-19 16:02:04,1,3,7
2014-07-19 16:02:05,1,3,7
2014-07-19 16:02:06,1,3,7
2014-07-19 16:02:07,1,3,7
2014-07-19 16:02:08,1,3,7
2014-07-19 16:02:09,1,3,7
2014-07-19 16:02:10,1,3,4
2014-07-19 16:02:11,1,3,3
2014-07-19 16:02:12,1,3,3
2014-07-19 16:02:13,3,3,3
2014-07-19 16:02:14,3,3,1
2014-07-19 16:02:15,1,3,1
2014-07-19 16:02:16,1,3,1
2014-07-19 16:02:17,2,3,1
2014-07-19 16:02:18,1,3,1
2014-07-19 16:02:19,3,3,1
2014-07-19 16:02:20,1,3,1
2014-07-19 16:02:21,2,3,1
2014-07-19 16:02:22,2,3,1
2014-07-19 16:02:23,2,3,1
2014-07-19 16:02:24,2,3,1
2014-07-19 16:02:25,2,3,1
2014-07-19 16:02:26,2,3,1
2014-07-19 16:02:27,2,3,1
2014-07-19 16:02:28,2,1,1
