time,christina,jonathan,yvonne
2014-07-19 16:56:08,0,0,0
2014-07-19 16:56:09,2,0,0
2014-07-19 16:56:10,2,0,0
2014-07-19 16:56:11,2,0,0
2014-07-19 16:56:12,2,0,0
2014-07-19 16:56:13,2,0,0
2014-07-19 16:56:14,2,0,0
2014-07-19 16:56:15,2,0,0
2014-07-19 16:56:16,2,0,0
2014-07-19 16:56:17,2,0,0
2014-07-19 16:56:18,2,0,0
2014-07-19 16:56:19,1,0,0
2014-07-19 16:56:20,7,0,0
2014-07-19 16:56:21,7,0,0
2014-07-19 16:56:22,7,0,0
2014-07-19 16:56:23,7,0,0
2014-07-19 16:56:24,7,0,0
2014-07-19 16:56:25,5,0,0
2014-07-19 16:56:26,5,0,0
2014-07-19 16:56:27,5,0,0
2014-07-19 16:56:28,5,0,0
2014-07-19 16:56:29,7,0,0
2014-07-19 16:56:30,7,0,0
2014-07-19 16:56:31,7,0,0
2014-07-19 16:56:32,7,0,0
2014-07-19 16:56:33,7,0,0
2014-07-19 16:56:34,7,0,0
2014-07-19 16:56:35,7,0,0
2014-07-19 16:56:36,7,2,0
2014-07-19 16:56:37,7,2,0
2014-07-19 16:56:38,7,2,0
2014-07-19 16:56:39,7,8,0
2014-07-19 16:56:40,7,7,0
2014-07-19 16:56:41,7,7,0
2014-07-19 16:56:42,2,7,0
2014-07-19 16:56:43,2,7,0
2014-07-19 16:56:44,2,7,0
2014-07-19 16:56:45,2,5,0
2014-07-19 16:56:46,2,7,2
2014-07-19 16:56:47,2,2,2
2014-07-19 16:56:48,8,7,2
2014-07-19 16:56:49,7,7,1
2014-07-19 16:56:50,7,7,3
2014-07-19 16:56:51,7,7,3
2014-07-19 16:56:52,7,7,3
2014-07-19 16:56:53,7,7,3
2014-07-19 16:56:54,7,7,7
2014-07-19 16:56:55,7,8,7
2014-07-19 16:56:56,7,2,7
2014-07-19 16:56:57,4,2,7
2014-07-19 16:56:58,7,3,7
2014-07-19 16:56:59,6,3,7
2014-07-19 16:57:00,6,3,7
2014-07-19 16:57:01,6,4,7
2014-07-19 16:57:02,6,7,7
2014-07-19 16:57:03,6,7,2
2014-07-19 16:57:04,4,4,0
2014-07-19 16:57:05,4,0,0
2014-07-19 16:57:06,4,0,2
2014-07-19 16:57:07,4,0,2
2014-07-19 16:57:08,7,2,1
2014-07-19 16:57:09,7,2,3
2014-07-19 16:57:10,7,2,3
2014-07-19 16:57:11,6,3,3
2014-07-19 16:57:12,7,3,7
2014-07-19 16:57:13,7,3,7
2014-07-19 16:57:14,4,4,7
2014-07-19 16:57:15,4,4,7
2014-07-19 16:57:16,8,4,7
2014-07-19 16:57:17,7,4,7
2014-07-19 16:57:18,7,2,7
2014-07-19 16:57:19,7,2,7
2014-07-19 16:57:20,7,2,7
2014-07-19 16:57:21,7,1,7
2014-07-19 16:57:22,8,1,7
2014-07-19 16:57:23,3,1,7
2014-07-19 16:57:24,3,1,4
2014-07-19 16:57:25,1,1,0
2014-07-19 16:57:26,3,3,0
2014-07-19 16:57:27,1,7,0
2014-07-19 16:57:28,1,4,0
2014-07-19 16:57:29,1,4,0
2014-07-19 16:57:30,1,3,0
2014-07-19 16:57:31,1,1,0
2014-07-19 16:57:32,1,1,0
2014-07-19 16:57:33,1,1,0
2014-07-19 16:57:34,1,1,0
2014-07-19 16:57:35,1,1,0
2014-07-19 16:57:36,1,3,0
2014-07-19 16:57:37,1,3,0
2014-07-19 16:57:38,1,3,0
2014-07-19 16:57:39,1,4,0
2014-07-19 16:57:40,3,4,0
2014-07-19 16:57:41,7,2,0
2014-07-19 16:57:42,7,2,0
2014-07-19 16:57:43,7,2,0
2014-07-19 16:57:44,7,2,0
2014-07-19 16:57:45,7,2,0
2014-07-19 16:57:46,7,2,0
2014-07-19 16:57:47,7,2,0
2014-07-19 16:57:48,7,2,0
2014-07-19 16:57:49,7,2,0
2014-07-19 16:57:50,7,2,0
