time,charles,jonathan,christina
2014-08-11 20:54:53,0,0,0
2014-08-11 20:54:54,2,0,0
2014-08-11 20:54:55,2,0,0
2014-08-11 20:54:56,2,0,0
2014-08-11 20:54:57,2,0,0
2014-08-11 20:54:58,1,0,0
2014-08-11 20:54:59,1,0,0
2014-08-11 20:55:00,1,0,0
2014-08-11 20:55:01,1,0,0
2014-08-11 20:55:02,1,0,0
2014-08-11 20:55:03,1,0,0
2014-08-11 20:55:04,3,0,0
2014-08-11 20:55:05,3,0,0
2014-08-11 20:55:06,2,0,0
2014-08-11 20:55:07,2,0,0
2014-08-11 20:55:08,2,0,0
2014-08-11 20:55:09,2,0,0
2014-08-11 20:55:10,2,0,0
2014-08-11 20:55:11,2,0,0
2014-08-11 20:55:12,2,0,0
2014-08-11 20:55:13,2,0,0
2014-08-11 20:55:14,2,0,0
2014-08-11 20:55:15,2,0,0
2014-08-11 20:55:16,2,0,0
2014-08-11 20:55:17,0,0,0
2014-08-11 20:55:18,0,0,0
2014-08-11 20:55:19,0,0,0
2014-08-11 20:55:20,2,0,0
2014-08-11 20:55:21,2,0,0
2014-08-11 20:55:22,4,0,0
2014-08-11 20:55:23,8,0,0
2014-08-11 20:55:24,8,0,0
2014-08-11 20:55:25,7,0,0
2014-08-11 20:55:26,7,0,0
2014-08-11 20:55:27,7,0,0
2014-08-11 20:55:28,7,0,0
2014-08-11 20:55:29,7,0,0
2014-08-11 20:55:30,7,0,0
2014-08-11 20:55:31,8,0,0
2014-08-11 20:55:32,7,0,0
2014-08-11 20:55:33,7,0,0
2014-08-11 20:55:34,7,0,0
2014-08-11 20:55:35,7,0,0
2014-08-11 20:55:36,7,0,0
2014-08-11 20:55:37,7,0,0
2014-08-11 20:55:38,7,0,0
2014-08-11 20:55:39,7,0,0
2014-08-11 20:55:40,7,0,0
2014-08-11 20:55:41,7,0,0
2014-08-11 20:55:42,7,0,0
2014-08-11 20:55:43,7,0,0
2014-08-11 20:55:44,7,0,0
2014-08-11 20:55:45,7,0,0
2014-08-11 20:55:46,7,0,0
2014-08-11 20:55:47,7,0,0
2014-08-11 20:55:48,7,0,0
2014-08-11 20:55:49,7,0,0
2014-08-11 20:55:50,7,0,0
2014-08-11 20:55:51,7,0,0
2014-08-11 20:55:52,7,0,0
2014-08-11 20:55:53,7,0,0
2014-08-11 20:55:54,7,0,0
2014-08-11 20:55:55,7,0,0
2014-08-11 20:55:56,7,0,0
2014-08-11 20:55:57,7,0,0
2014-08-11 20:55:58,7,0,0
2014-08-11 20:55:59,4,0,0
2014-08-11 20:56:00,7,0,0
2014-08-11 20:56:01,7,0,0
2014-08-11 20:56:02,7,0,0
2014-08-11 20:56:03,7,0,0
2014-08-11 20:56:04,7,0,0
2014-08-11 20:56:05,7,0,0
2014-08-11 20:56:06,7,0,0
2014-08-11 20:56:07,7,0,0
2014-08-11 20:56:08,7,0,0
2014-08-11 20:56:09,7,0,0
2014-08-11 20:56:10,7,0,0
2014-08-11 20:56:11,7,0,0
2014-08-11 20:56:12,7,0,0
2014-08-11 20:56:13,7,0,0
2014-08-11 20:56:14,7,0,0
2014-08-11 20:56:15,7,0,0
2014-08-11 20:56:16,7,0,0
2014-08-11 20:56:17,7,0,0
2014-08-11 20:56:18,7,0,0
2014-08-11 20:56:19,7,0,0
2014-08-11 20:56:20,8,0,0
2014-08-11 20:56:21,7,0,0
2014-08-11 20:56:22,7,0,0
2014-08-11 20:56:23,7,0,0
2014-08-11 20:56:24,7,0,0
2014-08-11 20:56:25,7,0,0
2014-08-11 20:56:26,7,0,0
2014-08-11 20:56:27,7,0,0
2014-08-11 20:56:28,7,0,0
2014-08-11 20:56:29,7,0,0
2014-08-11 20:56:30,7,0,0
2014-08-11 20:56:31,7,0,0
2014-08-11 20:56:32,7,0,0
2014-08-11 20:56:33,7,0,0
2014-08-11 20:56:34,7,0,0
