time,charles,christina,jonathan
2014-08-14 18:50:23,0,0,0
2014-08-14 18:50:24,2,0,0
2014-08-14 18:50:25,2,0,0
2014-08-14 18:50:26,2,0,0
2014-08-14 18:50:27,2,0,0
2014-08-14 18:50:28,4,0,0
2014-08-14 18:50:29,4,0,0
2014-08-14 18:50:30,4,0,0
2014-08-14 18:50:31,7,0,0
2014-08-14 18:50:32,4,0,0
2014-08-14 18:50:33,4,0,0
2014-08-14 18:50:34,4,0,0
2014-08-14 18:50:35,4,0,0
2014-08-14 18:50:36,4,0,0
2014-08-14 18:50:37,4,0,0
2014-08-14 18:50:38,4,0,0
2014-08-14 18:50:39,7,0,0
2014-08-14 18:50:40,7,0,0
2014-08-14 18:50:41,7,0,0
2014-08-14 18:50:42,7,0,0
2014-08-14 18:50:43,4,0,0
2014-08-14 18:50:44,4,0,0
2014-08-14 18:50:45,4,0,0
2014-08-14 18:50:46,8,0,0
2014-08-14 18:50:47,8,0,0
2014-08-14 18:50:48,2,0,0
2014-08-14 18:50:49,0,0,0
2014-08-14 18:50:50,0,0,0
2014-08-14 18:50:51,0,0,0
2014-08-14 18:50:52,0,0,0
2014-08-14 18:50:53,0,0,0
2014-08-14 18:50:54,0,0,0
2014-08-14 18:50:55,0,0,0
2014-08-14 18:50:56,0,0,0
2014-08-14 18:50:57,0,0,0
2014-08-14 18:50:58,0,0,0
2014-08-14 18:50:59,0,0,0
2014-08-14 18:51:00,0,0,0
2014-08-14 18:51:01,0,0,0
2014-08-14 18:51:02,0,0,0
2014-08-14 18:51:03,0,0,0
2014-08-14 18:51:04,0,0,0
2014-08-14 18:51:05,0,0,0
2014-08-14 18:51:06,0,0,0
2014-08-14 18:51:07,0,0,0
2014-08-14 18:51:08,0,0,0
2014-08-14 18:51:09,0,0,0
2014-08-14 18:51:10,0,0,0
2014-08-14 18:51:11,0,0,0
2014-08-14 18:51:12,0,0,0
2014-08-14 18:51:13,0,0,0
2014-08-14 18:51:14,0,0,0
2014-08-14 18:51:15,0,0,0
2014-08-14 18:51:16,0,0,0
2014-08-14 18:51:17,0,0,0
2014-08-14 18:51:18,0,0,0
2014-08-14 18:51:19,0,0,0
2014-08-14 18:51:20,0,0,0
2014-08-14 18:51:21,0,0,0
2014-08-14 18:51:22,0,0,0
2014-08-14 18:51:23,0,0,0
2014-08-14 18:51:24,0,0,0
2014-08-14 18:51:25,0,0,0
2014-08-14 18:51:26,0,0,0
2014-08-14 18:51:27,0,0,0
2014-08-14 18:51:28,0,0,0
2014-08-14 18:51:29,0,0,0
2014-08-14 18:51:30,0,0,0
2014-08-14 18:51:31,0,0,0
