time,jonathan,christina,charles
2014-08-14 19:14:47,0,0,0
2014-08-14 19:14:48,2,0,0
2014-08-14 19:14:49,2,0,0
2014-08-14 19:14:50,2,0,0
2014-08-14 19:14:51,2,0,0
2014-08-14 19:14:52,2,0,0
2014-08-14 19:14:53,2,0,0
2014-08-14 19:14:54,2,0,0
2014-08-14 19:14:55,0,0,0
2014-08-14 19:14:56,0,0,0
2014-08-14 19:14:57,0,2,0
2014-08-14 19:14:58,0,2,0
2014-08-14 19:14:59,0,2,0
2014-08-14 19:15:00,0,2,0
2014-08-14 19:15:01,0,2,0
2014-08-14 19:15:02,0,3,0
2014-08-14 19:15:03,0,8,0
2014-08-14 19:15:04,0,5,0
2014-08-14 19:15:05,0,5,0
2014-08-14 19:15:06,0,7,0
2014-08-14 19:15:07,0,7,0
2014-08-14 19:15:08,0,7,0
2014-08-14 19:15:09,0,7,0
2014-08-14 19:15:10,0,7,0
2014-08-14 19:15:11,0,7,0
2014-08-14 19:15:12,0,7,0
2014-08-14 19:15:13,0,5,0
2014-08-14 19:15:14,0,5,0
2014-08-14 19:15:15,0,5,0
2014-08-14 19:15:16,0,5,0
2014-08-14 19:15:17,0,5,0
2014-08-14 19:15:18,0,5,0
2014-08-14 19:15:19,0,5,0
2014-08-14 19:15:20,0,2,0
2014-08-14 19:15:21,0,0,0
2014-08-14 19:15:22,0,0,0
2014-08-14 19:15:23,0,0,0
2014-08-14 19:15:24,0,0,0
2014-08-14 19:15:25,0,0,0
2014-08-14 19:15:26,0,0,0
2014-08-14 19:15:27,2,2,0
2014-08-14 19:15:28,2,7,0
2014-08-14 19:15:29,2,4,0
2014-08-14 19:15:30,8,3,0
2014-08-14 19:15:31,8,3,2
2014-08-14 19:15:32,8,3,2
2014-08-14 19:15:33,4,3,2
2014-08-14 19:15:34,4,3,2
2014-08-14 19:15:35,8,8,3
2014-08-14 19:15:36,4,7,3
2014-08-14 19:15:37,4,7,1
2014-08-14 19:15:38,4,7,1
2014-08-14 19:15:39,2,5,3
2014-08-14 19:15:40,2,5,2
2014-08-14 19:15:41,0,5,2
