time,christina
2014-08-23 17:00:02,0
2014-08-23 17:00:03,2
2014-08-23 17:00:04,2
2014-08-23 17:00:05,2
2014-08-23 17:00:06,2
2014-08-23 17:00:07,2
2014-08-23 17:00:08,2
2014-08-23 17:00:09,2
2014-08-23 17:00:10,2
2014-08-23 17:00:11,2
2014-08-23 17:00:12,2
2014-08-23 17:00:13,2
2014-08-23 17:00:14,2
2014-08-23 17:00:15,2
2014-08-23 17:00:16,2
2014-08-23 17:00:17,2
2014-08-23 17:00:18,2
2014-08-23 17:00:19,2
2014-08-23 17:00:20,2
2014-08-23 17:00:21,2
2014-08-23 17:00:22,2
2014-08-23 17:00:23,2
2014-08-23 17:00:24,0
2014-08-23 17:00:25,0
2014-08-23 17:00:26,0
2014-08-23 17:00:27,0
2014-08-23 17:00:28,0
2014-08-23 17:00:29,0
2014-08-23 17:00:30,0
