time,jonathan
2014-08-23 17:18:58,0
2014-08-23 17:18:59,2
2014-08-23 17:19:00,2
2014-08-23 17:19:01,2
2014-08-23 17:19:02,2
2014-08-23 17:19:03,2
2014-08-23 17:19:04,2
2014-08-23 17:19:05,2
2014-08-23 17:19:06,2
2014-08-23 17:19:07,2
2014-08-23 17:19:08,2
2014-08-23 17:19:09,2
2014-08-23 17:19:10,2
2014-08-23 17:19:11,2
2014-08-23 17:19:12,2
2014-08-23 17:19:13,0
2014-08-23 17:19:14,0
2014-08-23 17:19:15,0
2014-08-23 17:19:16,0
2014-08-23 17:19:17,0
2014-08-23 17:19:18,0
2014-08-23 17:19:19,0
2014-08-23 17:19:20,0
2014-08-23 17:19:21,0
2014-08-23 17:19:22,0
2014-08-23 17:19:23,0
2014-08-23 17:19:24,0
