time,jonathan,christina,yvonne,charles
2014-08-24 14:01:41,0,0,0,0
2014-08-24 14:01:42,2,0,0,0
2014-08-24 14:01:43,2,0,0,0
2014-08-24 14:01:44,2,2,0,0
2014-08-24 14:01:45,2,2,0,0
2014-08-24 14:01:46,4,2,0,0
2014-08-24 14:01:47,4,2,0,0
2014-08-24 14:01:48,4,4,2,0
2014-08-24 14:01:49,4,4,4,0
2014-08-24 14:01:50,7,4,4,0
2014-08-24 14:01:51,4,4,4,0
2014-08-24 14:01:52,0,3,4,0
2014-08-24 14:01:53,0,3,4,0
2014-08-24 14:01:54,0,3,4,0
2014-08-24 14:01:55,0,3,4,0
2014-08-24 14:01:56,0,2,4,0
2014-08-24 14:01:57,0,0,4,0
2014-08-24 14:01:58,0,0,4,0
2014-08-24 14:01:59,0,0,4,0
2014-08-24 14:02:00,0,0,2,0
2014-08-24 14:02:01,0,0,2,0
2014-08-24 14:02:02,0,0,2,0
2014-08-24 14:02:03,0,0,2,0
2014-08-24 14:02:04,0,0,2,0
2014-08-24 14:02:05,0,2,2,0
2014-08-24 14:02:06,0,2,0,2
2014-08-24 14:02:07,2,2,0,2
2014-08-24 14:02:08,3,2,0,2
2014-08-24 14:02:09,3,2,0,2
2014-08-24 14:02:10,3,0,0,2
2014-08-24 14:02:11,3,0,0,0
2014-08-24 14:02:12,4,0,0,0
2014-08-24 14:02:13,2,2,0,0
2014-08-24 14:02:14,0,2,0,0
2014-08-24 14:02:15,2,2,0,0
2014-08-24 14:02:16,2,2,2,0
2014-08-24 14:02:17,2,2,2,0
2014-08-24 14:02:18,2,2,2,0
2014-08-24 14:02:19,2,2,2,0
2014-08-24 14:02:20,0,2,2,0
2014-08-24 14:02:21,0,2,2,0
2014-08-24 14:02:22,2,2,2,0
2014-08-24 14:02:23,2,0,0,0
2014-08-24 14:02:24,2,0,0,0
2014-08-24 14:02:25,2,0,0,0
2014-08-24 14:02:26,2,0,0,0
2014-08-24 14:02:27,0,0,0,0
2014-08-24 14:02:28,0,0,0,0
2014-08-24 14:02:29,0,0,0,0
2014-08-24 14:02:30,0,0,0,0
2014-08-24 14:02:31,0,0,0,0
2014-08-24 14:02:32,0,0,0,0
2014-08-24 14:02:33,0,0,0,0
2014-08-24 14:02:34,0,0,0,0
2014-08-24 14:02:35,0,0,0,0
2014-08-24 14:02:36,0,0,0,0
2014-08-24 14:02:37,0,0,2,0
2014-08-24 14:02:38,0,0,2,0
2014-08-24 14:02:39,0,0,2,0
2014-08-24 14:02:40,0,0,2,0
2014-08-24 14:02:41,0,0,2,0
2014-08-24 14:02:42,0,0,0,0
2014-08-24 14:02:43,0,0,0,0
2014-08-24 14:02:44,0,0,0,0
2014-08-24 14:02:45,0,2,0,2
2014-08-24 14:02:46,0,2,0,2
2014-08-24 14:02:47,0,2,0,2
2014-08-24 14:02:48,2,2,0,2
2014-08-24 14:02:49,2,2,0,2
2014-08-24 14:02:50,2,2,0,2
2014-08-24 14:02:51,2,2,2,2
2014-08-24 14:02:52,2,2,2,2
2014-08-24 14:02:53,2,2,2,2
2014-08-24 14:02:54,2,2,2,2
2014-08-24 14:02:55,2,2,2,2
2014-08-24 14:02:56,3,2,2,3
2014-08-24 14:02:57,3,3,2,3
2014-08-24 14:02:58,4,3,2,8
2014-08-24 14:02:59,4,3,2,4
2014-08-24 14:03:00,4,4,2,8
2014-08-24 14:03:01,4,4,2,8
2014-08-24 14:03:02,4,4,2,8
2014-08-24 14:03:03,4,4,2,8
2014-08-24 14:03:04,4,4,2,8
2014-08-24 14:03:05,4,4,2,8
2014-08-24 14:03:06,4,4,2,8
2014-08-24 14:03:07,4,4,2,8
2014-08-24 14:03:08,4,3,2,8
2014-08-24 14:03:09,3,3,2,8
2014-08-24 14:03:10,2,3,2,2
2014-08-24 14:03:11,2,2,2,2
2014-08-24 14:03:12,2,2,2,2
2014-08-24 14:03:13,2,2,2,2
2014-08-24 14:03:14,2,2,2,2
2014-08-24 14:03:15,2,2,2,2
2014-08-24 14:03:16,2,3,2,2
2014-08-24 14:03:17,2,3,2,2
2014-08-24 14:03:18,2,4,2,2
2014-08-24 14:03:19,3,4,2,2
2014-08-24 14:03:20,4,4,2,2
2014-08-24 14:03:21,4,4,2,2
2014-08-24 14:03:22,4,8,3,2
2014-08-24 14:03:23,4,4,3,2
2014-08-24 14:03:24,4,4,4,2
2014-08-24 14:03:25,4,4,4,2
2014-08-24 14:03:26,4,8,4,2
2014-08-24 14:03:27,4,4,2,2
2014-08-24 14:03:28,3,4,2,2
2014-08-24 14:03:29,2,4,2,2
2014-08-24 14:03:30,2,4,2,2
2014-08-24 14:03:31,2,3,2,2
2014-08-24 14:03:32,2,2,2,2
2014-08-24 14:03:33,2,2,2,2
2014-08-24 14:03:34,2,2,2,2
2014-08-24 14:03:35,2,2,2,2
2014-08-24 14:03:36,2,2,8,2
2014-08-24 14:03:37,2,2,8,2
2014-08-24 14:03:38,2,2,8,2
2014-08-24 14:03:39,2,2,8,2
2014-08-24 14:03:40,2,2,8,2
2014-08-24 14:03:41,2,2,3,2
2014-08-24 14:03:42,2,2,3,2
2014-08-24 14:03:43,2,2,3,2
2014-08-24 14:03:44,2,2,3,2
2014-08-24 14:03:45,2,2,3,2
2014-08-24 14:03:46,2,2,2,2
2014-08-24 14:03:47,2,2,2,2
2014-08-24 14:03:48,2,2,2,2
2014-08-24 14:03:49,2,2,2,2
2014-08-24 14:03:50,2,2,2,2
2014-08-24 14:03:51,2,2,2,2
2014-08-24 14:03:52,2,2,2,2
2014-08-24 14:03:53,2,2,2,2
2014-08-24 14:03:54,2,2,3,2
2014-08-24 14:03:55,2,2,3,2
2014-08-24 14:03:56,2,2,3,2
2014-08-24 14:03:57,2,2,8,2
2014-08-24 14:03:58,4,2,8,2
2014-08-24 14:03:59,2,2,8,2
2014-08-24 14:04:00,2,2,8,2
2014-08-24 14:04:01,2,2,8,2
2014-08-24 14:04:02,2,2,3,2
2014-08-24 14:04:03,2,2,2,2
2014-08-24 14:04:04,2,2,2,2
2014-08-24 14:04:05,2,2,2,2
2014-08-24 14:04:06,2,2,2,2
2014-08-24 14:04:07,2,2,4,2
2014-08-24 14:04:08,2,2,3,2
2014-08-24 14:04:09,2,2,3,2
2014-08-24 14:04:10,2,2,3,2
2014-08-24 14:04:11,2,2,3,2
2014-08-24 14:04:12,2,2,3,2
2014-08-24 14:04:13,2,2,2,2
2014-08-24 14:04:14,2,2,3,2
2014-08-24 14:04:15,2,2,3,2
2014-08-24 14:04:16,2,2,2,2
2014-08-24 14:04:17,2,2,2,2
2014-08-24 14:04:18,2,2,3,2
2014-08-24 14:04:19,2,2,3,2
2014-08-24 14:04:20,2,2,3,2
2014-08-24 14:04:21,2,2,3,2
2014-08-24 14:04:22,2,2,3,2
2014-08-24 14:04:23,2,2,3,2
2014-08-24 14:04:24,2,2,3,2
2014-08-24 14:04:25,2,2,2,2
2014-08-24 14:04:26,2,2,2,2
2014-08-24 14:04:27,2,2,4,2
2014-08-24 14:04:28,4,2,4,2
2014-08-24 14:04:29,4,2,3,2
2014-08-24 14:04:30,2,2,3,2
2014-08-24 14:04:31,2,2,3,2
2014-08-24 14:04:32,2,2,2,2
2014-08-24 14:04:33,2,2,2,2
2014-08-24 14:04:34,2,2,2,2
2014-08-24 14:04:35,2,2,2,2
2014-08-24 14:04:36,2,2,2,2
2014-08-24 14:04:37,2,2,2,2
2014-08-24 14:04:38,2,2,2,2
2014-08-24 14:04:39,2,2,2,2
2014-08-24 14:04:40,2,2,2,2
2014-08-24 14:04:41,2,2,3,2
2014-08-24 14:04:42,2,2,3,2
2014-08-24 14:04:43,2,2,3,2
2014-08-24 14:04:44,2,2,3,2
2014-08-24 14:04:45,2,2,8,2
2014-08-24 14:04:46,2,2,3,2
2014-08-24 14:04:47,8,4,2,3
2014-08-24 14:04:48,4,4,8,8
2014-08-24 14:04:49,8,4,4,8
2014-08-24 14:04:50,7,4,4,8
2014-08-24 14:04:51,7,7,4,7
2014-08-24 14:04:52,7,7,7,7
2014-08-24 14:04:53,7,7,7,7
2014-08-24 14:04:54,7,7,7,7
