time,yvonne,jonathan,christina,charles
2014-08-24 14:36:48,0,0,0,0
2014-08-24 14:36:49,2,0,0,0
2014-08-24 14:36:50,2,0,0,0
2014-08-24 14:36:51,2,0,0,0
2014-08-24 14:36:52,3,0,0,0
2014-08-24 14:36:53,3,0,0,0
2014-08-24 14:36:54,8,0,0,0
2014-08-24 14:36:55,8,0,0,0
2014-08-24 14:36:56,7,0,0,0
2014-08-24 14:36:57,4,0,0,0
2014-08-24 14:36:58,4,0,0,0
2014-08-24 14:36:59,4,0,0,0
2014-08-24 14:37:00,4,0,0,0
2014-08-24 14:37:01,0,0,0,0
2014-08-24 14:37:02,0,0,0,0
2014-08-24 14:37:03,0,0,0,0
2014-08-24 14:37:04,0,0,0,0
2014-08-24 14:37:05,0,0,0,0
2014-08-24 14:37:06,0,4,0,0
2014-08-24 14:37:07,0,7,0,0
2014-08-24 14:37:08,0,7,0,0
2014-08-24 14:37:09,0,7,0,0
2014-08-24 14:37:10,0,7,0,0
2014-08-24 14:37:11,0,8,0,0
2014-08-24 14:37:12,0,8,0,0
2014-08-24 14:37:13,0,3,0,0
2014-08-24 14:37:14,0,2,0,0
2014-08-24 14:37:15,0,2,0,0
2014-08-24 14:37:16,0,2,0,0
2014-08-24 14:37:17,0,2,0,0
2014-08-24 14:37:18,0,0,0,0
2014-08-24 14:37:19,0,0,0,0
2014-08-24 14:37:20,0,0,0,0
2014-08-24 14:37:21,0,0,0,0
2014-08-24 14:37:22,0,0,0,0
2014-08-24 14:37:23,0,0,0,0
2014-08-24 14:37:24,0,0,0,0
2014-08-24 14:37:25,0,0,0,0
2014-08-24 14:37:26,0,0,0,0
2014-08-24 14:37:27,0,0,0,0
2014-08-24 14:37:28,0,0,0,0
2014-08-24 14:37:29,0,0,0,0
2014-08-24 14:37:30,0,0,0,0
2014-08-24 14:37:31,0,0,0,0
2014-08-24 14:37:32,0,0,0,0
2014-08-24 14:37:33,7,8,4,4
2014-08-24 14:37:34,7,7,7,7
2014-08-24 14:37:35,7,7,7,7
2014-08-24 14:37:36,7,7,7,7
2014-08-24 14:37:37,7,7,6,7
2014-08-24 14:37:38,7,7,6,7
2014-08-24 14:37:39,7,7,6,7
2014-08-24 14:37:40,7,7,6,7
2014-08-24 14:37:41,7,7,6,7
2014-08-24 14:37:42,7,7,6,7
2014-08-24 14:37:43,7,7,6,7
2014-08-24 14:37:44,7,7,6,7
2014-08-24 14:37:45,6,7,6,7
2014-08-24 14:37:46,6,7,6,7
2014-08-24 14:37:47,6,7,6,7
2014-08-24 14:37:48,6,7,6,7
2014-08-24 14:37:49,6,7,6,7
2014-08-24 14:37:50,6,7,6,7
2014-08-24 14:37:51,6,7,6,7
2014-08-24 14:37:52,6,7,6,7
2014-08-24 14:37:53,6,7,6,7
2014-08-24 14:37:54,6,7,7,7
2014-08-24 14:37:55,6,7,7,7
2014-08-24 14:37:56,6,7,6,7
2014-08-24 14:37:57,6,7,6,7
2014-08-24 14:37:58,6,7,6,7
2014-08-24 14:37:59,6,7,6,7
2014-08-24 14:38:00,6,7,6,7
2014-08-24 14:38:01,6,7,6,7
2014-08-24 14:38:02,6,7,6,7
2014-08-24 14:38:03,7,7,6,7
