time,yvonne,christina,charles,jonathan
2014-08-24 15:05:24,0,0,0,0
2014-08-24 15:05:25,8,4,4,7
2014-08-24 15:05:26,7,4,7,7
2014-08-24 15:05:27,7,7,7,7
2014-08-24 15:05:28,7,7,7,7
2014-08-24 15:05:29,7,6,6,7
2014-08-24 15:05:30,7,6,6,7
2014-08-24 15:05:31,7,6,7,7
2014-08-24 15:05:32,7,7,7,7
2014-08-24 15:05:33,7,7,7,7
2014-08-24 15:05:34,7,6,7,7
2014-08-24 15:05:35,7,6,7,7
2014-08-24 15:05:36,7,6,7,7
2014-08-24 15:05:37,7,6,7,7
2014-08-24 15:05:38,7,6,7,7
2014-08-24 15:05:39,7,6,7,7
2014-08-24 15:05:40,7,6,7,7
2014-08-24 15:05:41,7,6,7,7
2014-08-24 15:05:42,7,6,7,7
2014-08-24 15:05:43,7,6,7,7
2014-08-24 15:05:44,7,6,7,7
2014-08-24 15:05:45,7,6,6,7
2014-08-24 15:05:46,7,6,6,7
2014-08-24 15:05:47,7,6,6,7
2014-08-24 15:05:48,7,6,6,7
2014-08-24 15:05:49,7,6,6,7
2014-08-24 15:05:50,6,6,6,7
2014-08-24 15:05:51,6,6,6,7
2014-08-24 15:05:52,6,6,6,7
2014-08-24 15:05:53,6,6,6,7
2014-08-24 15:05:54,6,6,6,7
2014-08-24 15:05:55,6,6,6,7
2014-08-24 15:05:56,6,6,6,7
2014-08-24 15:05:57,6,6,6,7
2014-08-24 15:05:58,6,6,6,7
2014-08-24 15:05:59,6,6,6,7
2014-08-24 15:06:00,6,6,6,7
2014-08-24 15:06:01,6,6,6,7
2014-08-24 15:06:02,6,6,6,7
2014-08-24 15:06:03,6,6,6,7
2014-08-24 15:06:04,6,6,6,7
2014-08-24 15:06:05,6,6,6,7
2014-08-24 15:06:06,6,6,6,7
2014-08-24 15:06:07,6,6,6,7
2014-08-24 15:06:08,6,6,6,7
2014-08-24 15:06:09,6,6,7,7
2014-08-24 15:06:10,7,6,7,7
2014-08-24 15:06:11,7,6,6,7
2014-08-24 15:06:12,7,6,6,7
