time,christina,charles,jonathan,yvonne
2014-08-24 15:15:22,0,0,0,0
2014-08-24 15:15:23,4,0,0,0
2014-08-24 15:15:24,7,0,0,0
2014-08-24 15:15:25,7,0,0,0
2014-08-24 15:15:26,7,0,0,0
2014-08-24 15:15:27,7,0,0,0
2014-08-24 15:15:28,7,5,0,0
2014-08-24 15:15:29,7,7,0,0
2014-08-24 15:15:30,7,7,0,0
2014-08-24 15:15:31,7,7,0,0
2014-08-24 15:15:32,7,7,0,0
2014-08-24 15:15:33,7,7,0,0
2014-08-24 15:15:34,7,7,0,0
2014-08-24 15:15:35,7,7,0,0
2014-08-24 15:15:36,7,7,2,0
2014-08-24 15:15:37,7,7,2,0
2014-08-24 15:15:38,7,7,2,0
2014-08-24 15:15:39,7,7,2,0
2014-08-24 15:15:40,7,7,2,0
2014-08-24 15:15:41,7,7,2,0
2014-08-24 15:15:42,7,7,2,0
2014-08-24 15:15:43,7,7,2,0
2014-08-24 15:15:44,7,7,2,0
2014-08-24 15:15:45,7,7,2,0
2014-08-24 15:15:46,7,7,2,0
2014-08-24 15:15:47,7,7,2,0
2014-08-24 15:15:48,7,7,2,0
2014-08-24 15:15:49,7,7,2,0
2014-08-24 15:15:50,7,7,2,0
2014-08-24 15:15:51,7,7,0,0
2014-08-24 15:15:52,7,7,0,0
2014-08-24 15:15:53,7,7,2,0
2014-08-24 15:15:54,7,7,2,0
2014-08-24 15:15:55,4,7,2,0
2014-08-24 15:15:56,4,7,2,0
2014-08-24 15:15:57,8,7,2,0
2014-08-24 15:15:58,2,7,2,0
2014-08-24 15:15:59,2,7,2,0
2014-08-24 15:16:00,2,7,2,0
2014-08-24 15:16:01,2,7,2,0
2014-08-24 15:16:02,2,7,2,0
2014-08-24 15:16:03,2,7,2,0
2014-08-24 15:16:04,2,7,2,0
2014-08-24 15:16:05,2,7,2,0
2014-08-24 15:16:06,2,7,2,0
2014-08-24 15:16:07,2,6,2,0
2014-08-24 15:16:08,8,7,2,0
2014-08-24 15:16:09,8,7,2,0
2014-08-24 15:16:10,8,7,2,0
2014-08-24 15:16:11,8,7,2,0
2014-08-24 15:16:12,4,7,2,0
2014-08-24 15:16:13,4,7,2,0
2014-08-24 15:16:14,4,7,2,0
2014-08-24 15:16:15,7,7,2,0
2014-08-24 15:16:16,4,7,3,0
2014-08-24 15:16:17,4,7,4,0
2014-08-24 15:16:18,4,7,7,0
2014-08-24 15:16:19,7,7,3,0
2014-08-24 15:16:20,7,7,3,0
2014-08-24 15:16:21,4,7,5,0
2014-08-24 15:16:22,7,7,3,0
2014-08-24 15:16:23,7,7,3,0
2014-08-24 15:16:24,4,7,3,0
2014-08-24 15:16:25,4,7,3,0
2014-08-24 15:16:26,4,7,3,7
2014-08-24 15:16:27,4,7,2,4
2014-08-24 15:16:28,3,7,2,4
2014-08-24 15:16:29,2,7,2,7
2014-08-24 15:16:30,2,3,2,7
2014-08-24 15:16:31,2,8,2,7
2014-08-24 15:16:32,2,8,2,7
2014-08-24 15:16:33,2,7,2,7
2014-08-24 15:16:34,2,3,6,7
2014-08-24 15:16:35,2,3,6,7
2014-08-24 15:16:36,2,3,4,6
2014-08-24 15:16:37,2,2,4,6
2014-08-24 15:16:38,2,1,4,6
2014-08-24 15:16:39,3,1,4,6
2014-08-24 15:16:40,3,1,4,6
2014-08-24 15:16:41,2,1,2,6
2014-08-24 15:16:42,2,1,2,6
2014-08-24 15:16:43,2,1,2,6
2014-08-24 15:16:44,2,1,2,6
2014-08-24 15:16:45,2,1,2,6
2014-08-24 15:16:46,2,1,2,6
2014-08-24 15:16:47,2,1,2,6
2014-08-24 15:16:48,2,1,2,6
2014-08-24 15:16:49,2,1,2,7
2014-08-24 15:16:50,2,2,0,6
2014-08-24 15:16:51,2,2,0,6
2014-08-24 15:16:52,2,2,0,6
2014-08-24 15:16:53,2,0,0,6
2014-08-24 15:16:54,3,2,0,6
2014-08-24 15:16:55,4,2,0,6
2014-08-24 15:16:56,4,2,2,6
2014-08-24 15:16:57,7,2,2,7
2014-08-24 15:16:58,6,1,2,4
2014-08-24 15:16:59,7,1,3,7
2014-08-24 15:17:00,7,1,4,7
2014-08-24 15:17:01,7,1,4,6
2014-08-24 15:17:02,6,1,4,6
2014-08-24 15:17:03,6,3,4,6
2014-08-24 15:17:04,6,3,4,6
2014-08-24 15:17:05,7,3,4,7
2014-08-24 15:17:06,7,6,7,4
2014-08-24 15:17:07,7,6,7,4
2014-08-24 15:17:08,7,6,4,7
2014-08-24 15:17:09,4,7,4,6
2014-08-24 15:17:10,4,7,2,6
2014-08-24 15:17:11,4,7,0,7
2014-08-24 15:17:12,4,7,0,7
2014-08-24 15:17:13,4,7,2,7
2014-08-24 15:17:14,6,7,2,6
2014-08-24 15:17:15,6,7,2,6
2014-08-24 15:17:16,4,7,2,6
2014-08-24 15:17:17,4,7,2,7
2014-08-24 15:17:18,4,7,2,7
2014-08-24 15:17:19,4,7,2,7
2014-08-24 15:17:20,4,7,2,7
2014-08-24 15:17:21,4,6,2,7
2014-08-24 15:17:22,4,6,0,7
2014-08-24 15:17:23,4,7,0,7
2014-08-24 15:17:24,3,7,2,7
2014-08-24 15:17:25,0,7,2,7
2014-08-24 15:17:26,0,7,2,7
2014-08-24 15:17:27,0,7,2,7
2014-08-24 15:17:28,2,4,2,6
2014-08-24 15:17:29,2,8,0,5
2014-08-24 15:17:30,2,2,0,5
2014-08-24 15:17:31,2,2,0,2
2014-08-24 15:17:32,2,2,0,0
2014-08-24 15:17:33,2,2,0,0
2014-08-24 15:17:34,2,2,0,0
2014-08-24 15:17:35,2,2,0,0
2014-08-24 15:17:36,2,2,0,0
2014-08-24 15:17:37,2,2,0,0
2014-08-24 15:17:38,2,2,0,0
2014-08-24 15:17:39,2,2,0,0
2014-08-24 15:17:40,2,2,0,0
2014-08-24 15:17:41,2,2,0,0
2014-08-24 15:17:42,2,2,0,0
2014-08-24 15:17:43,2,2,0,0
2014-08-24 15:17:44,2,2,0,0
2014-08-24 15:17:45,2,2,0,0
2014-08-24 15:17:46,2,2,0,0
2014-08-24 15:17:47,2,2,0,2
2014-08-24 15:17:48,2,2,0,2
2014-08-24 15:17:49,2,2,0,2
2014-08-24 15:17:50,2,2,0,2
2014-08-24 15:17:51,2,2,2,2
2014-08-24 15:17:52,8,2,2,2
2014-08-24 15:17:53,4,2,2,2
2014-08-24 15:17:54,4,2,2,2
2014-08-24 15:17:55,7,2,2,2
2014-08-24 15:17:56,7,2,2,2
2014-08-24 15:17:57,7,2,2,2
2014-08-24 15:17:58,7,2,2,2
2014-08-24 15:17:59,7,1,2,2
2014-08-24 15:18:00,7,1,2,2
2014-08-24 15:18:01,7,1,2,2
2014-08-24 15:18:02,7,1,2,2
2014-08-24 15:18:03,7,1,8,2
2014-08-24 15:18:04,7,1,8,2
2014-08-24 15:18:05,7,1,8,2
2014-08-24 15:18:06,4,1,8,3
