time,jonathan,christina,charles,yvonne
2014-08-24 15:23:48,0,0,0,0
2014-08-24 15:23:49,2,0,0,0
2014-08-24 15:23:50,2,0,0,0
2014-08-24 15:23:51,2,0,0,0
2014-08-24 15:23:52,2,0,0,0
2014-08-24 15:23:53,2,0,0,0
2014-08-24 15:23:54,0,0,0,0
2014-08-24 15:23:55,0,0,0,0
2014-08-24 15:23:56,0,0,0,0
2014-08-24 15:23:57,0,0,0,0
2014-08-24 15:23:58,0,0,0,0
2014-08-24 15:23:59,0,0,0,0
2014-08-24 15:24:00,0,0,0,0
2014-08-24 15:24:01,0,0,0,0
2014-08-24 15:24:02,0,0,0,0
2014-08-24 15:24:03,0,0,0,0
2014-08-24 15:24:04,0,0,0,0
2014-08-24 15:24:05,0,0,0,0
2014-08-24 15:24:06,0,0,0,0
2014-08-24 15:24:07,0,0,0,0
2014-08-24 15:24:08,0,0,0,0
2014-08-24 15:24:09,0,0,0,0
2014-08-24 15:24:10,0,0,0,0
2014-08-24 15:24:11,0,0,0,0
2014-08-24 15:24:12,0,0,0,0
2014-08-24 15:24:13,0,4,0,0
2014-08-24 15:24:14,0,4,0,0
2014-08-24 15:24:15,0,7,0,0
2014-08-24 15:24:16,0,7,0,0
2014-08-24 15:24:17,0,7,4,0
2014-08-24 15:24:18,0,7,7,0
2014-08-24 15:24:19,0,7,7,0
2014-08-24 15:24:20,0,7,7,0
2014-08-24 15:24:21,0,7,7,0
2014-08-24 15:24:22,0,7,7,0
2014-08-24 15:24:23,0,7,7,0
2014-08-24 15:24:24,0,4,7,0
2014-08-24 15:24:25,0,4,7,0
2014-08-24 15:24:26,0,8,7,0
2014-08-24 15:24:27,0,4,7,0
2014-08-24 15:24:28,0,4,7,0
2014-08-24 15:24:29,0,3,7,0
2014-08-24 15:24:30,0,3,7,0
2014-08-24 15:24:31,0,3,7,0
2014-08-24 15:24:32,0,3,7,0
2014-08-24 15:24:33,0,3,8,0
2014-08-24 15:24:34,0,3,6,0
2014-08-24 15:24:35,0,3,6,0
2014-08-24 15:24:36,0,3,7,0
2014-08-24 15:24:37,0,3,7,0
2014-08-24 15:24:38,0,3,7,0
2014-08-24 15:24:39,0,3,7,0
2014-08-24 15:24:40,0,3,7,0
2014-08-24 15:24:41,0,4,7,0
2014-08-24 15:24:42,0,4,7,0
2014-08-24 15:24:43,0,4,7,0
2014-08-24 15:24:44,0,3,7,0
2014-08-24 15:24:45,0,1,7,0
2014-08-24 15:24:46,0,1,7,0
2014-08-24 15:24:47,0,3,7,0
2014-08-24 15:24:48,0,3,6,0
2014-08-24 15:24:49,0,3,6,0
2014-08-24 15:24:50,0,6,6,0
2014-08-24 15:24:51,0,6,6,0
2014-08-24 15:24:52,0,7,6,0
2014-08-24 15:24:53,0,4,7,0
2014-08-24 15:24:54,0,4,7,0
2014-08-24 15:24:55,0,4,7,0
2014-08-24 15:24:56,0,4,7,0
2014-08-24 15:24:57,0,4,7,0
2014-08-24 15:24:58,0,4,7,0
2014-08-24 15:24:59,0,4,6,0
2014-08-24 15:25:00,0,4,7,0
2014-08-24 15:25:01,0,4,7,0
2014-08-24 15:25:02,0,4,7,0
2014-08-24 15:25:03,0,4,7,0
2014-08-24 15:25:04,0,4,7,0
2014-08-24 15:25:05,0,3,7,0
2014-08-24 15:25:06,0,3,8,0
2014-08-24 15:25:07,0,3,7,0
2014-08-24 15:25:08,0,3,7,2
2014-08-24 15:25:09,0,3,7,5
2014-08-24 15:25:10,0,3,4,5
2014-08-24 15:25:11,0,3,2,7
2014-08-24 15:25:12,0,3,4,7
2014-08-24 15:25:13,0,3,4,7
2014-08-24 15:25:14,0,4,3,7
2014-08-24 15:25:15,2,4,4,7
2014-08-24 15:25:16,7,4,4,7
2014-08-24 15:25:17,7,4,3,7
2014-08-24 15:25:18,7,4,4,7
