time,christina,jonathan,charles,yvonne
2014-08-24 15:32:56,0,0,0,0
2014-08-24 15:32:57,8,0,0,0
2014-08-24 15:32:58,7,2,0,0
2014-08-24 15:32:59,7,2,0,0
2014-08-24 15:33:00,7,2,0,0
2014-08-24 15:33:01,7,2,2,0
2014-08-24 15:33:02,7,2,7,0
2014-08-24 15:33:03,7,2,7,0
2014-08-24 15:33:04,4,2,7,0
2014-08-24 15:33:05,4,2,7,0
2014-08-24 15:33:06,4,2,7,0
2014-08-24 15:33:07,4,2,7,0
2014-08-24 15:33:08,4,2,7,0
2014-08-24 15:33:09,4,2,7,0
2014-08-24 15:33:10,7,2,7,0
2014-08-24 15:33:11,4,2,7,0
2014-08-24 15:33:12,4,2,7,0
2014-08-24 15:33:13,4,2,7,0
2014-08-24 15:33:14,4,2,8,0
2014-08-24 15:33:15,4,2,7,0
2014-08-24 15:33:16,4,2,7,0
2014-08-24 15:33:17,4,2,7,0
2014-08-24 15:33:18,4,2,7,0
2014-08-24 15:33:19,4,2,7,0
2014-08-24 15:33:20,2,2,7,0
2014-08-24 15:33:21,4,2,7,0
2014-08-24 15:33:22,4,2,7,0
2014-08-24 15:33:23,4,2,7,0
2014-08-24 15:33:24,4,2,7,0
2014-08-24 15:33:25,4,1,7,0
2014-08-24 15:33:26,2,1,8,0
2014-08-24 15:33:27,2,1,8,0
2014-08-24 15:33:28,2,1,8,0
2014-08-24 15:33:29,2,1,8,0
2014-08-24 15:33:30,2,1,8,0
2014-08-24 15:33:31,2,1,8,0
2014-08-24 15:33:32,2,1,7,0
2014-08-24 15:33:33,2,1,8,0
2014-08-24 15:33:34,1,1,8,0
2014-08-24 15:33:35,2,1,7,2
2014-08-24 15:33:36,2,1,7,5
2014-08-24 15:33:37,2,1,8,3
2014-08-24 15:33:38,3,1,7,1
2014-08-24 15:33:39,2,1,7,1
2014-08-24 15:33:40,2,1,8,1
2014-08-24 15:33:41,4,1,8,1
2014-08-24 15:33:42,4,2,8,1
2014-08-24 15:33:43,8,2,8,1
2014-08-24 15:33:44,7,2,8,1
2014-08-24 15:33:45,0,2,8,1
2014-08-24 15:33:46,7,1,8,1
2014-08-24 15:33:47,4,1,8,1
2014-08-24 15:33:48,4,1,8,1
2014-08-24 15:33:49,4,1,7,3
2014-08-24 15:33:50,4,1,7,1
2014-08-24 15:33:51,4,2,8,5
2014-08-24 15:33:52,4,1,8,1
2014-08-24 15:33:53,4,1,8,1
2014-08-24 15:33:54,4,1,8,1
2014-08-24 15:33:55,2,1,8,1
2014-08-24 15:33:56,3,1,8,1
2014-08-24 15:33:57,3,1,8,1
2014-08-24 15:33:58,3,1,8,1
2014-08-24 15:33:59,3,1,8,1
