time,christina,charles,jonathan
2014-08-24 15:45:01,0,0,0
2014-08-24 15:45:02,2,0,0
2014-08-24 15:45:03,2,0,0
2014-08-24 15:45:04,2,0,0
2014-08-24 15:45:05,2,2,2
2014-08-24 15:45:06,2,2,2
2014-08-24 15:45:07,2,2,2
2014-08-24 15:45:08,2,2,2
2014-08-24 15:45:09,2,2,2
2014-08-24 15:45:10,0,0,2
2014-08-24 15:45:11,0,0,2
2014-08-24 15:45:12,0,0,2
2014-08-24 15:45:13,0,0,2
2014-08-24 15:45:14,0,0,0
2014-08-24 15:45:15,0,0,0
2014-08-24 15:45:16,0,0,0
2014-08-24 15:45:17,0,0,0
2014-08-24 15:45:18,0,0,0
2014-08-24 15:45:19,0,0,0
2014-08-24 15:45:20,0,0,0
2014-08-24 15:45:21,0,2,0
2014-08-24 15:45:22,0,2,0
2014-08-24 15:45:23,0,2,0
2014-08-24 15:45:24,0,2,0
2014-08-24 15:45:25,0,2,0
2014-08-24 15:45:26,0,2,0
2014-08-24 15:45:27,2,2,2
2014-08-24 15:45:28,2,2,2
2014-08-24 15:45:29,2,2,2
2014-08-24 15:45:30,3,2,2
2014-08-24 15:45:31,3,0,2
2014-08-24 15:45:32,3,0,2
2014-08-24 15:45:33,8,0,2
2014-08-24 15:45:34,8,2,2
2014-08-24 15:45:35,8,2,2
2014-08-24 15:45:36,2,2,2
2014-08-24 15:45:37,2,2,2
2014-08-24 15:45:38,2,2,2
2014-08-24 15:45:39,2,2,2
2014-08-24 15:45:40,2,2,2
2014-08-24 15:45:41,2,2,2
2014-08-24 15:45:42,2,2,2
2014-08-24 15:45:43,2,2,2
2014-08-24 15:45:44,2,2,2
2014-08-24 15:45:45,2,2,2
2014-08-24 15:45:46,2,2,2
2014-08-24 15:45:47,2,2,2
2014-08-24 15:45:48,0,0,2
2014-08-24 15:45:49,0,0,2
2014-08-24 15:45:50,2,2,2
2014-08-24 15:45:51,2,2,2
2014-08-24 15:45:52,3,2,2
2014-08-24 15:45:53,1,2,2
2014-08-24 15:45:54,1,2,2
2014-08-24 15:45:55,3,2,2
2014-08-24 15:45:56,1,2,2
2014-08-24 15:45:57,2,2,2
2014-08-24 15:45:58,2,2,2
2014-08-24 15:45:59,2,2,2
2014-08-24 15:46:00,2,2,2
2014-08-24 15:46:01,2,2,2
2014-08-24 15:46:02,2,2,2
2014-08-24 15:46:03,2,2,2
2014-08-24 15:46:04,2,2,2
2014-08-24 15:46:05,2,2,2
2014-08-24 15:46:06,3,2,2
2014-08-24 15:46:07,3,2,2
2014-08-24 15:46:08,3,2,2
2014-08-24 15:46:09,3,2,2
2014-08-24 15:46:10,3,2,2
2014-08-24 15:46:11,3,2,2
2014-08-24 15:46:12,3,2,2
2014-08-24 15:46:13,3,2,2
2014-08-24 15:46:14,3,2,2
2014-08-24 15:46:15,8,2,2
2014-08-24 15:46:16,1,2,2
2014-08-24 15:46:17,2,0,2
2014-08-24 15:46:18,3,2,2
2014-08-24 15:46:19,2,2,2
2014-08-24 15:46:20,2,2,1
2014-08-24 15:46:21,0,0,0
2014-08-24 15:46:22,0,0,0
