time,christina,jonathan,yvonne,charles
2014-08-24 15:47:43,0,0,0,0
2014-08-24 15:47:44,2,2,0,0
2014-08-24 15:47:45,2,2,0,0
2014-08-24 15:47:46,2,2,0,0
2014-08-24 15:47:47,2,2,2,0
2014-08-24 15:47:48,2,2,2,0
2014-08-24 15:47:49,2,0,2,0
2014-08-24 15:47:50,2,0,2,0
2014-08-24 15:47:51,2,0,2,0
2014-08-24 15:47:52,2,0,2,0
2014-08-24 15:47:53,2,0,0,0
2014-08-24 15:47:54,2,0,0,0
2014-08-24 15:47:55,0,0,0,0
2014-08-24 15:47:56,0,0,0,0
2014-08-24 15:47:57,0,0,0,0
2014-08-24 15:47:58,0,0,0,0
2014-08-24 15:47:59,0,0,0,0
2014-08-24 15:48:00,0,0,0,0
2014-08-24 15:48:01,0,0,0,0
2014-08-24 15:48:02,0,0,0,0
2014-08-24 15:48:03,0,0,0,0
2014-08-24 15:48:04,0,0,0,0
2014-08-24 15:48:05,0,0,0,0
2014-08-24 15:48:06,0,0,0,0
2014-08-24 15:48:07,0,0,0,0
2014-08-24 15:48:08,0,0,0,0
2014-08-24 15:48:09,0,0,0,0
2014-08-24 15:48:10,0,0,0,0
2014-08-24 15:48:11,0,0,0,0
2014-08-24 15:48:12,0,0,0,0
2014-08-24 15:48:13,0,0,0,0
2014-08-24 15:48:14,0,0,0,0
2014-08-24 15:48:15,0,0,0,0
2014-08-24 15:48:16,0,0,0,0
2014-08-24 15:48:17,0,0,0,0
2014-08-24 15:48:18,0,0,0,0
2014-08-24 15:48:19,0,0,0,0
2014-08-24 15:48:20,0,0,0,0
2014-08-24 15:48:21,0,0,0,0
2014-08-24 15:48:22,0,0,0,0
2014-08-24 15:48:23,0,0,0,0
2014-08-24 15:48:24,2,2,2,2
2014-08-24 15:48:25,2,2,2,2
2014-08-24 15:48:26,2,2,2,2
2014-08-24 15:48:27,2,2,2,2
2014-08-24 15:48:28,2,2,2,2
2014-08-24 15:48:29,2,2,2,2
2014-08-24 15:48:30,2,2,2,2
2014-08-24 15:48:31,2,2,2,2
2014-08-24 15:48:32,2,3,2,3
2014-08-24 15:48:33,3,4,2,3
2014-08-24 15:48:34,4,4,2,4
2014-08-24 15:48:35,4,4,2,8
2014-08-24 15:48:36,4,4,2,8
2014-08-24 15:48:37,4,4,2,8
2014-08-24 15:48:38,4,4,2,8
2014-08-24 15:48:39,4,4,2,8
2014-08-24 15:48:40,4,4,2,8
2014-08-24 15:48:41,4,4,2,8
2014-08-24 15:48:42,8,8,2,8
2014-08-24 15:48:43,3,3,2,8
2014-08-24 15:48:44,2,2,2,2
2014-08-24 15:48:45,2,2,2,2
2014-08-24 15:48:46,2,2,2,2
2014-08-24 15:48:47,2,2,2,2
2014-08-24 15:48:48,2,2,2,8
2014-08-24 15:48:49,3,2,2,8
2014-08-24 15:48:50,3,2,2,8
2014-08-24 15:48:51,4,3,2,8
2014-08-24 15:48:52,4,8,2,8
2014-08-24 15:48:53,4,8,2,8
2014-08-24 15:48:54,4,8,2,8
2014-08-24 15:48:55,3,8,2,8
2014-08-24 15:48:56,4,8,2,8
2014-08-24 15:48:57,4,8,2,8
2014-08-24 15:48:58,4,8,2,8
2014-08-24 15:48:59,4,8,2,8
2014-08-24 15:49:00,4,8,2,8
2014-08-24 15:49:01,3,8,2,3
2014-08-24 15:49:02,3,3,2,2
2014-08-24 15:49:03,2,2,2,2
2014-08-24 15:49:04,2,2,2,2
2014-08-24 15:49:05,2,2,2,2
2014-08-24 15:49:06,2,2,2,2
2014-08-24 15:49:07,2,2,2,2
2014-08-24 15:49:08,2,2,2,2
2014-08-24 15:49:09,2,2,2,2
2014-08-24 15:49:10,2,2,2,2
2014-08-24 15:49:11,2,2,2,2
2014-08-24 15:49:12,2,2,2,2
2014-08-24 15:49:13,2,2,2,2
2014-08-24 15:49:14,2,2,2,2
2014-08-24 15:49:15,2,2,2,2
2014-08-24 15:49:16,2,2,3,2
2014-08-24 15:49:17,2,2,3,2
2014-08-24 15:49:18,2,2,3,2
2014-08-24 15:49:19,2,2,3,2
2014-08-24 15:49:20,2,2,1,2
2014-08-24 15:49:21,2,2,2,2
2014-08-24 15:49:22,2,2,2,2
2014-08-24 15:49:23,2,2,2,2
2014-08-24 15:49:24,2,2,3,2
2014-08-24 15:49:25,2,2,3,2
2014-08-24 15:49:26,2,2,3,2
2014-08-24 15:49:27,2,2,3,2
2014-08-24 15:49:28,2,2,2,2
2014-08-24 15:49:29,2,2,2,2
2014-08-24 15:49:30,2,2,2,2
2014-08-24 15:49:31,2,2,2,2
2014-08-24 15:49:32,2,2,2,2
2014-08-24 15:49:33,2,2,2,2
2014-08-24 15:49:34,2,2,2,2
2014-08-24 15:49:35,2,2,2,2
2014-08-24 15:49:36,2,2,2,2
2014-08-24 15:49:37,2,2,2,2
2014-08-24 15:49:38,2,2,2,2
2014-08-24 15:49:39,2,2,2,2
2014-08-24 15:49:40,2,2,2,2
2014-08-24 15:49:41,2,2,2,2
2014-08-24 15:49:42,3,2,3,2
2014-08-24 15:49:43,2,2,2,2
2014-08-24 15:49:44,2,2,2,2
2014-08-24 15:49:45,2,2,2,2
2014-08-24 15:49:46,2,2,2,2
2014-08-24 15:49:47,2,2,2,2
2014-08-24 15:49:48,2,2,2,2
2014-08-24 15:49:49,2,2,2,2
2014-08-24 15:49:50,2,2,3,2
2014-08-24 15:49:51,2,2,2,2
2014-08-24 15:49:52,2,2,2,2
2014-08-24 15:49:53,2,3,3,2
2014-08-24 15:49:54,2,2,3,2
2014-08-24 15:49:55,2,2,3,2
2014-08-24 15:49:56,2,2,3,2
2014-08-24 15:49:57,2,2,3,2
2014-08-24 15:49:58,2,2,3,2
2014-08-24 15:49:59,2,2,3,2
2014-08-24 15:50:00,4,3,3,4
2014-08-24 15:50:01,4,8,4,4
2014-08-24 15:50:02,4,8,4,4
2014-08-24 15:50:03,7,7,4,7
2014-08-24 15:50:04,7,7,7,7
2014-08-24 15:50:05,7,7,4,7
2014-08-24 15:50:06,7,7,4,7
2014-08-24 15:50:07,7,7,7,7
2014-08-24 15:50:08,7,7,7,7
2014-08-24 15:50:09,7,7,7,7
2014-08-24 15:50:10,7,7,7,7
2014-08-24 15:50:11,7,7,7,7
2014-08-24 15:50:12,7,7,7,7
2014-08-24 15:50:13,7,7,4,7
2014-08-24 15:50:14,7,7,7,7
2014-08-24 15:50:15,7,7,7,7
2014-08-24 15:50:16,7,7,7,7
2014-08-24 15:50:17,7,7,7,7
2014-08-24 15:50:18,7,7,7,7
2014-08-24 15:50:19,7,7,6,7
2014-08-24 15:50:20,7,7,7,7
2014-08-24 15:50:21,7,7,6,7
2014-08-24 15:50:22,7,7,7,7
2014-08-24 15:50:23,7,7,6,7
2014-08-24 15:50:24,7,7,7,7
2014-08-24 15:50:25,7,7,4,7
2014-08-24 15:50:26,7,7,7,7
2014-08-24 15:50:27,7,7,7,7
2014-08-24 15:50:28,7,7,4,7
2014-08-24 15:50:29,7,7,7,7
2014-08-24 15:50:30,7,7,7,7
2014-08-24 15:50:31,7,7,7,7
2014-08-24 15:50:32,7,7,4,7
2014-08-24 15:50:33,7,7,7,7
2014-08-24 15:50:34,4,7,7,7
2014-08-24 15:50:35,4,7,7,7
2014-08-24 15:50:36,4,7,4,7
2014-08-24 15:50:37,4,7,4,7
2014-08-24 15:50:38,7,7,4,7
2014-08-24 15:50:39,7,7,4,7
2014-08-24 15:50:40,7,7,4,7
2014-08-24 15:50:41,7,7,4,7
2014-08-24 15:50:42,7,7,6,7
2014-08-24 15:50:43,7,7,4,7
2014-08-24 15:50:44,8,4,4,7
2014-08-24 15:50:45,4,7,4,7
2014-08-24 15:50:46,4,4,4,7
2014-08-24 15:50:47,4,7,4,7
2014-08-24 15:50:48,4,4,4,7
2014-08-24 15:50:49,7,7,4,7
2014-08-24 15:50:50,7,7,4,7
2014-08-24 15:50:51,7,7,4,7
2014-08-24 15:50:52,7,7,6,7
2014-08-24 15:50:53,7,7,6,7
2014-08-24 15:50:54,7,7,6,7
2014-08-24 15:50:55,7,7,7,7
2014-08-24 15:50:56,7,7,7,7
2014-08-24 15:50:57,7,7,7,7
2014-08-24 15:50:58,7,7,7,7
2014-08-24 15:50:59,7,7,7,7
2014-08-24 15:51:00,7,7,4,7
2014-08-24 15:51:01,7,7,4,7
2014-08-24 15:51:02,7,7,4,7
2014-08-24 15:51:03,7,7,4,7
2014-08-24 15:51:04,8,4,4,7
2014-08-24 15:51:05,8,4,4,7
2014-08-24 15:51:06,8,4,4,7
2014-08-24 15:51:07,8,4,4,7
2014-08-24 15:51:08,8,4,4,7
2014-08-24 15:51:09,8,7,4,7
2014-08-24 15:51:10,8,7,4,7
2014-08-24 15:51:11,8,7,7,7
2014-08-24 15:51:12,8,7,7,7
2014-08-24 15:51:13,8,7,7,7
2014-08-24 15:51:14,8,7,7,7
2014-08-24 15:51:15,8,7,7,7
2014-08-24 15:51:16,8,7,7,7
2014-08-24 15:51:17,8,7,7,7
2014-08-24 15:51:18,8,7,7,7
2014-08-24 15:51:19,8,7,7,8
2014-08-24 15:51:20,8,7,7,7
2014-08-24 15:51:21,8,7,7,7
2014-08-24 15:51:22,8,7,7,7
2014-08-24 15:51:23,8,7,7,7
2014-08-24 15:51:24,8,7,7,7
2014-08-24 15:51:25,8,7,4,7
2014-08-24 15:51:26,8,7,7,7
2014-08-24 15:51:27,8,7,4,8
2014-08-24 15:51:28,7,7,7,7
2014-08-24 15:51:29,8,7,7,7
2014-08-24 15:51:30,7,7,7,7
2014-08-24 15:51:31,7,7,7,7
2014-08-24 15:51:32,7,7,4,7
2014-08-24 15:51:33,7,7,7,7
2014-08-24 15:51:34,7,4,4,6
2014-08-24 15:51:35,4,4,4,7
2014-08-24 15:51:36,4,4,4,4
2014-08-24 15:51:37,4,4,4,4
2014-08-24 15:51:38,4,4,4,4
2014-08-24 15:51:39,4,4,4,7
2014-08-24 15:51:40,7,4,7,4
2014-08-24 15:51:41,4,4,7,4
2014-08-24 15:51:42,4,4,7,4
2014-08-24 15:51:43,4,4,4,4
2014-08-24 15:51:44,4,4,7,4
2014-08-24 15:51:45,4,4,4,4
2014-08-24 15:51:46,4,4,4,4
2014-08-24 15:51:47,4,4,4,4
2014-08-24 15:51:48,7,4,4,7
2014-08-24 15:51:49,4,4,4,8
2014-08-24 15:51:50,4,4,4,7
2014-08-24 15:51:51,4,4,4,4
2014-08-24 15:51:52,4,4,4,7
2014-08-24 15:51:53,4,4,4,4
2014-08-24 15:51:54,4,4,4,7
2014-08-24 15:51:55,4,4,4,4
2014-08-24 15:51:56,4,4,4,6
2014-08-24 15:51:57,4,4,4,4
2014-08-24 15:51:58,7,7,4,7
2014-08-24 15:51:59,4,4,4,7
2014-08-24 15:52:00,7,4,4,4
2014-08-24 15:52:01,4,4,4,8
