time,christina,jonathan
2014-08-24 16:10:02,0,0
2014-08-24 16:10:03,2,0
2014-08-24 16:10:04,2,0
2014-08-24 16:10:05,2,0
2014-08-24 16:10:06,2,0
2014-08-24 16:10:07,3,0
2014-08-24 16:10:08,2,0
2014-08-24 16:10:09,2,0
2014-08-24 16:10:10,2,0
2014-08-24 16:10:11,2,0
2014-08-24 16:10:12,0,0
2014-08-24 16:10:13,0,0
2014-08-24 16:10:14,0,0
2014-08-24 16:10:15,0,0
2014-08-24 16:10:16,2,0
2014-08-24 16:10:17,2,0
2014-08-24 16:10:18,4,0
2014-08-24 16:10:19,4,0
2014-08-24 16:10:20,4,0
2014-08-24 16:10:21,4,0
2014-08-24 16:10:22,4,0
2014-08-24 16:10:23,4,0
2014-08-24 16:10:24,4,0
2014-08-24 16:10:25,4,2
2014-08-24 16:10:26,4,4
2014-08-24 16:10:27,4,4
2014-08-24 16:10:28,4,4
2014-08-24 16:10:29,4,4
2014-08-24 16:10:30,4,4
2014-08-24 16:10:31,0,4
2014-08-24 16:10:32,0,3
2014-08-24 16:10:33,0,3
2014-08-24 16:10:34,0,3
2014-08-24 16:10:35,0,3
2014-08-24 16:10:36,0,2
2014-08-24 16:10:37,0,2
2014-08-24 16:10:38,0,0
2014-08-24 16:10:39,0,0
2014-08-24 16:10:40,0,0
2014-08-24 16:10:41,0,0
2014-08-24 16:10:42,0,0
2014-08-24 16:10:43,0,0
2014-08-24 16:10:44,0,0
2014-08-24 16:10:45,0,0
2014-08-24 16:10:46,0,0
2014-08-24 16:10:47,0,0
2014-08-24 16:10:48,0,0
2014-08-24 16:10:49,0,0
2014-08-24 16:10:50,0,0
2014-08-24 16:10:51,0,0
2014-08-24 16:10:52,0,0
2014-08-24 16:10:53,0,0
2014-08-24 16:10:54,0,0
2014-08-24 16:10:55,0,0
2014-08-24 16:10:56,0,0
2014-08-24 16:10:57,0,0
2014-08-24 16:10:58,0,0
2014-08-24 16:10:59,0,0
2014-08-24 16:11:00,0,0
2014-08-24 16:11:01,0,2
2014-08-24 16:11:02,0,2
2014-08-24 16:11:03,0,2
2014-08-24 16:11:04,0,3
2014-08-24 16:11:05,0,3
2014-08-24 16:11:06,0,3
2014-08-24 16:11:07,0,3
2014-08-24 16:11:08,0,3
2014-08-24 16:11:09,0,3
2014-08-24 16:11:10,0,3
2014-08-24 16:11:11,0,2
2014-08-24 16:11:12,0,2
2014-08-24 16:11:13,0,2
2014-08-24 16:11:14,0,2
2014-08-24 16:11:15,0,2
2014-08-24 16:11:16,0,2
2014-08-24 16:11:17,0,0
2014-08-24 16:11:18,0,0
2014-08-24 16:11:19,0,2
2014-08-24 16:11:20,0,2
