time,charles_ipadair
2015-02-07 17:20:17,0
2015-02-07 17:20:18,7
2015-02-07 17:20:19,4
2015-02-07 17:20:20,4
2015-02-07 17:20:21,4
2015-02-07 17:20:22,4
2015-02-07 17:20:23,4
2015-02-07 17:20:24,4
2015-02-07 17:20:25,4
2015-02-07 17:20:26,4
2015-02-07 17:20:27,4
2015-02-07 17:20:28,4
2015-02-07 17:20:29,4
2015-02-07 17:20:30,4
2015-02-07 17:20:31,4
2015-02-07 17:20:32,4
2015-02-07 17:20:33,4
2015-02-07 17:20:34,4
2015-02-07 17:20:35,4
2015-02-07 17:20:36,4
2015-02-07 17:20:37,4
2015-02-07 17:20:38,4
2015-02-07 17:20:39,4
2015-02-07 17:20:40,4
2015-02-07 17:20:41,3
2015-02-07 17:20:42,0
2015-02-07 17:20:43,7
2015-02-07 17:20:44,7
2015-02-07 17:20:45,4
2015-02-07 17:20:46,4
2015-02-07 17:20:47,6
2015-02-07 17:20:48,6
2015-02-07 17:20:49,4
2015-02-07 17:20:50,4
2015-02-07 17:20:51,4
2015-02-07 17:20:52,4
2015-02-07 17:20:53,4
2015-02-07 17:20:54,4
2015-02-07 17:20:55,4
2015-02-07 17:20:56,4
2015-02-07 17:20:57,4
2015-02-07 17:20:58,7
2015-02-07 17:20:59,4
2015-02-07 17:21:00,4
2015-02-07 17:21:01,4
2015-02-07 17:21:02,4
2015-02-07 17:21:03,4
2015-02-07 17:21:04,4
2015-02-07 17:21:05,4
2015-02-07 17:21:06,4
2015-02-07 17:21:07,4
2015-02-07 17:21:08,4
2015-02-07 17:21:09,4
2015-02-07 17:21:10,3
2015-02-07 17:21:11,3
2015-02-07 17:21:12,3
2015-02-07 17:21:13,4
2015-02-07 17:21:14,4
2015-02-07 17:21:15,4
2015-02-07 17:21:16,4
2015-02-07 17:21:17,4
2015-02-07 17:21:18,4
2015-02-07 17:21:19,4
2015-02-07 17:21:20,4
2015-02-07 17:21:21,0
2015-02-07 17:21:22,0
2015-02-07 17:21:23,0
2015-02-07 17:21:24,0
2015-02-07 17:21:25,0
2015-02-07 17:21:26,0
2015-02-07 17:21:27,0
2015-02-07 17:21:28,0
2015-02-07 17:21:29,0
2015-02-07 17:21:30,0
2015-02-07 17:21:31,0
2015-02-07 17:21:32,0
2015-02-07 17:21:33,0
2015-02-07 17:21:34,0
2015-02-07 17:21:35,0
2015-02-07 17:21:36,0
2015-02-07 17:21:37,0
2015-02-07 17:21:38,0
2015-02-07 17:21:39,2
2015-02-07 17:21:40,3
2015-02-07 17:21:41,3
2015-02-07 17:21:42,3
2015-02-07 17:21:43,3
2015-02-07 17:21:44,3
2015-02-07 17:21:45,3
2015-02-07 17:21:46,3
2015-02-07 17:21:47,3
2015-02-07 17:21:48,3
2015-02-07 17:21:49,3
2015-02-07 17:21:50,3
2015-02-07 17:21:51,3
2015-02-07 17:21:52,3
2015-02-07 17:21:53,3
2015-02-07 17:21:54,3
2015-02-07 17:21:55,3
2015-02-07 17:21:56,3
2015-02-07 17:21:57,3
2015-02-07 17:21:58,3
2015-02-07 17:21:59,3
2015-02-07 17:22:00,3
2015-02-07 17:22:01,3
2015-02-07 17:22:02,3
2015-02-07 17:22:03,2
2015-02-07 17:22:04,2
2015-02-07 17:22:05,2
2015-02-07 17:22:06,4
2015-02-07 17:22:07,3
2015-02-07 17:22:08,3
2015-02-07 17:22:09,3
2015-02-07 17:22:10,3
2015-02-07 17:22:11,3
2015-02-07 17:22:12,3
2015-02-07 17:22:13,3
2015-02-07 17:22:14,3
2015-02-07 17:22:15,3
2015-02-07 17:22:16,3
2015-02-07 17:22:17,3
2015-02-07 17:22:18,3
2015-02-07 17:22:19,3
2015-02-07 17:22:20,3
2015-02-07 17:22:21,3
2015-02-07 17:22:22,3
2015-02-07 17:22:23,3
2015-02-07 17:22:24,3
2015-02-07 17:22:25,3
2015-02-07 17:22:26,3
2015-02-07 17:22:27,3
2015-02-07 17:22:28,3
2015-02-07 17:22:29,4
2015-02-07 17:22:30,2
2015-02-07 17:22:31,3
2015-02-07 17:22:32,3
2015-02-07 17:22:33,3
2015-02-07 17:22:34,3
2015-02-07 17:22:35,3
2015-02-07 17:22:36,3
2015-02-07 17:22:37,3
2015-02-07 17:22:38,3
2015-02-07 17:22:39,3
2015-02-07 17:22:40,3
2015-02-07 17:22:41,2
2015-02-07 17:22:42,0
2015-02-07 17:22:43,0
2015-02-07 17:22:44,0
2015-02-07 17:22:45,0
2015-02-07 17:22:46,0
2015-02-07 17:22:47,0
2015-02-07 17:22:48,0
2015-02-07 17:22:49,0
2015-02-07 17:22:50,0
2015-02-07 17:22:51,0
2015-02-07 17:22:52,0
2015-02-07 17:22:53,0
2015-02-07 17:22:54,0
2015-02-07 17:22:55,0
2015-02-07 17:22:56,0
2015-02-07 17:22:57,0
2015-02-07 17:22:58,2
2015-02-07 17:22:59,5
2015-02-07 17:23:00,5
2015-02-07 17:23:01,5
2015-02-07 17:23:02,5
2015-02-07 17:23:03,5
2015-02-07 17:23:04,5
2015-02-07 17:23:05,5
2015-02-07 17:23:06,5
2015-02-07 17:23:07,5
2015-02-07 17:23:08,5
2015-02-07 17:23:09,5
2015-02-07 17:23:10,5
2015-02-07 17:23:11,5
2015-02-07 17:23:12,5
2015-02-07 17:23:13,5
2015-02-07 17:23:14,5
2015-02-07 17:23:15,5
2015-02-07 17:23:16,5
2015-02-07 17:23:17,5
2015-02-07 17:23:18,5
2015-02-07 17:23:19,5
2015-02-07 17:23:20,5
2015-02-07 17:23:21,5
2015-02-07 17:23:22,5
2015-02-07 17:23:23,5
2015-02-07 17:23:24,5
2015-02-07 17:23:25,5
2015-02-07 17:23:26,5
2015-02-07 17:23:27,2
2015-02-07 17:23:28,5
2015-02-07 17:23:29,5
2015-02-07 17:23:30,5
2015-02-07 17:23:31,5
2015-02-07 17:23:32,5
2015-02-07 17:23:33,5
2015-02-07 17:23:34,5
