time,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,275913F5-90E9-4C82-B94C-29A8AA3B4C57
2015-03-20 13:40:47,0,0,0,0,0,0
2015-03-20 13:40:48,6,2,2,2,2,0
2015-03-20 13:40:49,7,6,7,6,7,8
2015-03-20 13:40:50,7,7,7,6,7,7
2015-03-20 13:40:51,7,7,8,7,7,7
2015-03-20 13:40:52,7,7,7,7,7,7
2015-03-20 13:40:53,7,7,7,7,7,7
2015-03-20 13:40:54,7,7,7,7,5,7
2015-03-20 13:40:55,7,7,7,7,5,7
2015-03-20 13:40:56,6,7,7,7,5,7
2015-03-20 13:40:57,6,7,7,7,5,7
2015-03-20 13:40:58,8,7,7,7,5,7
2015-03-20 13:40:59,8,7,7,7,5,7
2015-03-20 13:41:00,6,7,7,7,5,7
2015-03-20 13:41:01,8,7,7,7,5,7
2015-03-20 13:41:02,8,7,7,7,5,7
2015-03-20 13:41:03,8,7,7,7,7,7
2015-03-20 13:41:04,8,7,7,7,7,7
2015-03-20 13:41:05,7,7,8,7,7,7
2015-03-20 13:41:06,6,7,7,7,7,6
2015-03-20 13:41:07,6,7,7,7,7,7
2015-03-20 13:41:08,6,7,7,7,7,7
2015-03-20 13:41:09,7,7,7,7,7,6
2015-03-20 13:41:10,8,7,7,7,7,6
2015-03-20 13:41:11,8,7,7,7,7,6
2015-03-20 13:41:12,8,7,7,7,7,6
2015-03-20 13:41:13,8,7,7,7,7,7
2015-03-20 13:41:14,7,7,7,7,8,6
2015-03-20 13:41:15,7,7,7,7,4,7
2015-03-20 13:41:16,7,7,7,7,4,6
2015-03-20 13:41:17,7,7,7,7,4,6
2015-03-20 13:41:18,7,7,7,7,3,7
2015-03-20 13:41:19,7,7,7,7,3,7
2015-03-20 13:41:20,8,7,7,7,8,7
2015-03-20 13:41:21,8,7,7,7,7,7
2015-03-20 13:41:22,8,7,7,7,7,7
2015-03-20 13:41:23,8,7,7,7,7,7
2015-03-20 13:41:24,8,7,7,7,7,7
2015-03-20 13:41:25,7,7,7,7,7,7
2015-03-20 13:41:26,7,7,7,7,7,7
2015-03-20 13:41:27,7,7,6,7,7,7
2015-03-20 13:41:28,7,7,7,7,7,7
2015-03-20 13:41:29,7,7,7,7,7,7
2015-03-20 13:41:30,7,7,7,7,7,7
2015-03-20 13:41:31,8,7,7,7,7,7
2015-03-20 13:41:32,8,7,7,7,7,7
2015-03-20 13:41:33,8,7,7,6,7,7
2015-03-20 13:41:34,8,7,7,6,7,7
2015-03-20 13:41:35,8,5,7,6,7,7
2015-03-20 13:41:36,8,5,7,2,7,7
2015-03-20 13:41:37,7,5,7,2,7,7
2015-03-20 13:41:38,7,5,7,2,7,7
2015-03-20 13:41:39,7,5,7,2,7,7
2015-03-20 13:41:40,7,7,7,2,7,7
2015-03-20 13:41:41,7,7,7,2,7,7
2015-03-20 13:41:42,7,7,7,2,7,7
2015-03-20 13:41:43,7,7,7,2,6,7
2015-03-20 13:41:44,7,7,7,2,6,7
2015-03-20 13:41:45,7,5,7,2,6,7
2015-03-20 13:41:46,8,5,7,2,6,7
2015-03-20 13:41:47,8,7,7,2,6,7
2015-03-20 13:41:48,2,5,7,2,7,7
