time,24C41EC3-7ECC-40DA-B942-7ABE23017E74,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,275913F5-90E9-4C82-B94C-29A8AA3B4C57,7FC04E34-F3AE-4764-9432-DD032ED6C36B,2FA454D2-F35D-45D6-BE5D-D848B409B713,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-03-20 13:49:15,0,0,0,0,0,0
2015-03-20 13:49:16,2,0,0,0,0,0
2015-03-20 13:49:17,2,0,0,0,0,0
2015-03-20 13:49:18,3,0,0,0,0,0
2015-03-20 13:49:19,3,0,0,0,0,0
2015-03-20 13:49:20,3,0,0,0,0,0
2015-03-20 13:49:21,3,0,0,0,0,0
2015-03-20 13:49:22,3,0,0,0,0,0
2015-03-20 13:49:23,0,0,0,0,0,0
2015-03-20 13:49:24,0,0,0,0,0,0
2015-03-20 13:49:25,0,0,0,0,0,0
2015-03-20 13:49:26,0,0,0,0,0,0
2015-03-20 13:49:27,0,0,0,0,0,0
2015-03-20 13:49:28,0,0,0,0,0,0
2015-03-20 13:49:29,0,0,0,0,0,0
2015-03-20 13:49:30,0,0,0,0,0,0
2015-03-20 13:49:31,0,0,0,0,0,0
2015-03-20 13:49:32,0,0,0,0,0,0
2015-03-20 13:49:33,0,0,0,0,0,0
2015-03-20 13:49:34,0,0,0,0,0,0
2015-03-20 13:49:35,0,0,0,0,0,0
2015-03-20 13:49:36,0,0,0,0,0,0
2015-03-20 13:49:37,0,0,0,0,0,0
2015-03-20 13:49:38,0,0,0,0,0,0
2015-03-20 13:49:39,0,0,0,0,0,0
2015-03-20 13:49:40,0,0,0,0,0,0
2015-03-20 13:49:41,0,0,0,0,0,0
2015-03-20 13:49:42,0,0,0,0,0,0
2015-03-20 13:49:43,0,0,0,0,0,0
2015-03-20 13:49:44,0,0,0,0,0,0
2015-03-20 13:49:45,0,2,0,0,0,0
2015-03-20 13:49:46,0,2,0,0,0,0
2015-03-20 13:49:47,0,2,2,0,0,0
2015-03-20 13:49:48,2,1,1,0,0,0
2015-03-20 13:49:49,2,1,1,0,0,0
2015-03-20 13:49:50,2,2,1,0,0,0
2015-03-20 13:49:51,1,2,1,3,0,0
2015-03-20 13:49:52,1,2,1,3,0,0
2015-03-20 13:49:53,1,0,3,3,0,0
2015-03-20 13:49:54,3,0,3,3,0,0
2015-03-20 13:49:55,1,0,3,3,0,0
2015-03-20 13:49:56,3,0,3,3,0,0
2015-03-20 13:49:57,3,0,3,0,0,0
2015-03-20 13:49:58,3,0,2,0,0,0
2015-03-20 13:49:59,3,0,2,0,0,0
2015-03-20 13:50:00,3,2,0,0,0,0
2015-03-20 13:50:01,4,1,0,0,0,0
2015-03-20 13:50:02,4,1,0,0,0,0
2015-03-20 13:50:03,4,1,2,0,0,0
2015-03-20 13:50:04,4,1,2,0,0,0
2015-03-20 13:50:05,4,1,1,0,0,0
2015-03-20 13:50:06,3,1,1,0,0,0
2015-03-20 13:50:07,4,1,1,0,0,0
2015-03-20 13:50:08,3,2,1,0,0,0
2015-03-20 13:50:09,2,2,1,0,0,0
2015-03-20 13:50:10,2,0,1,0,0,0
2015-03-20 13:50:11,2,0,1,0,0,0
2015-03-20 13:50:12,2,0,2,0,0,0
2015-03-20 13:50:13,2,0,2,0,0,0
2015-03-20 13:50:14,2,0,0,0,0,0
2015-03-20 13:50:15,2,0,0,0,0,0
2015-03-20 13:50:16,2,0,0,0,0,0
2015-03-20 13:50:17,0,0,0,0,0,0
2015-03-20 13:50:18,0,0,0,0,0,0
2015-03-20 13:50:19,0,0,0,0,0,0
2015-03-20 13:50:20,0,0,0,0,0,0
2015-03-20 13:50:21,0,0,0,0,0,0
2015-03-20 13:50:22,0,0,0,0,0,0
2015-03-20 13:50:23,2,4,4,0,0,0
2015-03-20 13:50:24,4,3,4,0,0,0
2015-03-20 13:50:25,7,3,3,0,0,0
2015-03-20 13:50:26,8,1,3,8,2,0
2015-03-20 13:50:27,8,8,8,3,2,0
2015-03-20 13:50:28,8,8,8,3,2,0
2015-03-20 13:50:29,8,8,8,8,2,0
2015-03-20 13:50:30,8,8,8,8,2,0
2015-03-20 13:50:31,8,1,8,8,0,0
2015-03-20 13:50:32,8,3,8,8,0,0
2015-03-20 13:50:33,8,3,8,1,0,0
2015-03-20 13:50:34,8,4,8,1,0,0
2015-03-20 13:50:35,8,0,8,3,0,0
2015-03-20 13:50:36,8,0,8,3,0,0
2015-03-20 13:50:37,8,0,8,2,0,0
2015-03-20 13:50:38,8,0,1,2,0,0
2015-03-20 13:50:39,8,0,3,6,0,0
2015-03-20 13:50:40,8,0,3,7,0,0
2015-03-20 13:50:41,8,0,3,7,0,0
2015-03-20 13:50:42,8,0,1,7,0,0
2015-03-20 13:50:43,8,0,8,8,0,0
2015-03-20 13:50:44,8,0,8,3,0,0
2015-03-20 13:50:45,8,0,8,3,0,0
2015-03-20 13:50:46,3,0,8,3,0,0
2015-03-20 13:50:47,3,0,1,1,0,0
2015-03-20 13:50:48,3,0,3,2,0,0
2015-03-20 13:50:49,2,0,3,2,0,0
2015-03-20 13:50:50,2,0,2,2,0,0
2015-03-20 13:50:51,2,0,2,2,0,0
2015-03-20 13:50:52,2,0,2,0,0,0
2015-03-20 13:50:53,2,0,2,0,0,0
2015-03-20 13:50:54,2,0,2,0,0,0
2015-03-20 13:50:55,2,0,2,0,0,0
2015-03-20 13:50:56,7,0,2,0,0,0
2015-03-20 13:50:57,4,0,2,0,0,0
2015-03-20 13:50:58,7,0,2,0,0,0
2015-03-20 13:50:59,7,0,2,0,0,0
2015-03-20 13:51:00,7,0,2,0,0,0
2015-03-20 13:51:01,4,0,2,0,0,0
2015-03-20 13:51:02,4,0,2,0,0,0
2015-03-20 13:51:03,4,0,2,0,0,0
2015-03-20 13:51:04,4,0,2,0,0,0
2015-03-20 13:51:05,4,0,2,0,0,0
2015-03-20 13:51:06,4,0,2,0,0,0
2015-03-20 13:51:07,4,0,2,0,0,0
2015-03-20 13:51:08,4,0,2,2,0,0
2015-03-20 13:51:09,4,0,0,2,0,0
2015-03-20 13:51:10,4,0,0,2,0,0
2015-03-20 13:51:11,4,0,0,0,0,0
2015-03-20 13:51:12,4,0,0,0,0,0
2015-03-20 13:51:13,4,0,2,0,0,0
2015-03-20 13:51:14,4,0,2,0,0,0
2015-03-20 13:51:15,3,0,2,0,0,0
2015-03-20 13:51:16,3,0,2,0,0,0
2015-03-20 13:51:17,3,0,2,0,0,0
2015-03-20 13:51:18,3,0,2,0,0,0
2015-03-20 13:51:19,3,0,2,0,0,0
2015-03-20 13:51:20,3,0,2,0,0,0
2015-03-20 13:51:21,3,0,7,0,0,0
2015-03-20 13:51:22,3,0,2,0,0,0
2015-03-20 13:51:23,3,0,2,0,0,0
2015-03-20 13:51:24,3,0,2,0,0,0
2015-03-20 13:51:25,3,0,2,0,0,0
2015-03-20 13:51:26,2,0,2,0,0,0
2015-03-20 13:51:27,0,0,2,0,0,0
2015-03-20 13:51:28,0,0,0,0,0,0
2015-03-20 13:51:29,0,0,0,0,0,0
2015-03-20 13:51:30,0,0,0,0,0,0
2015-03-20 13:51:31,0,0,2,0,0,0
2015-03-20 13:51:32,2,0,2,0,0,0
2015-03-20 13:51:33,2,0,2,0,0,0
2015-03-20 13:51:34,2,0,2,0,0,0
2015-03-20 13:51:35,2,0,2,0,0,0
2015-03-20 13:51:36,2,0,0,0,0,0
2015-03-20 13:51:37,2,0,0,0,0,0
2015-03-20 13:51:38,2,0,0,0,0,0
2015-03-20 13:51:39,2,0,0,0,0,0
2015-03-20 13:51:40,2,0,0,0,0,0
2015-03-20 13:51:41,2,0,0,0,0,0
2015-03-20 13:51:42,0,0,0,0,0,0
2015-03-20 13:51:43,0,0,2,0,0,0
2015-03-20 13:51:44,0,0,0,0,0,0
2015-03-20 13:51:45,0,0,0,0,0,0
2015-03-20 13:51:46,0,0,0,0,0,0
2015-03-20 13:51:47,0,0,0,0,0,0
2015-03-20 13:51:48,0,0,0,0,0,0
2015-03-20 13:51:49,0,0,0,0,0,0
2015-03-20 13:51:50,0,0,0,0,0,0
2015-03-20 13:51:51,0,0,0,0,0,0
2015-03-20 13:51:52,0,0,0,0,0,0
2015-03-20 13:51:53,1,0,2,0,0,0
2015-03-20 13:51:54,2,0,2,0,0,0
2015-03-20 13:51:55,2,0,2,0,0,0
2015-03-20 13:51:56,2,0,2,0,0,0
2015-03-20 13:51:57,2,0,2,0,0,0
2015-03-20 13:51:58,2,0,0,0,0,0
2015-03-20 13:51:59,3,0,0,0,0,0
2015-03-20 13:52:00,1,0,2,0,0,0
2015-03-20 13:52:01,1,0,2,0,0,0
2015-03-20 13:52:02,2,0,2,0,0,0
2015-03-20 13:52:03,2,0,2,0,0,0
2015-03-20 13:52:04,2,0,2,0,0,0
2015-03-20 13:52:05,2,0,2,0,0,0
2015-03-20 13:52:06,2,0,2,0,0,0
2015-03-20 13:52:07,2,0,2,0,0,0
2015-03-20 13:52:08,2,0,2,0,0,0
2015-03-20 13:52:09,2,0,5,0,0,0
2015-03-20 13:52:10,2,0,5,0,0,0
2015-03-20 13:52:11,2,0,5,0,0,0
2015-03-20 13:52:12,2,0,5,0,0,0
2015-03-20 13:52:13,2,0,5,0,0,0
2015-03-20 13:52:14,2,0,5,0,0,0
2015-03-20 13:52:15,2,0,0,0,0,0
2015-03-20 13:52:16,2,0,0,0,0,0
2015-03-20 13:52:17,2,0,0,0,0,0
2015-03-20 13:52:18,2,0,0,0,0,0
2015-03-20 13:52:19,2,0,0,0,0,0
2015-03-20 13:52:20,2,0,0,0,0,0
2015-03-20 13:52:21,2,0,2,0,0,0
2015-03-20 13:52:22,2,0,2,0,0,0
2015-03-20 13:52:23,2,0,2,0,0,0
2015-03-20 13:52:24,2,0,2,0,0,0
2015-03-20 13:52:25,2,0,2,0,0,0
2015-03-20 13:52:26,2,0,0,0,0,0
2015-03-20 13:52:27,2,0,0,0,0,0
2015-03-20 13:52:28,2,0,0,0,0,0
2015-03-20 13:52:29,2,0,0,0,0,0
2015-03-20 13:52:30,8,0,0,0,0,0
2015-03-20 13:52:31,8,0,0,0,0,0
2015-03-20 13:52:32,8,0,0,0,0,0
2015-03-20 13:52:33,4,0,0,0,0,0
2015-03-20 13:52:34,4,0,0,0,0,0
2015-03-20 13:52:35,4,0,0,0,0,0
2015-03-20 13:52:36,4,0,0,0,0,0
2015-03-20 13:52:37,4,0,0,0,0,0
2015-03-20 13:52:38,4,0,0,0,0,0
2015-03-20 13:52:39,4,0,0,0,0,0
2015-03-20 13:52:40,2,0,0,0,0,0
2015-03-20 13:52:41,2,0,0,0,0,0
2015-03-20 13:52:42,2,0,0,0,0,0
2015-03-20 13:52:43,2,0,0,0,0,0
2015-03-20 13:52:44,2,0,0,0,0,0
2015-03-20 13:52:45,2,0,0,0,0,0
2015-03-20 13:52:46,0,0,0,0,0,0
2015-03-20 13:52:47,0,0,0,0,0,0
2015-03-20 13:52:48,0,0,0,0,0,0
2015-03-20 13:52:49,0,0,0,0,0,0
2015-03-20 13:52:50,0,0,0,0,0,0
