time,275913F5-90E9-4C82-B94C-29A8AA3B4C57,24C41EC3-7ECC-40DA-B942-7ABE23017E74,7FC04E34-F3AE-4764-9432-DD032ED6C36B,BD49B35A-8999-4987-9759-8D3F28D1292B,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-20 13:53:24,0,0,0,0,0
2015-03-20 13:53:25,2,0,0,0,0
2015-03-20 13:53:26,2,0,0,0,0
2015-03-20 13:53:27,2,0,0,0,0
2015-03-20 13:53:28,2,0,0,0,0
2015-03-20 13:53:29,2,2,0,0,0
2015-03-20 13:53:30,0,2,0,0,0
2015-03-20 13:53:31,0,2,0,0,0
2015-03-20 13:53:32,0,8,0,0,0
2015-03-20 13:53:33,0,8,2,0,0
2015-03-20 13:53:34,2,8,2,0,0
2015-03-20 13:53:35,2,8,2,0,0
2015-03-20 13:53:36,2,8,2,0,0
2015-03-20 13:53:37,2,4,2,0,0
2015-03-20 13:53:38,2,4,0,0,0
2015-03-20 13:53:39,0,4,0,0,0
2015-03-20 13:53:40,0,4,0,0,0
2015-03-20 13:53:41,0,4,0,0,0
2015-03-20 13:53:42,0,4,0,0,0
2015-03-20 13:53:43,0,4,0,0,0
2015-03-20 13:53:44,2,3,0,0,0
2015-03-20 13:53:45,2,3,0,0,0
2015-03-20 13:53:46,2,2,0,2,0
2015-03-20 13:53:47,2,2,0,2,0
2015-03-20 13:53:48,2,2,0,2,0
2015-03-20 13:53:49,0,2,0,2,0
2015-03-20 13:53:50,0,2,0,2,0
2015-03-20 13:53:51,0,2,0,0,0
2015-03-20 13:53:52,0,2,0,0,0
2015-03-20 13:53:53,0,2,0,0,0
2015-03-20 13:53:54,0,2,0,0,0
2015-03-20 13:53:55,0,2,0,0,0
2015-03-20 13:53:56,0,2,0,0,0
2015-03-20 13:53:57,0,2,0,0,0
2015-03-20 13:53:58,0,2,0,0,0
2015-03-20 13:53:59,0,2,0,0,0
2015-03-20 13:54:00,0,8,0,0,0
2015-03-20 13:54:01,0,7,0,0,0
2015-03-20 13:54:02,6,8,0,0,0
2015-03-20 13:54:03,5,8,0,0,0
2015-03-20 13:54:04,5,8,0,0,0
2015-03-20 13:54:05,5,7,0,0,0
2015-03-20 13:54:06,5,7,0,0,0
2015-03-20 13:54:07,5,4,0,0,0
2015-03-20 13:54:08,0,0,0,0,0
2015-03-20 13:54:09,0,0,0,0,0
2015-03-20 13:54:10,0,0,0,0,0
2015-03-20 13:54:11,0,0,0,0,0
2015-03-20 13:54:12,0,0,0,0,0
2015-03-20 13:54:13,0,0,0,0,0
2015-03-20 13:54:14,0,0,0,0,0
2015-03-20 13:54:15,0,2,0,0,0
2015-03-20 13:54:16,0,2,0,0,0
2015-03-20 13:54:17,0,5,0,0,0
2015-03-20 13:54:18,0,2,0,0,0
2015-03-20 13:54:19,2,5,2,0,0
2015-03-20 13:54:20,2,2,2,0,0
2015-03-20 13:54:21,2,3,2,0,0
2015-03-20 13:54:22,2,3,8,0,0
2015-03-20 13:54:23,2,3,8,0,0
2015-03-20 13:54:24,2,3,8,0,0
2015-03-20 13:54:25,6,3,8,0,0
2015-03-20 13:54:26,6,2,1,0,0
2015-03-20 13:54:27,6,2,1,0,0
2015-03-20 13:54:28,6,2,1,0,0
2015-03-20 13:54:29,6,2,1,0,0
2015-03-20 13:54:30,0,2,1,0,0
2015-03-20 13:54:31,0,2,2,0,0
2015-03-20 13:54:32,1,2,2,0,0
2015-03-20 13:54:33,1,2,2,0,0
2015-03-20 13:54:34,1,2,2,0,0
2015-03-20 13:54:35,2,1,0,2,0
2015-03-20 13:54:36,2,5,0,2,0
2015-03-20 13:54:37,2,3,0,2,0
2015-03-20 13:54:38,2,4,0,2,0
2015-03-20 13:54:39,2,4,0,2,0
2015-03-20 13:54:40,2,7,0,0,0
2015-03-20 13:54:41,2,7,0,0,0
2015-03-20 13:54:42,2,7,0,0,0
2015-03-20 13:54:43,2,4,0,0,0
2015-03-20 13:54:44,2,7,0,0,0
2015-03-20 13:54:45,2,2,0,0,0
2015-03-20 13:54:46,2,0,0,0,0
2015-03-20 13:54:47,2,0,0,0,0
2015-03-20 13:54:48,2,0,0,0,0
2015-03-20 13:54:49,2,0,0,0,0
2015-03-20 13:54:50,2,0,2,0,0
2015-03-20 13:54:51,2,0,2,0,0
2015-03-20 13:54:52,2,0,2,0,0
2015-03-20 13:54:53,2,0,2,0,0
2015-03-20 13:54:54,2,0,2,0,0
2015-03-20 13:54:55,2,2,2,0,0
2015-03-20 13:54:56,2,3,2,0,0
2015-03-20 13:54:57,2,1,2,0,0
2015-03-20 13:54:58,2,1,2,0,0
2015-03-20 13:54:59,2,1,2,0,0
2015-03-20 13:55:00,2,1,2,0,0
2015-03-20 13:55:01,2,2,2,0,0
2015-03-20 13:55:02,3,2,2,2,0
2015-03-20 13:55:03,3,1,0,7,0
2015-03-20 13:55:04,3,1,0,7,0
2015-03-20 13:55:05,3,3,0,7,0
2015-03-20 13:55:06,3,3,0,7,0
2015-03-20 13:55:07,3,3,0,7,0
2015-03-20 13:55:08,3,4,0,4,0
2015-03-20 13:55:09,3,4,0,4,0
2015-03-20 13:55:10,3,4,0,7,0
2015-03-20 13:55:11,3,4,0,7,0
2015-03-20 13:55:12,3,2,2,3,0
2015-03-20 13:55:13,3,2,2,7,0
2015-03-20 13:55:14,3,2,2,7,0
2015-03-20 13:55:15,2,2,2,7,0
2015-03-20 13:55:16,2,2,2,7,0
2015-03-20 13:55:17,2,0,3,7,0
2015-03-20 13:55:18,2,0,3,7,0
2015-03-20 13:55:19,2,0,8,4,0
2015-03-20 13:55:20,2,0,5,4,0
2015-03-20 13:55:21,2,0,5,4,0
2015-03-20 13:55:22,2,0,7,4,0
2015-03-20 13:55:23,2,0,0,4,0
2015-03-20 13:55:24,2,0,0,4,0
2015-03-20 13:55:25,2,0,0,3,0
2015-03-20 13:55:26,5,0,0,2,0
2015-03-20 13:55:27,8,0,0,2,0
2015-03-20 13:55:28,8,0,0,2,0
2015-03-20 13:55:29,5,0,0,2,0
2015-03-20 13:55:30,7,0,0,0,0
2015-03-20 13:55:31,8,0,0,0,0
2015-03-20 13:55:32,8,2,0,0,2
2015-03-20 13:55:33,8,4,0,0,2
2015-03-20 13:55:34,4,4,0,0,2
2015-03-20 13:55:35,4,4,0,0,2
2015-03-20 13:55:36,2,4,0,0,2
2015-03-20 13:55:37,2,4,0,0,2
2015-03-20 13:55:38,0,4,2,0,2
