time,BD49B35A-8999-4987-9759-8D3F28D1292B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713,7FC04E34-F3AE-4764-9432-DD032ED6C36B
2015-03-20 14:02:51,0,0,0,0,0
2015-03-20 14:02:52,2,2,2,6,0
2015-03-20 14:02:53,7,5,7,7,0
2015-03-20 14:02:54,7,5,7,7,0
2015-03-20 14:02:55,7,5,7,7,0
2015-03-20 14:02:56,7,5,7,7,0
2015-03-20 14:02:57,5,5,7,8,0
2015-03-20 14:02:58,5,5,7,8,0
2015-03-20 14:02:59,5,5,7,8,0
2015-03-20 14:03:00,5,5,7,8,0
2015-03-20 14:03:01,5,5,7,8,0
2015-03-20 14:03:02,5,5,7,7,0
2015-03-20 14:03:03,5,5,7,7,0
2015-03-20 14:03:04,5,5,7,7,2
2015-03-20 14:03:05,5,5,7,7,4
2015-03-20 14:03:06,5,7,7,7,4
2015-03-20 14:03:07,7,7,7,7,7
2015-03-20 14:03:08,7,7,7,8,6
2015-03-20 14:03:09,7,7,7,8,6
2015-03-20 14:03:10,7,7,7,7,6
2015-03-20 14:03:11,7,7,7,7,6
2015-03-20 14:03:12,7,7,7,7,6
2015-03-20 14:03:13,7,7,7,7,6
2015-03-20 14:03:14,7,7,7,7,6
2015-03-20 14:03:15,7,7,7,7,6
2015-03-20 14:03:16,7,7,7,7,6
2015-03-20 14:03:17,7,7,7,7,7
2015-03-20 14:03:18,7,7,7,8,8
2015-03-20 14:03:19,7,7,7,7,7
2015-03-20 14:03:20,7,7,7,7,7
2015-03-20 14:03:21,7,7,7,5,7
2015-03-20 14:03:22,7,7,7,5,7
2015-03-20 14:03:23,7,5,7,5,7
2015-03-20 14:03:24,7,5,7,5,7
2015-03-20 14:03:25,7,5,7,5,7
2015-03-20 14:03:26,7,5,7,5,7
2015-03-20 14:03:27,7,5,7,7,7
2015-03-20 14:03:28,7,5,7,7,7
2015-03-20 14:03:29,7,5,7,7,7
2015-03-20 14:03:30,7,5,7,7,7
2015-03-20 14:03:31,7,5,7,7,7
2015-03-20 14:03:32,7,5,7,7,7
2015-03-20 14:03:33,7,5,7,8,7
2015-03-20 14:03:34,7,5,5,7,7
2015-03-20 14:03:35,7,5,5,7,7
2015-03-20 14:03:36,7,5,5,7,7
2015-03-20 14:03:37,7,5,5,7,7
2015-03-20 14:03:38,7,5,5,7,7
2015-03-20 14:03:39,7,5,5,7,7
2015-03-20 14:03:40,7,5,5,7,7
2015-03-20 14:03:41,7,5,5,7,7
2015-03-20 14:03:42,7,5,5,7,7
2015-03-20 14:03:43,7,2,5,8,7
2015-03-20 14:03:44,7,2,5,7,7
2015-03-20 14:03:45,7,2,5,7,7
2015-03-20 14:03:46,7,2,5,8,7
2015-03-20 14:03:47,7,2,7,8,7
2015-03-20 14:03:48,7,2,7,2,7
2015-03-20 14:03:49,5,2,7,2,7
2015-03-20 14:03:50,5,2,7,2,7
2015-03-20 14:03:51,5,2,7,2,7
2015-03-20 14:03:52,5,2,7,2,7
2015-03-20 14:03:53,5,2,7,2,7
2015-03-20 14:03:54,5,2,5,2,7
2015-03-20 14:03:55,5,2,5,2,7
2015-03-20 14:03:56,5,2,5,2,7
2015-03-20 14:03:57,5,2,5,2,7
2015-03-20 14:03:58,5,2,7,2,7
2015-03-20 14:03:59,5,2,7,2,7
2015-03-20 14:04:00,5,2,7,2,8
2015-03-20 14:04:01,5,2,7,2,8
2015-03-20 14:04:02,5,2,5,2,5
2015-03-20 14:04:03,7,2,5,2,2
2015-03-20 14:04:04,7,2,5,2,2
2015-03-20 14:04:05,7,2,5,2,2
2015-03-20 14:04:06,7,2,2,2,2
2015-03-20 14:04:07,7,2,2,2,2
2015-03-20 14:04:08,7,2,2,2,2
2015-03-20 14:04:09,7,2,2,2,2
2015-03-20 14:04:10,7,2,2,2,2
2015-03-20 14:04:11,7,2,2,2,2
2015-03-20 14:04:12,7,2,2,2,2
2015-03-20 14:04:13,7,2,2,2,2
2015-03-20 14:04:14,7,2,2,2,2
2015-03-20 14:04:15,7,2,2,2,2
2015-03-20 14:04:16,7,2,2,2,2
2015-03-20 14:04:17,8,2,2,2,2
2015-03-20 14:04:18,8,2,2,2,2
2015-03-20 14:04:19,2,2,2,2,2
2015-03-20 14:04:20,2,2,2,2,2
2015-03-20 14:04:21,2,2,2,2,2
2015-03-20 14:04:22,2,2,2,2,2
2015-03-20 14:04:23,2,2,2,2,2
2015-03-20 14:04:24,2,2,2,2,2
2015-03-20 14:04:25,2,2,2,2,2
2015-03-20 14:04:26,2,2,2,2,2
