time,7FC04E34-F3AE-4764-9432-DD032ED6C36B,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-20 14:11:13,0,0,0
2015-03-20 14:11:14,0,0,0
2015-03-20 14:11:15,0,0,0
2015-03-20 14:11:16,0,0,0
2015-03-20 14:11:17,0,0,0
2015-03-20 14:11:18,0,0,0
2015-03-20 14:11:19,0,0,0
2015-03-20 14:11:20,0,0,0
2015-03-20 14:11:21,0,0,0
2015-03-20 14:11:22,0,0,0
2015-03-20 14:11:23,0,0,0
2015-03-20 14:11:24,0,0,0
2015-03-20 14:11:25,0,0,0
2015-03-20 14:11:26,0,0,0
2015-03-20 14:11:27,0,0,0
2015-03-20 14:11:28,0,0,0
2015-03-20 14:11:29,0,0,0
2015-03-20 14:11:30,0,0,0
2015-03-20 14:11:31,0,0,0
2015-03-20 14:11:32,0,0,0
2015-03-20 14:11:33,0,0,0
2015-03-20 14:11:34,0,0,0
2015-03-20 14:11:35,0,0,0
2015-03-20 14:11:36,0,0,0
2015-03-20 14:11:37,0,0,0
2015-03-20 14:11:38,0,0,0
2015-03-20 14:11:39,0,0,0
2015-03-20 14:11:40,0,0,0
2015-03-20 14:11:41,0,0,0
2015-03-20 14:11:42,0,0,0
2015-03-20 14:11:43,0,0,0
2015-03-20 14:11:44,0,0,0
2015-03-20 14:11:45,0,0,0
2015-03-20 14:11:46,0,0,0
2015-03-20 14:11:47,0,0,0
2015-03-20 14:11:48,0,0,0
2015-03-20 14:11:49,0,0,0
2015-03-20 14:11:50,0,0,0
2015-03-20 14:11:51,0,0,0
2015-03-20 14:11:52,0,0,0
2015-03-20 14:11:53,0,0,0
2015-03-20 14:11:54,0,0,0
2015-03-20 14:11:55,0,0,0
2015-03-20 14:11:56,0,0,0
2015-03-20 14:11:57,0,0,0
2015-03-20 14:11:58,0,0,0
2015-03-20 14:11:59,0,0,0
2015-03-20 14:12:00,0,0,0
2015-03-20 14:12:01,0,0,0
2015-03-20 14:12:02,0,0,0
2015-03-20 14:12:03,0,0,0
2015-03-20 14:12:04,0,2,2
2015-03-20 14:12:05,0,2,2
2015-03-20 14:12:06,0,1,0
2015-03-20 14:12:07,0,1,0
2015-03-20 14:12:08,0,1,0
2015-03-20 14:12:09,0,1,0
2015-03-20 14:12:10,0,1,0
2015-03-20 14:12:11,0,1,0
2015-03-20 14:12:12,0,1,0
2015-03-20 14:12:13,0,1,0
2015-03-20 14:12:14,0,1,0
2015-03-20 14:12:15,0,1,0
2015-03-20 14:12:16,0,0,0
2015-03-20 14:12:17,0,0,0
2015-03-20 14:12:18,0,0,0
