time,B6CE44A7-A245-41A7-9AE7-557D1EAD3DF4,BD49B35A-8999-4987-9759-8D3F28D1292B,7FC04E34-F3AE-4764-9432-DD032ED6C36B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,275913F5-90E9-4C82-B94C-29A8AA3B4C57,2FA454D2-F35D-45D6-BE5D-D848B409B713
2015-03-21 23:48:32,0,0,0,0,0,0
2015-03-21 23:48:33,2,0,0,0,0,0
2015-03-21 23:48:34,2,0,0,0,0,0
2015-03-21 23:48:35,2,0,0,0,0,0
2015-03-21 23:48:36,2,0,0,0,0,0
2015-03-21 23:48:37,2,0,0,0,0,0
2015-03-21 23:48:38,0,0,0,0,0,0
2015-03-21 23:48:39,0,0,0,0,0,0
2015-03-21 23:48:40,0,0,0,0,0,0
2015-03-21 23:48:41,0,0,0,0,0,0
2015-03-21 23:48:42,0,0,0,0,0,0
2015-03-21 23:48:43,0,0,0,0,0,0
2015-03-21 23:48:44,0,0,0,0,0,0
2015-03-21 23:48:45,0,0,0,0,0,0
2015-03-21 23:48:46,0,0,0,0,0,0
2015-03-21 23:48:47,0,0,0,0,0,0
2015-03-21 23:48:48,0,0,0,0,0,0
2015-03-21 23:48:49,0,0,0,0,0,0
2015-03-21 23:48:50,0,0,0,0,0,0
2015-03-21 23:48:51,0,0,0,0,0,0
2015-03-21 23:48:52,0,0,0,0,0,0
2015-03-21 23:48:53,0,0,0,0,0,0
2015-03-21 23:48:54,0,0,0,0,0,0
2015-03-21 23:48:55,0,0,0,0,0,0
2015-03-21 23:48:56,0,0,0,0,0,0
2015-03-21 23:48:57,0,0,0,0,0,0
2015-03-21 23:48:58,0,0,0,0,0,0
2015-03-21 23:48:59,0,0,0,0,0,0
2015-03-21 23:49:00,0,0,0,0,0,0
2015-03-21 23:49:01,0,0,0,0,0,0
2015-03-21 23:49:02,0,0,0,0,0,0
2015-03-21 23:49:03,0,0,0,0,0,0
2015-03-21 23:49:04,0,0,0,0,0,0
2015-03-21 23:49:05,0,0,0,0,0,0
2015-03-21 23:49:06,0,0,0,0,0,0
2015-03-21 23:49:07,0,0,0,0,0,0
2015-03-21 23:49:08,0,0,0,0,0,0
2015-03-21 23:49:09,0,0,0,0,0,0
2015-03-21 23:49:10,0,0,0,0,0,0
2015-03-21 23:49:11,0,0,0,0,0,0
2015-03-21 23:49:12,0,0,0,0,0,0
2015-03-21 23:49:13,0,0,0,0,0,0
2015-03-21 23:49:14,0,0,0,0,0,0
2015-03-21 23:49:15,0,0,0,0,0,0
2015-03-21 23:49:16,6,8,7,7,4,6
2015-03-21 23:49:17,7,7,5,5,7,7
2015-03-21 23:49:18,5,7,7,5,7,7
2015-03-21 23:49:19,7,7,7,7,7,7
2015-03-21 23:49:20,7,7,7,7,7,7
2015-03-21 23:49:21,5,7,8,7,7,7
2015-03-21 23:49:22,8,7,8,7,7,7
2015-03-21 23:49:23,7,7,7,7,7,7
2015-03-21 23:49:24,7,7,7,5,7,7
2015-03-21 23:49:25,7,7,7,5,7,7
2015-03-21 23:49:26,7,7,8,5,7,7
2015-03-21 23:49:27,7,7,7,5,7,7
2015-03-21 23:49:28,7,7,7,5,7,7
2015-03-21 23:49:29,7,5,7,5,7,7
2015-03-21 23:49:30,7,5,7,7,7,7
2015-03-21 23:49:31,7,7,7,7,7,7
2015-03-21 23:49:32,7,5,7,7,7,7
2015-03-21 23:49:33,7,5,7,7,7,7
2015-03-21 23:49:34,7,7,7,7,7,8
2015-03-21 23:49:35,7,7,5,7,7,8
2015-03-21 23:49:36,5,7,5,7,7,8
2015-03-21 23:49:37,5,7,7,7,7,7
2015-03-21 23:49:38,5,7,7,7,7,7
2015-03-21 23:49:39,5,7,7,7,7,7
2015-03-21 23:49:40,5,7,7,7,7,7
2015-03-21 23:49:41,5,7,7,7,7,7
2015-03-21 23:49:42,5,7,7,7,7,7
2015-03-21 23:49:43,5,7,7,7,7,8
2015-03-21 23:49:44,5,7,7,7,5,7
2015-03-21 23:49:45,5,6,7,7,5,7
2015-03-21 23:49:46,5,6,7,7,5,7
2015-03-21 23:49:47,5,6,7,7,5,7
2015-03-21 23:49:48,5,6,7,7,5,7
2015-03-21 23:49:49,5,6,7,7,5,7
2015-03-21 23:49:50,5,6,7,7,5,7
2015-03-21 23:49:51,5,6,7,7,5,7
2015-03-21 23:49:52,5,6,7,7,5,7
