time,9A5116EA-2793-4C75-AC93-524C9EF550FD,24C41EC3-7ECC-40DA-B942-7ABE23017E74,yvonne,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-24 15:40:00,0,0,0,0
2015-04-24 15:40:01,2,0,0,0
2015-04-24 15:40:02,2,4,2,0
2015-04-24 15:40:03,2,4,2,0
2015-04-24 15:40:04,2,4,2,0
2015-04-24 15:40:05,2,4,2,0
2015-04-24 15:40:06,0,4,2,0
2015-04-24 15:40:07,0,4,8,0
2015-04-24 15:40:08,0,4,8,0
2015-04-24 15:40:09,0,4,3,0
2015-04-24 15:40:10,2,4,3,0
2015-04-24 15:40:11,2,0,1,0
2015-04-24 15:40:12,2,4,1,0
2015-04-24 15:40:13,2,4,1,0
2015-04-24 15:40:14,2,4,3,0
2015-04-24 15:40:15,0,4,2,0
2015-04-24 15:40:16,2,4,2,0
2015-04-24 15:40:17,2,4,2,0
2015-04-24 15:40:18,2,4,2,0
2015-04-24 15:40:19,2,4,2,0
2015-04-24 15:40:20,2,4,2,0
2015-04-24 15:40:21,2,4,2,0
2015-04-24 15:40:22,2,4,2,0
2015-04-24 15:40:23,2,4,2,0
2015-04-24 15:40:24,1,2,2,0
2015-04-24 15:40:25,2,2,2,0
2015-04-24 15:40:26,2,2,2,0
2015-04-24 15:40:27,2,4,2,0
2015-04-24 15:40:28,2,4,2,0
2015-04-24 15:40:29,2,4,2,0
2015-04-24 15:40:30,2,4,2,0
2015-04-24 15:40:31,2,4,2,0
2015-04-24 15:40:32,2,4,2,0
2015-04-24 15:40:33,2,4,2,0
2015-04-24 15:40:34,2,4,2,0
2015-04-24 15:40:35,2,4,2,0
2015-04-24 15:40:36,2,2,3,0
2015-04-24 15:40:37,2,0,3,0
2015-04-24 15:40:38,2,0,2,0
2015-04-24 15:40:39,2,0,2,0
2015-04-24 15:40:40,2,0,2,0
2015-04-24 15:40:41,2,0,2,0
2015-04-24 15:40:42,2,0,0,0
2015-04-24 15:40:43,0,0,0,0
2015-04-24 15:40:44,0,0,0,0
2015-04-24 15:40:45,0,0,0,0
2015-04-24 15:40:46,0,0,0,0
2015-04-24 15:40:47,0,0,0,0
2015-04-24 15:40:48,0,0,0,0
2015-04-24 15:40:49,0,0,0,0
2015-04-24 15:40:50,0,0,0,0
2015-04-24 15:40:51,0,0,0,0
2015-04-24 15:40:52,0,0,0,0
2015-04-24 15:40:53,0,0,0,0
2015-04-24 15:40:54,0,0,0,0
2015-04-24 15:40:55,0,0,0,0
2015-04-24 15:40:56,0,0,0,0
2015-04-24 15:40:57,0,0,0,0
2015-04-24 15:40:58,0,0,0,0
2015-04-24 15:40:59,0,0,0,0
2015-04-24 15:41:00,0,0,0,0
2015-04-24 15:41:01,0,0,0,0
2015-04-24 15:41:02,0,0,0,0
2015-04-24 15:41:03,0,0,0,0
2015-04-24 15:41:04,0,0,0,0
2015-04-24 15:41:05,0,0,0,0
2015-04-24 15:41:06,2,0,0,0
2015-04-24 15:41:07,4,0,0,0
2015-04-24 15:41:08,4,0,0,0
2015-04-24 15:41:09,4,0,0,0
2015-04-24 15:41:10,4,0,0,0
2015-04-24 15:41:11,4,0,0,0
2015-04-24 15:41:12,0,0,0,0
2015-04-24 15:41:13,0,0,0,0
2015-04-24 15:41:14,0,0,0,0
2015-04-24 15:41:15,0,0,0,0
2015-04-24 15:41:16,0,0,0,0
2015-04-24 15:41:17,0,0,0,0
2015-04-24 15:41:18,0,0,0,0
2015-04-24 15:41:19,0,0,0,0
2015-04-24 15:41:20,0,0,0,0
2015-04-24 15:41:21,0,0,0,0
2015-04-24 15:41:22,0,0,0,0
2015-04-24 15:41:23,0,0,0,0
2015-04-24 15:41:24,0,0,0,0
2015-04-24 15:41:25,0,0,0,0
2015-04-24 15:41:26,0,0,0,0
2015-04-24 15:41:27,0,0,0,0
2015-04-24 15:41:28,0,0,0,0
2015-04-24 15:41:29,0,0,0,0
2015-04-24 15:41:30,0,0,0,0
2015-04-24 15:41:31,0,0,0,0
2015-04-24 15:41:32,0,0,0,0
2015-04-24 15:41:33,0,0,0,0
2015-04-24 15:41:34,0,0,0,0
2015-04-24 15:41:35,0,0,0,0
2015-04-24 15:41:36,0,0,0,0
2015-04-24 15:41:37,0,0,0,0
2015-04-24 15:41:38,0,0,0,0
2015-04-24 15:41:39,0,0,0,0
2015-04-24 15:41:40,0,0,0,0
2015-04-24 15:41:41,0,0,0,0
2015-04-24 15:41:42,0,0,0,0
2015-04-24 15:41:43,0,0,0,0
2015-04-24 15:41:44,0,0,0,0
2015-04-24 15:41:45,0,0,0,0
2015-04-24 15:41:46,0,0,0,0
2015-04-24 15:41:47,0,0,0,0
2015-04-24 15:41:48,0,0,0,0
2015-04-24 15:41:49,0,0,0,0
2015-04-24 15:41:50,0,0,0,0
2015-04-24 15:41:51,0,0,0,0
2015-04-24 15:41:52,0,0,0,0
2015-04-24 15:41:53,0,0,0,0
2015-04-24 15:41:54,0,0,0,0
2015-04-24 15:41:55,0,0,0,0
2015-04-24 15:41:56,0,0,0,0
2015-04-24 15:41:57,0,0,0,0
2015-04-24 15:41:58,0,0,0,0
2015-04-24 15:41:59,0,0,0,0
2015-04-24 15:42:00,0,0,0,0
2015-04-24 15:42:01,0,0,0,0
2015-04-24 15:42:02,0,0,0,0
2015-04-24 15:42:03,0,0,0,0
2015-04-24 15:42:04,0,0,0,0
2015-04-24 15:42:05,0,0,0,0
2015-04-24 15:42:06,0,0,0,0
2015-04-24 15:42:07,0,0,0,0
2015-04-24 15:42:08,0,0,0,0
2015-04-24 15:42:09,0,0,0,0
2015-04-24 15:42:10,0,0,0,0
2015-04-24 15:42:11,0,0,0,0
2015-04-24 15:42:12,0,0,0,0
2015-04-24 15:42:13,0,0,0,0
2015-04-24 15:42:14,0,0,0,0
2015-04-24 15:42:15,0,0,0,0
2015-04-24 15:42:16,0,0,0,0
2015-04-24 15:42:17,0,0,0,0
2015-04-24 15:42:18,0,0,0,0
2015-04-24 15:42:19,4,0,0,0
2015-04-24 15:42:20,4,0,0,0
2015-04-24 15:42:21,7,0,0,0
2015-04-24 15:42:22,4,0,0,0
2015-04-24 15:42:23,7,0,0,0
2015-04-24 15:42:24,7,0,0,0
2015-04-24 15:42:25,7,0,0,0
2015-04-24 15:42:26,7,0,0,0
2015-04-24 15:42:27,7,0,0,0
2015-04-24 15:42:28,6,0,0,0
2015-04-24 15:42:29,7,0,0,0
2015-04-24 15:42:30,4,0,0,0
2015-04-24 15:42:31,0,0,0,0
2015-04-24 15:42:32,0,0,0,0
2015-04-24 15:42:33,0,0,0,0
2015-04-24 15:42:34,0,0,0,0
2015-04-24 15:42:35,0,0,0,0
2015-04-24 15:42:36,0,0,0,0
2015-04-24 15:42:37,8,0,0,0
2015-04-24 15:42:38,8,0,0,0
2015-04-24 15:42:39,2,0,0,0
2015-04-24 15:42:40,2,0,0,0
2015-04-24 15:42:41,2,0,0,0
2015-04-24 15:42:42,0,0,0,0
2015-04-24 15:42:43,0,0,0,0
2015-04-24 15:42:44,0,0,0,0
2015-04-24 15:42:45,0,0,0,0
2015-04-24 15:42:46,0,0,0,0
2015-04-24 15:42:47,0,0,0,0
2015-04-24 15:42:48,7,0,0,0
2015-04-24 15:42:49,8,0,0,0
2015-04-24 15:42:50,8,0,0,0
2015-04-24 15:42:51,8,0,0,0
2015-04-24 15:42:52,8,0,0,0
2015-04-24 15:42:53,2,0,0,0
2015-04-24 15:42:54,0,0,0,0
2015-04-24 15:42:55,0,0,0,0
2015-04-24 15:42:56,0,0,0,0
2015-04-24 15:42:57,0,0,0,0
2015-04-24 15:42:58,0,0,0,0
2015-04-24 15:42:59,0,0,0,0
2015-04-24 15:43:00,0,0,0,0
2015-04-24 15:43:01,0,0,0,0
2015-04-24 15:43:02,0,0,0,0
2015-04-24 15:43:03,0,0,0,0
2015-04-24 15:43:04,0,0,0,0
2015-04-24 15:43:05,0,0,0,0
2015-04-24 15:43:06,0,0,0,0
2015-04-24 15:43:07,0,0,0,0
2015-04-24 15:43:08,0,0,0,0
2015-04-24 15:43:09,0,0,0,0
2015-04-24 15:43:10,0,0,0,0
2015-04-24 15:43:11,2,0,0,0
2015-04-24 15:43:12,4,0,0,0
2015-04-24 15:43:13,4,0,0,0
2015-04-24 15:43:14,4,0,0,0
2015-04-24 15:43:15,8,0,0,0
2015-04-24 15:43:16,4,0,0,0
2015-04-24 15:43:17,4,0,0,0
2015-04-24 15:43:18,4,0,0,0
2015-04-24 15:43:19,4,0,0,0
2015-04-24 15:43:20,4,0,0,0
2015-04-24 15:43:21,4,0,0,0
2015-04-24 15:43:22,4,0,0,0
2015-04-24 15:43:23,8,0,0,0
2015-04-24 15:43:24,4,0,0,0
2015-04-24 15:43:25,3,0,0,0
2015-04-24 15:43:26,3,0,0,0
2015-04-24 15:43:27,3,0,0,0
2015-04-24 15:43:28,2,0,0,0
2015-04-24 15:43:29,0,0,0,0
2015-04-24 15:43:30,0,0,0,0
2015-04-24 15:43:31,0,0,0,0
2015-04-24 15:43:32,0,0,0,0
2015-04-24 15:43:33,0,0,0,0
2015-04-24 15:43:34,0,0,0,0
2015-04-24 15:43:35,0,0,0,0
2015-04-24 15:43:36,0,0,0,0
2015-04-24 15:43:37,0,0,0,0
2015-04-24 15:43:38,0,0,0,0
2015-04-24 15:43:39,0,0,0,0
2015-04-24 15:43:40,0,0,0,0
2015-04-24 15:43:41,0,0,0,0
2015-04-24 15:43:42,0,0,0,0
2015-04-24 15:43:43,0,0,0,0
2015-04-24 15:43:44,0,0,0,0
2015-04-24 15:43:45,0,0,0,0
2015-04-24 15:43:46,0,0,0,0
2015-04-24 15:43:47,0,0,0,0
2015-04-24 15:43:48,0,0,0,0
2015-04-24 15:43:49,0,0,0,0
2015-04-24 15:43:50,0,0,0,0
2015-04-24 15:43:51,0,0,0,0
2015-04-24 15:43:52,0,0,0,0
2015-04-24 15:43:53,0,0,0,0
2015-04-24 15:43:54,0,0,0,0
2015-04-24 15:43:55,0,0,0,0
2015-04-24 15:43:56,0,0,0,0
2015-04-24 15:43:57,0,0,0,0
2015-04-24 15:43:58,0,0,0,0
2015-04-24 15:43:59,0,0,0,0
2015-04-24 15:44:00,0,0,0,0
2015-04-24 15:44:01,0,0,0,0
2015-04-24 15:44:02,0,0,0,0
2015-04-24 15:44:03,0,0,0,0
2015-04-24 15:44:04,0,0,0,0
2015-04-24 15:44:05,0,0,0,0
2015-04-24 15:44:06,0,0,0,0
2015-04-24 15:44:07,0,0,0,0
2015-04-24 15:44:08,0,0,0,0
2015-04-24 15:44:09,0,0,0,0
2015-04-24 15:44:10,0,0,0,0
2015-04-24 15:44:11,0,0,0,0
2015-04-24 15:44:12,0,0,0,0
2015-04-24 15:44:13,0,0,0,0
2015-04-24 15:44:14,0,0,0,0
2015-04-24 15:44:15,0,0,0,0
2015-04-24 15:44:16,0,0,0,0
2015-04-24 15:44:17,0,0,0,0
2015-04-24 15:44:18,0,0,0,0
2015-04-24 15:44:19,0,0,0,0
2015-04-24 15:44:20,0,0,0,0
2015-04-24 15:44:21,0,0,0,0
2015-04-24 15:44:22,0,0,0,0
2015-04-24 15:44:23,0,0,0,0
2015-04-24 15:44:24,0,0,0,0
2015-04-24 15:44:25,0,0,0,0
2015-04-24 15:44:26,0,0,0,0
2015-04-24 15:44:27,0,0,2,0
2015-04-24 15:44:28,0,0,8,0
2015-04-24 15:44:29,0,0,8,0
2015-04-24 15:44:30,0,0,8,0
2015-04-24 15:44:31,0,0,8,0
2015-04-24 15:44:32,0,0,7,0
2015-04-24 15:44:33,0,0,7,0
2015-04-24 15:44:34,0,0,0,0
2015-04-24 15:44:35,0,0,0,0
2015-04-24 15:44:36,0,0,0,0
2015-04-24 15:44:37,0,0,0,0
2015-04-24 15:44:38,0,0,0,0
2015-04-24 15:44:39,0,0,0,0
2015-04-24 15:44:40,0,0,0,0
2015-04-24 15:44:41,0,0,0,0
2015-04-24 15:44:42,0,0,0,0
2015-04-24 15:44:43,0,0,0,0
2015-04-24 15:44:44,0,0,0,0
2015-04-24 15:44:45,0,0,0,0
2015-04-24 15:44:46,0,0,0,0
2015-04-24 15:44:47,0,0,0,0
2015-04-24 15:44:48,0,0,0,0
2015-04-24 15:44:49,0,0,0,0
2015-04-24 15:44:50,0,0,0,0
2015-04-24 15:44:51,0,0,0,0
