time,yvonne,BD49B35A-8999-4987-9759-8D3F28D1292B,24C41EC3-7ECC-40DA-B942-7ABE23017E74,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-04-24 15:47:54,0,0,0,0
2015-04-24 15:47:55,2,0,0,0
2015-04-24 15:47:56,5,0,0,0
2015-04-24 15:47:57,5,0,0,0
2015-04-24 15:47:58,5,0,0,0
2015-04-24 15:47:59,5,0,0,0
2015-04-24 15:48:00,5,0,0,0
2015-04-24 15:48:01,0,0,0,0
2015-04-24 15:48:02,0,0,0,0
2015-04-24 15:48:03,0,0,0,0
2015-04-24 15:48:04,0,0,0,0
2015-04-24 15:48:05,0,0,0,0
2015-04-24 15:48:06,0,0,0,0
2015-04-24 15:48:07,0,0,0,0
2015-04-24 15:48:08,0,0,0,0
2015-04-24 15:48:09,0,0,0,0
2015-04-24 15:48:10,0,0,0,0
2015-04-24 15:48:11,0,0,0,0
2015-04-24 15:48:12,0,0,0,0
2015-04-24 15:48:13,0,0,0,0
2015-04-24 15:48:14,0,0,0,0
2015-04-24 15:48:15,2,0,0,0
2015-04-24 15:48:16,2,0,0,0
2015-04-24 15:48:17,2,0,0,0
2015-04-24 15:48:18,2,2,0,0
2015-04-24 15:48:19,2,2,0,0
2015-04-24 15:48:20,2,2,4,0
2015-04-24 15:48:21,2,2,4,0
2015-04-24 15:48:22,2,2,4,0
2015-04-24 15:48:23,2,2,4,0
2015-04-24 15:48:24,2,2,4,2
2015-04-24 15:48:25,2,8,4,2
2015-04-24 15:48:26,2,8,4,3
2015-04-24 15:48:27,2,8,4,4
2015-04-24 15:48:28,3,8,7,8
2015-04-24 15:48:29,1,8,7,4
2015-04-24 15:48:30,3,8,7,4
2015-04-24 15:48:31,3,8,7,4
2015-04-24 15:48:32,3,3,8,4
2015-04-24 15:48:33,3,3,8,4
2015-04-24 15:48:34,3,3,3,0
2015-04-24 15:48:35,3,3,4,0
2015-04-24 15:48:36,3,3,4,0
2015-04-24 15:48:37,3,3,4,0
2015-04-24 15:48:38,3,3,4,0
2015-04-24 15:48:39,3,3,4,0
2015-04-24 15:48:40,3,3,4,0
2015-04-24 15:48:41,3,0,4,0
2015-04-24 15:48:42,3,0,3,2
2015-04-24 15:48:43,3,0,8,2
2015-04-24 15:48:44,3,0,8,2
2015-04-24 15:48:45,4,0,8,2
2015-04-24 15:48:46,3,0,3,2
2015-04-24 15:48:47,3,0,3,2
2015-04-24 15:48:48,4,0,3,2
2015-04-24 15:48:49,4,0,4,0
2015-04-24 15:48:50,4,0,4,0
2015-04-24 15:48:51,8,0,0,0
2015-04-24 15:48:52,4,0,0,0
2015-04-24 15:48:53,4,0,0,0
2015-04-24 15:48:54,4,0,0,0
2015-04-24 15:48:55,3,0,0,0
2015-04-24 15:48:56,3,0,0,0
2015-04-24 15:48:57,1,0,0,0
2015-04-24 15:48:58,2,0,0,0
2015-04-24 15:48:59,2,0,0,0
2015-04-24 15:49:00,2,0,0,0
2015-04-24 15:49:01,2,0,0,0
2015-04-24 15:49:02,2,0,0,0
2015-04-24 15:49:03,2,0,0,0
2015-04-24 15:49:04,2,0,0,0
2015-04-24 15:49:05,2,0,0,0
2015-04-24 15:49:06,2,0,0,0
2015-04-24 15:49:07,2,0,0,0
2015-04-24 15:49:08,2,0,0,0
2015-04-24 15:49:09,2,0,0,0
2015-04-24 15:49:10,2,0,0,0
2015-04-24 15:49:11,2,0,0,0
2015-04-24 15:49:12,2,0,0,0
2015-04-24 15:49:13,2,0,0,0
2015-04-24 15:49:14,2,0,0,0
2015-04-24 15:49:15,2,0,0,0
2015-04-24 15:49:16,2,0,0,0
2015-04-24 15:49:17,2,0,0,0
2015-04-24 15:49:18,2,0,0,0
2015-04-24 15:49:19,2,0,0,0
2015-04-24 15:49:20,2,0,0,0
2015-04-24 15:49:21,2,0,0,0
2015-04-24 15:49:22,2,0,0,0
2015-04-24 15:49:23,2,0,0,0
2015-04-24 15:49:24,2,0,0,0
2015-04-24 15:49:25,2,0,0,0
2015-04-24 15:49:26,2,0,0,0
2015-04-24 15:49:27,2,0,0,0
2015-04-24 15:49:28,2,0,0,0
2015-04-24 15:49:29,2,0,0,0
2015-04-24 15:49:30,1,0,0,0
2015-04-24 15:49:31,1,0,0,0
2015-04-24 15:49:32,1,0,0,0
2015-04-24 15:49:33,1,0,0,0
2015-04-24 15:49:34,1,0,0,0
2015-04-24 15:49:35,1,0,0,0
