time,9A5116EA-2793-4C75-AC93-524C9EF550FD,yvonne,24C41EC3-7ECC-40DA-B942-7ABE23017E74,BD49B35A-8999-4987-9759-8D3F28D1292B
2015-04-24 15:49:57,0,0,0,0
2015-04-24 15:49:58,2,0,0,0
2015-04-24 15:49:59,2,2,0,0
2015-04-24 15:50:00,2,1,0,0
2015-04-24 15:50:01,2,1,0,0
2015-04-24 15:50:02,2,1,0,0
2015-04-24 15:50:03,0,1,0,0
2015-04-24 15:50:04,0,1,0,0
2015-04-24 15:50:05,0,3,0,0
2015-04-24 15:50:06,0,3,0,0
2015-04-24 15:50:07,0,0,0,0
2015-04-24 15:50:08,0,0,0,0
2015-04-24 15:50:09,0,0,0,0
2015-04-24 15:50:10,0,0,0,0
2015-04-24 15:50:11,0,0,0,0
2015-04-24 15:50:12,0,0,0,0
2015-04-24 15:50:13,0,0,0,0
2015-04-24 15:50:14,0,0,0,0
2015-04-24 15:50:15,0,0,0,0
2015-04-24 15:50:16,0,0,0,0
2015-04-24 15:50:17,0,0,0,0
2015-04-24 15:50:18,2,0,0,0
2015-04-24 15:50:19,1,2,2,2
2015-04-24 15:50:20,1,2,2,2
2015-04-24 15:50:21,1,2,2,1
2015-04-24 15:50:22,3,1,2,1
2015-04-24 15:50:23,1,1,2,1
2015-04-24 15:50:24,1,1,2,1
2015-04-24 15:50:25,1,1,1,1
2015-04-24 15:50:26,1,1,1,2
2015-04-24 15:50:27,1,1,1,2
2015-04-24 15:50:28,1,1,1,2
2015-04-24 15:50:29,1,1,1,2
2015-04-24 15:50:30,1,1,1,2
2015-04-24 15:50:31,1,1,1,2
2015-04-24 15:50:32,1,1,1,1
2015-04-24 15:50:33,1,3,3,3
2015-04-24 15:50:34,1,3,3,3
2015-04-24 15:50:35,1,7,3,3
2015-04-24 15:50:36,3,4,3,0
2015-04-24 15:50:37,3,3,7,0
2015-04-24 15:50:38,4,3,7,0
2015-04-24 15:50:39,4,1,7,0
2015-04-24 15:50:40,4,1,7,0
2015-04-24 15:50:41,2,1,7,0
2015-04-24 15:50:42,2,1,7,0
2015-04-24 15:50:43,2,1,7,0
2015-04-24 15:50:44,2,3,4,0
2015-04-24 15:50:45,2,3,4,0
2015-04-24 15:50:46,2,4,3,0
2015-04-24 15:50:47,2,4,0,0
2015-04-24 15:50:48,2,4,0,0
2015-04-24 15:50:49,2,3,0,0
2015-04-24 15:50:50,2,3,3,0
2015-04-24 15:50:51,2,2,0,0
2015-04-24 15:50:52,2,2,0,0
2015-04-24 15:50:53,3,2,0,0
2015-04-24 15:50:54,3,2,0,0
2015-04-24 15:50:55,3,1,0,0
2015-04-24 15:50:56,0,0,0,0
2015-04-24 15:50:57,0,0,0,0
2015-04-24 15:50:58,0,0,0,0
