time,yvonne,9A5116EA-2793-4C75-AC93-524C9EF550FD
2015-04-24 15:51:17,0,0
2015-04-24 15:51:18,2,2
2015-04-24 15:51:19,3,2
2015-04-24 15:51:20,1,2
2015-04-24 15:51:21,3,2
2015-04-24 15:51:22,3,2
2015-04-24 15:51:23,3,2
2015-04-24 15:51:24,3,0
2015-04-24 15:51:25,3,2
2015-04-24 15:51:26,3,2
2015-04-24 15:51:27,1,2
2015-04-24 15:51:28,1,2
2015-04-24 15:51:29,1,2
2015-04-24 15:51:30,1,2
2015-04-24 15:51:31,1,2
2015-04-24 15:51:32,1,2
2015-04-24 15:51:33,1,7
2015-04-24 15:51:34,1,7
2015-04-24 15:51:35,3,7
2015-04-24 15:51:36,8,7
2015-04-24 15:51:37,8,7
2015-04-24 15:51:38,8,5
2015-04-24 15:51:39,8,5
2015-04-24 15:51:40,8,7
2015-04-24 15:51:41,8,0
2015-04-24 15:51:42,8,0
2015-04-24 15:51:43,8,0
2015-04-24 15:51:44,8,0
2015-04-24 15:51:45,8,0
2015-04-24 15:51:46,6,0
2015-04-24 15:51:47,7,0
2015-04-24 15:51:48,7,0
2015-04-24 15:51:49,5,0
2015-04-24 15:51:50,6,0
2015-04-24 15:51:51,0,0
2015-04-24 15:51:52,0,0
